date,latitude,longitude,site,source,chl,chl_field,tss,turb,cond,ph,temp,do,do_sat,doc,poc,toc,tn,tdn,ton,don,pon,no3,nh3,tp,tdp,pp,po4,npr,cnr,cpr,pnpr,pcnr,pcpr,si,cl
2010-03-30,46.63705,-90.6525,BADRIVER_WQX-BadMouth,BADRIVER_WQX,NA,NA,3.2,13.1,117,7,5.07,12.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3
2010-05-03,46.63705,-90.6525,BADRIVER_WQX-BadMouth,BADRIVER_WQX,NA,NA,4.7,7.9,190,7.13,13.76,7.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.700000000000001
2010-06-07,46.63705,-90.6525,BADRIVER_WQX-BadMouth,BADRIVER_WQX,NA,NA,36,6.9,202,8,19.79,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4
2010-06-27,46.58182,-90.40627,NGL_MI-10017,NCCA,1.39,NA,NA,NA,82.375,8.02375,16.3875,10.675,NA,NA,NA,NA,0.438125,NA,NA,NA,NA,0.319,0.003,0.006830375,NA,NA,0.002,64.1436231539264,NA,NA,NA,NA,NA,NA,NA
2010-07-01,46.63705,-90.6525,BADRIVER_WQX-BadMouth,BADRIVER_WQX,NA,NA,11.6,89.4,102,7.12,19.98,7.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5
2010-07-23,46.63705,-90.6525,BADRIVER_WQX-BadMouth,BADRIVER_WQX,NA,NA,7,82.5,143,7.5,23.52,8.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
2010-08-09,46.6012,-90.55677,NCCAGL10-2020,NCCA,0.64,NA,NA,2.9,100.625,8.0725,23.45,9.825,NA,NA,NA,NA,0.295,NA,NA,NA,NA,0.295,0.0075,0.0033,NA,NA,0.001,89.39393939393939,NA,NA,NA,NA,NA,NA,NA
2010-08-09,46.61599,-90.55219,NCCAGL10-1044,NCCA,0.46,NA,NA,3.4499999999999997,100.1125,8.08125,23.375,9.825000000000001,NA,NA,NA,NA,0.502,NA,NA,NA,NA,0.312,0.0075,0.0025,NA,NA,0.001,200.79999999999998,NA,NA,NA,NA,NA,NA,NA
2010-08-10,46.60828,-90.92362,WIDNR_WQX-10012247,WIDNR_WQX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0038,NA,NA,NA,NA,NA,NA,NA,NA
2010-08-10,46.6634,-90.8728,WIDNR_WQX-10012254,WIDNR_WQX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0024,NA,NA,NA,NA,NA,NA,NA,NA
2010-08-10,46.69796,-90.69431,NCCAGL10-2041,NCCA,0.74,NA,NA,2.45,101.825,7.975,22.6,9.375,NA,NA,NA,NA,0.457,NA,NA,NA,NA,0.297,0.0075,0.0024,NA,NA,0.001,190.41666666666669,NA,NA,NA,NA,NA,NA,NA
2010-08-10,46.73293,-90.83918,NCCAGL10-2011,NCCA,0.47,NA,NA,2.0375,102.125,8.215,23.1625,9.44875,NA,NA,NA,NA,0.438,NA,NA,NA,NA,0.258,0.0075,0.0019,NA,NA,0.001,230.52631578947367,NA,NA,NA,NA,NA,NA,NA
2010-08-11,46.63066,-90.87762,NCCAGL10-2003,NCCA,2.02,NA,NA,4.0625,104.5375,8.43125,24.1125,9.4,NA,NA,NA,NA,0.439,NA,NA,NA,NA,0.219,0.0075,0.004,NA,NA,0.001,109.75,NA,NA,NA,NA,NA,NA,NA
2010-08-11,46.65258,-90.7677,WIDNR_WQX-10028967,WIDNR_WQX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0054,NA,NA,NA,NA,NA,NA,NA,NA
2010-08-11,46.67285,-90.81703,NGL_WI-10003,NCCA,1.28,NA,NA,2.575,103.9875,8.37,23.8,9.3125,NA,NA,NA,NA,0.208,NA,NA,NA,NA,0.208,0.0075,0.0032,NA,NA,0.001,65,NA,NA,NA,NA,NA,NA,NA
2010-08-11,46.67827,-90.78114,NCCAGL10-1033,NCCA,1.16,NA,NA,2.4375,103.2625,8.4125,24.1875,9.2,NA,NA,NA,NA,0.4,NA,NA,NA,NA,0.19,0.0075,0.0032,NA,NA,0.001,125,NA,NA,NA,NA,NA,NA,NA
2010-08-12,46.93473,-90.76734,NCCAGL10-2035,NCCA,0.64,NA,NA,2.2,103.35,7.9425,22.675,9.5,NA,NA,NA,NA,0.477,NA,NA,NA,NA,0.287,0.0075,0.0022,NA,NA,0.001,216.81818181818178,NA,NA,NA,NA,NA,NA,NA
2010-08-12,46.98338,-90.67437,WIDNR_WQX-10020834,WIDNR_WQX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,NA,NA,NA,NA,NA,NA,NA,NA
2010-08-17,46.71677,-91.98975,NCCAGL10-1041,NCCA,0.83,NA,NA,3.6875,107.125,7.69875,9.575,12.4375,NA,NA,NA,NA,0.586,NA,NA,NA,NA,0.346,0.0075,0.0056,NA,NA,0.001,104.64285714285714,NA,NA,NA,NA,NA,NA,NA
2010-08-18,46.731703,-92.050613,MNPCA-16-0001-00-B003,MNPCA,NA,NA,NA,2.0272,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-08-18,46.752579,-92.071268,MNPCA-16-0001-00-B005,MNPCA,NA,NA,NA,2.9140999999999995,NA,NA,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-08-18,46.772091,-92.087535,MNPCA-16-0001-00-B006,MNPCA,NA,NA,NA,2.9140999999999995,NA,NA,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-08-18,46.787246,-92.094365,MNPCA-16-0001-00-B008,MNPCA,NA,NA,NA,3.0407999999999995,NA,NA,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-08-18,46.796663,-92.081868,MNPCA-16-0001-00-B009,MNPCA,NA,NA,NA,14.3171,NA,NA,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-08-18,46.799658,-92.074586,MNPCA-16-0001-00-B038,MNPCA,NA,NA,NA,3.0407999999999995,NA,NA,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-08-18,46.820914,-92.03806,MNPCA-16-0001-00-B010,MNPCA,NA,NA,NA,7.4753,NA,NA,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-08-19,46.72903,-91.7886,NGL_WI-10004,NCCA,0.45,NA,NA,0.5,101.3,7.90375,11.6875,12.125,NA,NA,NA,NA,0.336,NA,NA,NA,NA,0.336,0.0075,0.0022,NA,NA,0.001,152.72727272727272,NA,NA,NA,NA,NA,NA,NA
