Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,TP,F_TP,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,TN,F_TN,SiO4F,F_SiO4F,CHLA_N,F_CHLA_N
lksbanut,5/8/2012 9:10,1,1,,0.003,<1> [GQS] (CSM),0.04,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.29,0,0.92,0,,<-2>,7.7,0
lksbanut,5/8/2012 9:11,1,2,,0.003,<1> [GQS] (CSM),0.038,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.284,0,0.89,0,,<-2>,10.1,0
lksolnut,5/8/2012 10:35,1,1,,0.004,<1> [GQS] (CSM),0.029,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.118,0,0.79,0,,<-2>,6.14,0
lksolnut,5/8/2012 10:36,1,2,,0.004,<1> [GQS] (CSM),0.03,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.119,0,0.8,0,,<-2>,6.67,0
lksblnut,5/8/2012 12:10,1,1,,0.008,<1> [GQS] (CSM),0.04,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.157,0,0.92,0,,<-2>,4.73,0
lksblnut,5/8/2012 12:11,1,2,,0.008,<1> [GQS] (CSM),0.038,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.154,0,0.89,0,,<-2>,4.75,0
lksolnut,6/13/2012 14:23,1,1,,0.007,<1> [GQS] (CSM),0.043,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.22,<1> [GQS] (CSM),1.32,<1> [GQS] (CSM),,<-2>,4.38,0
lksolnut,6/13/2012 14:24,1,2,,0.007,<1> [GQS] (CSM),0.045,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.217,<1> [GQS] (CSM),1.36,<1> [GQS] (CSM),,<-2>,4.38,0
lksblnut,6/13/2012 16:00,1,1,,0.012,<1> [GQS] (CSM),0.049,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.205,<1> [GQS] (CSM),1.26,<1> [GQS] (CSM),,<-2>,3.54,0
lksblnut,6/13/2012 16:01,1,2,,0.011,<1> [GQS] (CSM),0.052,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.2,<1> [GQS] (CSM),1.33,<1> [GQS] (CSM),,<-2>,2.9,0
lksbanut,6/13/2012 16:19,1,1,,0.015,<1> [GQS] (CSM),0.056,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.207,<1> [GQS] (CSM),1.29,<1> [GQS] (CSM),,<-2>,8.31,0
lksbanut,6/13/2012 16:20,1,2,,0.016,<1> [GQS] (CSM),0.056,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.206,<1> [GQS] (CSM),1.33,<1> [GQS] (CSM),,<-2>,7.47,0
