Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,TP,F_TP,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,TN,F_TN,CHLA_N,F_CHLA_N
lksolnut,5/28/2013,1,1,,0.004,,,,0.038,,,,,,0.138,,,,3.9,
lksolnut,5/28/2013,1,2,,0.00253,<-4> [SBL],,,0.016,,,,,,0.137,,,,3.6,
lksponut,5/28/2013,1,1,,0.004,,,,0.017,,,,,,0.086,,,,1.2,<-4> [SBL]
lksponut,5/28/2013,1,2,,0.003,,,,0.015,<1> [GQS] (CSM),,,,,0.084,,,,1.2,<-4> [SBL]
lksblnut,5/29/2013,1,1,,0.005,,,,0.077,,,,,,0.166,,,,3.8,
lksblnut,5/29/2013,1,2,,0.004,,,,0.055,,,,,,0.163,,,,5,
lksbanut,5/29/2013,1,1,,0.00253,<-4> [SBL],,,0.029,,,,,,0.198,,,,19.6,
lksbanut,5/29/2013,1,2,,0.004,,,,0.027,,,,,,0.199,,,,29.9,
lksolnut,6/17/2013,1,1,,0.003,<1> [GQS] (CSM),,,0.028,,,,,,0.129,,,,3.4,
lksolnut,6/17/2013,1,2,,0.004,<1> [GQS] (CSM),,,0.035,,,,,,0.134,,,,3.9,
lksponut,6/17/2013,1,1,,0.01,<1> [GQS] (CSM),,,0.028,,,,,,0.005,<1> [GQS] (CSM),,,2.8,
lksponut,6/17/2013,1,2,,0.004,<1> [GQS] (CSM),,,0.027,,,,,,0.028,,,,2.9,
lksblnut,6/18/2013,1,1,,0.00253,<-4> [SBL],,,0.126,,,,,,0.148,,,,6.2,
lksblnut,6/18/2013,1,2,,0.00253,<-4> [SBL],,,0.127,,,,,,0.147,,,,6.5,
lksbanut,6/18/2013,1,1,,0.004,<1> [GQS] (CSM),,,0.064,,,,,,0.107,,,,36,
lksbanut,6/18/2013,1,2,,0.00253,<-4> [SBL],,,0.055,,,,,,0.105,,,,31.3,
lksolnut,7/23/2013,1,1,,0.003,,,,0.016,,,,,,0.183,,,,5.4,
lksolnut,7/23/2013,1,2,,0.00253,<-4> [SBL],,,0.021,,,,,,0.187,,,,5.1,
lksponut,7/23/2013,1,1,,0.023,,,,0.006,<1> [GQS] (CSM),,,,,0.008,,,,3.8,
lksponut,7/23/2013,1,2,,0.013,,,,0.005,<1> [GQS] (CSM),,,,,0.008,,,,4.7,
lksblnut,7/22/2013,1,1,,0.00253,<-4> [SBL],,,0.102,,,,,,0.278,,,,4.4,
lksblnut,7/22/2013,1,2,,0.006,,,,0.111,,,,,,0.329,,,,3.6,
lksbanut,7/22/2013,1,1,,0.00253,<-4> [SBL],,,0.051,,,,,,0.237,,,,23.6,
lksbanut,7/22/2013,1,2,,0.004,,,,0.048,,,,,,0.274,,,,25.6,
lksolnut,8/19/2013,1,1,,0.005,<1> [GQS] (CSM),,,0.023,,,,,,0.071,,,,5.5,
lksolnut,8/19/2013,1,2,,0.004,<1> [GQS] (CSM),,,0.008,<1> [GQS] (CSM),,,,,0.054,,,,6.2,
lksponut,8/19/2013,1,1,,0.004,<1> [GQS] (CSM),,,0.00403,<-4> [SBL],,,,,0.008,,,,3.4,
lksponut,8/19/2013,1,2,,0.003,<1> [GQS] (CSM),,,0.006,<1> [GQS] (CSM),,,,,0.009,,,,7.5,
lksblnut,8/20/2013,1,1,,0.00253,<-4> [SBL],,,0.195,,,,,,0.203,,,,14.8,
lksblnut,8/20/2013,1,2,,0.00253,<-4> [SBL],,,0.182,,,,,,0.201,,,,16,
lksbanut,8/20/2013,1,1,,0.00253,<-4> [SBL],,,0.029,,,,,,0.277,,,,19.2,
lksbanut,8/20/2013,1,2,,0.00253,<-4> [SBL],,,0.025,,,,,,0.282,,,,19.4,
lksolnut,9/17/2013,1,1,,0.003,<1> [GQS] (CSM),,,0.016,,,,,,0.039,,,,4.3,
lksolnut,9/17/2013,1,2,,0.00253,<-4> [SBL],,,0.019,,,,,,0.042,,,,3.6,
lksponut,9/17/2013,1,1,,0.004,<1> [GQS] (CSM),,,0.006,<1> [GQS] (CSM),,,,,0.004,<1> [GQS] (CSM),,,2.2,
lksponut,9/17/2013,1,2,,0.00253,<-4> [SBL],,,0.00403,<-4> [SBL],,,,,0.006,,,,2.3,
lksblnut,9/16/2013,1,1,,0.00253,<-4> [SBL],,,0.067,,,,,,0.174,,,,17.4,
lksblnut,9/16/2013,1,2,,0.00253,<-4> [SBL],,,0.066,,,,,,0.176,,,,15.5,
lksbanut,9/16/2013,1,1,,0.005,<1> [GQS] (CSM),,,0.014,<1> [GQS] (CSM),,,,,0.108,,,,17.4,
lksbanut,9/16/2013,1,2,,0.00253,<-4> [SBL],,,0.00403,<-4> [SBL],,,,,0.108,,,,16.8,
lksolnut,11/4/2013,1,1,,0.009,<1> [GQS] (CSM),,,0.019,,,,,,0.091,,,,1.7,
lksolnut,11/4/2013,1,2,,0.008,<1> [GQS] (CSM),,,0.016,,,,,,0.097,,,,1.7,
lksponut,10/31/2013,1,1,,0.075,<1> [GQS] (CSM),,,0.057,,,,,,0.097,,,,2.3,
lksponut,10/31/2013,1,2,,0.078,<1> [GQS] (CSM),,,0.033,,,,,,0.087,,,,2.5,
lksblnut,10/30/2013,1,1,,0.005,<1> [GQS] (CSM),,,0.232,,,,,,0.23,,,,3.2,
lksblnut,10/30/2013,1,2,,0.003,<1> [GQS] (CSM),,,0.224,,,,,,0.218,,,,3.2,
lksbanut,10/30/2013,1,1,,0.01,<1> [GQS] (CSM),,,0.247,,,,,,0.362,,,,5.3,
lksbanut,10/30/2013,1,2,,0.009,<1> [GQS] (CSM),,,0.236,,,,,,0.354,,,,6,
