Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,CHLA_N,F_CHLA_N,TSS,F_TSS
lksbanut,7/22/2014 12:00,2,1,,0.011,0,0.172,<1> [GQS] (CSM),0.042,0,0.360,0,0.402,0,6.5,0,12,0
lksbanut,7/22/2014 14:00,2,1,,0.012,0,0.164,<1> [GQS] (CSM),0.041,0,0.401,0,0.442,0,7.4,0,14,0
lksbanut,7/22/2014 16:00,2,1,,0.012,0,0.183,<1> [GQS] (CSM),0.041,0,0.411,0,0.452,0,8.4,0,14,0
lksbanut,7/22/2014 18:00,2,1,,0.012,0,0.179,<1> [GQS] (CSM),0.041,0,0.390,0,0.431,0,8.5,0,16,0
lksbanut,7/22/2014 20:00,2,1,,0.022,0,0.220,<1> [GQS] (CSM),0.041,0,0.379,0,0.420,0,8.3,0,14,0
lksbanut,7/22/2014 22:00,2,1,,0.012,0,0.182,<1> [GQS] (CSM),0.041,0,0.394,0,0.435,0,6.8,0,16,0
lksbanut,7/23/2014 0:00,2,1,,0.012,0,0.174,<1> [GQS] (CSM),0.041,0,0.394,0,0.435,0,6.3,0,6,0
lksbanut,7/23/2014 2:00,2,1,,0.013,0,0.191,<1> [GQS] (CSM),0.040,0,0.378,0,0.418,0,7.8,0,14,0
lksbanut,7/23/2014 4:00,2,1,,0.013,0,0.186,<1> [GQS] (CSM),0.040,0,0.364,0,0.404,0,7.4,0,8,0
lksbanut,7/23/2014 6:00,2,1,,0.012,0,0.176,<1> [GQS] (CSM),0.040,0,0.406,0,0.446,0,6.2,0,10,0
lksbanut,7/23/2014 8:00,2,1,,0.012,0,0.167,<1> [GQS] (CSM),0.041,0,0.394,0,0.435,0,5.8,0,12,0
lksolnut,7/23/2014 8:50,1,1,,0.012,0,0.183,<1> [GQS] (CSM),0.007,0,0.061,0,0.068,0,9.7,0,6,0
lksolnut,7/23/2014 8:55,1,2,,0.012,0,0.185,<1> [GQS] (CSM),0.007,0,0.063,0,0.070,0,11.8,0,2,0
lksponut,7/23/2014 9:30,1,1,,0.022,<1> [SRD],0.112,<1> [GQS] (CSM),0.005,0,0.014,0,0.019,0,3.8,0,10,0
lksponut,7/23/2014 9:34,1,2,,0.046,<1> [SRD],0.156,<1> [GQS] (CSM),0.006,0,0.032,0,0.038,0,3.6,0,6,0
lksbanut,7/23/2014 10:00,2,1,,0.015,0,0.159,<1> [GQS] (CSM),0.042,0,0.404,0,0.446,0,6.6,0,12,0
lksblnut,7/23/2014 10:20,1,1,,0.014,0,0.239,<1> [GQS] (CSM),0.038,0,0.328,0,0.366,0,3.6,0,6,0
lksblnut,7/23/2014 10:25,1,2,,0.015,0,0.241,<1> [GQS] (CSM),0.038,0,0.310,0,0.348,0,3.8,0,16,0
lksbanut,7/23/2014 11:01,1,1,,0.017,0,0.182,<1> [GQS] (CSM),0.043,0,0.432,0,0.475,0,5.4,0,8,0
lksbanut,7/23/2014 11:05,1,2,,0.014,0,0.186,<1> [GQS] (CSM),0.043,0,0.399,0,0.442,0,5.6,0,12,0
lksbanut,8/25/2014 0:00,2,1,,0.012,0,0.092,<1> [GQS] (CSM),0.012,0,0.209,0,0.221,0,12.4,0,12,0
lksolnut,8/25/2014 10:30,1,1,,0.014,0,0.086,<1> [GQS] (CSM),0.004,0,0.045,0,0.049,0,1.9,0,40,0
lksolnut,8/25/2014 10:32,1,2,,0.011,0,0.069,<1> [GQS] (CSM),0.003,0,0.048,0,0.051,0,2.7,0,38,0
lksponut,8/25/2014 11:19,1,1,,0.017,0,0.142,<1> [GQS] (CSM),0.005,0,0.046,0,0.051,0,3.9,0,20,0
lksponut,8/25/2014 11:22,1,2,,0.021,0,0.164,<1> [GQS] (CSM),0.005,0,0.043,0,0.048,0,3.4,0,26,0
lksblnut,8/25/2014 11:54,1,1,,0.014,0,0.324,<1> [GQS] (CSM),0.025,0,0.164,0,0.189,0,16.3,0,14,0
lksblnut,8/25/2014 11:56,1,2,,0.017,0,0.313,<1> [GQS] (CSM),0.025,0,0.156,0,0.181,0,8.1,0,10,0
lksbanut,8/25/2014 12:00,2,1,,0.011,0,0.104,<1> [GQS] (CSM),0.014,0,0.211,0,0.225,0,17.5,0,20,0
lksbanut,8/25/2014 12:25,1,1,,0.015,0,0.096,<1> [GQS] (CSM),0.013,0,0.222,0,0.235,0,22.6,0,2,0
lksbanut,8/25/2014 12:28,1,2,,0.014,0,0.104,<1> [GQS] (CSM),0.011,0,0.205,0,0.216,0,32.5,0,10,0
lksbanut,8/25/2014 14:00,2,1,,0.010,0,0.084,<1> [GQS] (CSM),0.014,0,0.207,0,0.221,0,14.9,0,16,0
lksbanut,8/25/2014 16:00,2,1,,0.013,0,0.085,<1> [GQS] (CSM),0.013,0,0.204,0,0.217,0,14.4,0,8,0
lksbanut,8/25/2014 18:00,2,1,,0.012,0,0.084,<1> [GQS] (CSM),0.013,0,0.206,0,0.219,0,13.7,0,14,0
lksbanut,8/25/2014 20:00,2,1,,0.013,0,0.081,<1> [GQS] (CSM),0.013,0,0.210,0,0.223,0,19.5,0,12,0
lksbanut,8/25/2014 22:00,2,1,,0.013,0,0.090,<1> [GQS] (CSM),0.012,0,0.212,0,0.224,0,6.5,0,14,0
lksbanut,8/26/2014 2:00,2,1,,0.013,0,0.094,<1> [GQS] (CSM),0.012,0,0.211,0,0.223,0,10.9,0,8,0
lksbanut,8/26/2014 4:00,2,1,,0.016,0,0.096,<1> [GQS] (CSM),0.012,0,0.214,0,0.226,0,10.5,0,8,0
lksbanut,8/26/2014 6:00,2,1,,0.015,0,0.091,<1> [GQS] (CSM),0.012,0,0.213,0,0.225,0,10.6,0,12,0
lksbanut,8/26/2014 8:00,2,1,,0.013,0,0.063,<1> [GQS] (CSM),0.009,0,0.176,0,0.185,0,12.2,0,10,0
lksbanut,8/26/2014 10:00,2,1,,0.020,0,0.083,<1> [GQS] (CSM),0.012,0,0.216,0,0.228,0,38.4,0,12,0
lksbanut,9/15/2014 8:00,2,1,,,<-2> [GDM] (CSM),,<-2> [GDM] (CSM),,<-2> [GDM] (CSM),,<-2> [GCM],,<-2> [GDM] (CSM),,<-2> [GDM] (CSM),,<-2> [GDM] (CSM)
lksbanut,9/15/2014 10:00,2,1,,0.001,0,0.111,0,0.015,0,0.291,0,0.306,0,,<-2> [GDM] (CSM),,<-2> [GDM] (CSM)
lksbanut,9/15/2014 12:00,2,1,,0.0003,<-4> [SBL],0.103,0,0.013,0,0.284,0,0.297,0,,<-2> [GDM] (CSM),,<-2> [GDM] (CSM)
lksbanut,9/15/2014 14:00,2,1,,0.0003,<-4> [SBL],0.092,0,0.013,0,0.282,0,0.295,0,,<-2> [GDM] (CSM),,<-2> [GDM] (CSM)
lksbanut,9/15/2014 16:00,2,1,,0.0003,<-4> [SBL],0.087,0,0.012,0,0.283,0,0.295,0,,<-2> [GDM] (CSM),,<-2> [GDM] (CSM)
lksbanut,9/15/2014 18:00,2,1,,0.0003,<-4> [SBL],0.117,0,0.012,0,0.290,0,0.302,0,,<-2> [GDM] (CSM),,<-2> [GDM] (CSM)
lksbanut,9/15/2014 20:00,2,1,,0.0003,<-4> [SBL],0.124,0,0.012,0,0.291,0,0.303,0,,<-2> [GDM] (CSM),,<-2> [GDM] (CSM)
lksbanut,9/15/2014 22:00,2,1,,0.0003,<-4> [SBL],0.118,0,0.012,0,0.283,0,0.295,0,,<-2> [GDM] (CSM),,<-2> [GDM] (CSM)
lksbanut,9/16/2014 0:00,2,1,,0.0003,<-4> [SBL],0.103,0,0.011,0,0.286,0,0.297,0,,<-2> [GDM] (CSM),,<-2> [GDM] (CSM)
lksbanut,9/16/2014 2:00,2,1,,0.0003,<-4> [SBL],0.115,0,0.011,0,0.287,0,0.298,0,,<-2> [GDM] (CSM),,<-2> [GDM] (CSM)
lksbanut,9/16/2014 4:00,2,1,,0.0003,<-4> [SBL],0.122,0,0.012,0,0.288,0,0.300,0,,<-2> [GDM] (CSM),,<-2> [GDM] (CSM)
