Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,TP,F_TP,NH4F,F_NH4F,NO23F,F_NO23F,NO2F,F_NO2F,TN,F_TN,UncCHLa_N,F_UncCHLa_N,TSS,F_TSS,NO3F,F_NO3F
lksbanut,2/3/2015  13:59:00 PM,1,1,,0.005,<1> (CSM),,<-2> (CSM),0.07,,0.538,,0.034,,0.791,,145.4,<1> (CSM),1,<-4> [SBL],0.504,
lksbanut,2/3/2015  13:59:00 PM,1,2,,0.004,<1> (CSM),,<-2> (CSM),0.069,,0.534,,0.034,,0.801,,131,<1> (CSM),1,<-4> [SBL],0.5,
lksblnut,2/3/2015  13:15:00 PM,1,1,,0.004,<1> (CSM),,<-2> (CSM),0.172,,0.433,,0.037,,0.764,,53.3,<1> (CSM),1,<-4> [SBL],0.396,
lksblnut,2/3/2015  13:17:00 PM,1,2,,0.004,<1> (CSM),,<-2> (CSM),0.184,,0.44,,0.034,,0.762,,44.6,<1> (CSM),1,<-4> [SBL],0.406,
lksolnut,2/3/2015 12:30,1,1,,0.007,<1> (CSM),,<-2> (CSM),0.097,,0.393,,0.036,,1.036,,21.1,,1,<-4> [SBL],0.357,
lksolnut,2/3/2015 12:32,1,2,,0.007,<1> (CSM),,<-2> (CSM),0.069,,0.38,,0.04,,0.818,,21.9,,1,<-4> [SBL],0.34,
lksponut,2/3/2015 11:50,1,1,,0.025,<1> (CSM),,<-2> (CSM),0.077,,0.191,,0.08,,1.026,,22.7,,50,,0.111,
lksponut,2/3/2015 11:52,1,2,,0.025,<1> (CSM),,<-2> (CSM),0.07,,0.19,,0.069,,0.974,,22.1,,32,,0.121,
lksbanut,4/28/2015 12:01,1,1,,0.00065,<-4> [SBL],0.092,<-4> [SBL],0.129,<1> (CSM),0.271,,0.0083,<-4> [SBL],0.697,,14.9,,11,,,<-4> [SCB]
lksbanut,4/28/2015 12:04,1,2,,0.00065,<-4> [SBL],0.092,<-4> [SBL],0.152,<1> (CSM),0.272,,0.0083,<-4> [SBL],0.785,,18.7,,11,,,<-4> [SCB]
lksblnut,4/28/2015 23:26,1,1,,0.00065,<-4> [SBL],0.092,<-4> [SBL],0.16,<1> (CSM),0.205,,0.0083,<-4> [SBL],0.708,,13.4,,9,,,<-4> [SCB]
lksblnut,4/28/2015 23:28,1,2,,0.00065,<-4> [SBL],0.092,<-4> [SBL],0.149,<1> (CSM),0.202,,0.0083,<-4> [SBL],0.732,,13.6,,10,,,<-4> [SCB]
lksolnut,4/28/2015 9:44,1,1,,0.00065,<-4> [SBL],0.092,<-4> [SBL],0.031,<1> (CSM),0.048,,0.0083,<-4> [SBL],0.56,,8,,5,,,<-4> [SCB]
lksolnut,4/28/2015 9:47,1,2,,0.00065,<-4> [SBL],0.092,<-4> [SBL],0.018,<1> (CSM),0.051,,0.0083,<-4> [SBL],0.681,,6.8,,6,,,<-4> [SCB]
lksponut,4/28/2015 10:38,1,1,,0.009,,0.092,<-4> [SBL],0.033,<1> (CSM),0.258,,0.0083,<-4> [SBL],1.214,,2.1,,22,,,<-4> [SCB]
lksponut,4/28/2015 10:40,1,2,,0.008,,0.092,<-4> [SBL],0.038,<1> (CSM),0.242,,0.0083,<-4> [SBL],1.207,,1.8,,18,,,<-4> [SCB]
lksbanut,4/27/2015 10:00,2,1,,0.00065,<-4> [SBL],0.092,<-4> [SBL],0.108,<1> (CSM),0.331,,0.009,,0.714,,21.2,,11,,0.322,
lksbanut,4/27/2015 12:00,2,1,,0.00065,<-4> [SBL],,<-2> (CSM),0.104,<1> (CSM),0.333,,0.01,,,,22.7,,12,,0.323,
lksbanut,4/27/2015  14:00:00 PM,2,1,,0.00065,<-4> [SBL],0.092,<-4> [SBL],0.11,<1> (CSM),0.307,,0.009,,0.726,,20.3,,11,,0.298,
lksbanut,4/27/2015  16:00:00 PM,2,1,,0.00065,<-4> [SBL],0.092,<-4> [SBL],0.092,<1> (CSM),0.304,,0.01,,0.724,,18.3,,11,,0.294,
lksbanut,4/27/2015  18:00:00 PM,2,1,,0.00065,<-4> [SBL],,<-2> (CSM),0.078,<1> (CSM),0.295,,0.01,,0.804,,18.7,,10,,0.285,
lksbanut,4/27/2015  20:00:00 PM,2,1,,0.00065,<-4> [SBL],,<-2> (CSM),0.094,<1> (CSM),0.3,,0.009,,0.662,,16,,8,,0.291,
lksbanut,4/27/2015  22:00:00 PM,2,1,,0.00065,<-4> [SBL],,<-2> (CSM),0.096,<1> (CSM),0.292,,0.0083,<-4> [SBL],0.667,,11.5,,12,,,<-4> [SCB]
lksbanut,4/28/2015,2,1,,0.00065,<-4> [SBL],,<-2> (CSM),0.091,<1> (CSM),0.292,,0.0083,<-4> [SBL],0.651,,17.2,,15,,,<-4> [SCB]
lksbanut,4/28/2015 2:00,2,1,,0.00065,<-4> [SBL],,<-2> (CSM),0.089,<1> (CSM),0.289,,0.0083,<-4> [SBL],0.662,,18.7,,11,,,<-4> [SCB]
lksbanut,4/28/2015 4:00,2,1,,0.00065,<-4> [SBL],,<-2> (CSM),0.088,<1> (CSM),0.29,,0.0083,<-4> [SBL],0.649,,19,,9,,,<-4> [SCB]
lksbanut,4/28/2015 6:00,2,1,,0.00065,<-4> [SBL],,<-2> (CSM),0.122,<1> (CSM),0.287,,0.0083,<-4> [SBL],0.478,,19.7,,12,,,<-4> [SCB]
lksbanut,4/28/2015 8:00,2,1,,0.00065,<-4> [SBL],,<-2> (CSM),0.126,<1> (CSM),0.278,,0.0083,<-4> [SBL],0.64,,22.5,,10,,,<-4> [SCB]
lksbanut,5/26/2015 11:32,1,1,,0.0602,,,<-2> (CSM),0.054,<1> (CSM),0.183,<1> (CSM),0.01,<1> (CSM),0.72,,8,,4,,0.173,
lksbanut,5/26/2015 11:35,1,2,,0.0132,<1> (CSM),,<-2> (CSM),0.061,<1> (CSM),0.184,<1> (CSM),0.011,<1> (CSM),0.672,,10.7,,8,,0.173,
lksblnut,5/26/2015 10:52,1,1,,0.0081,<1> (CSM),,<-2> (CSM),0.056,<1> (CSM),0.17,<1> (CSM),0.013,<1> (CSM),0.905,,5,,2,,0.157,
lksblnut,5/26/2015 10:54,1,2,,0.0076,<1> (CSM),,<-2> (CSM),0.054,<1> (CSM),0.168,<1> (CSM),0.011,<1> (CSM),0.88,,4.4,,2,,0.157,
lksolnut,5/26/2015 9:16,1,1,,0.0091,<1> (CSM),,<-2> (CSM),0.03,<1> (CSM),0.124,<1> (CSM),0.011,<1> (CSM),0.91,,5,,4,,0.113,
lksolnut,5/26/2015 9:18,1,2,,0.0082,<1> (CSM),,<-2> (CSM),0.027,<1> (CSM),0.123,<1> (CSM),0.012,<1> (CSM),0.934,,5.2,,1,<-4> [SBL],0.111,
lksponut,5/26/2015 10:08,1,1,,0.0194,,,<-2> (CSM),0.022,<1> (CSM),0.057,<1> (CSM),0.012,<1> (CSM),0.872,,2.5,,28,,0.045,
lksponut,5/26/2015 10:10,1,2,,0.0184,,,<-2> (CSM),0.018,<1> (CSM),0.05,<1> (CSM),0.012,<1> (CSM),1.226,,2.4,,34,,0.038,
lksbanut,5/25/2015 10:00,2,1,,0.0098,<1> (CSM),,<-2> (CSM),0.054,<1> (CSM),0.206,<1> (CSM),0.017,<1> (CSM),0.696,,10.2,,2,,0.189,
lksbanut,5/25/2015 12:00,2,1,,0.0072,<1> (CSM),,<-2> (CSM),0.036,<1> (CSM),0.195,<1> (CSM),0.017,<1> (CSM),0.632,,8.5,,8,,0.178,
lksbanut,5/25/2015  14:00:00 PM,2,1,,0.0151,,,<-2> (CSM),0.043,<1> (CSM),0.195,<1> (CSM),0.015,<1> (CSM),0.674,,9.5,,6,,0.18,
lksbanut,5/25/2015  16:00:00 PM,2,1,,0.0073,<1> (CSM),,<-2> (CSM),0.03,<1> (CSM),0.189,<1> (CSM),0.014,<1> (CSM),0.788,,11.2,,6,,0.175,
lksbanut,5/25/2015  18:00:00 PM,2,1,,0.0055,<1> (CSM),,<-2> (CSM),0.026,<1> (CSM),0.187,<1> (CSM),0.014,<1> (CSM),0.83,,10.8,,10,,0.173,
lksbanut,5/25/2015  20:00:00 PM,2,1,,0.005,<1> (CSM),,<-2> (CSM),0.028,<1> (CSM),0.179,<1> (CSM),0.01,<1> (CSM),0.773,,9.1,,8,,0.169,
lksbanut,5/25/2015  22:00:00 PM,2,1,,0.0072,<1> (CSM),,<-2> (CSM),0.034,<1> (CSM),0.192,<1> (CSM),0.014,<1> (CSM),0.751,,11.5,,12,,0.178,
lksbanut,5/26/2015,2,1,,0.01,<1> (CSM),,<-2> (CSM),0.033,<1> (CSM),0.188,<1> (CSM),0.013,<1> (CSM),0.832,,10.2,,6,,0.175,
lksbanut,5/26/2015 2:00,2,1,,0.0073,<1> (CSM),,<-2> (CSM),0.03,<1> (CSM),0.195,<1> (CSM),0.014,<1> (CSM),0.785,,9.3,,8,,0.181,
lksbanut,5/26/2015 4:00,2,1,,0.0061,<1> (CSM),,<-2> (CSM),0.033,<1> (CSM),0.184,<1> (CSM),0.014,<1> (CSM),0.735,,8.8,,8,,0.17,
lksbanut,5/26/2015 6:00,2,1,,0.0055,<1> (CSM),,<-2> (CSM),0.032,<1> (CSM),0.179,<1> (CSM),0.015,<1> (CSM),0.714,,9.6,,8,,0.164,
