Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,DIN,F_DIN,CHLA_N,F_CHLA_N,TSS,F_TSS
lksponut,3/2/2016 9:50,1,1,,0.018,<0> [SRD] (CSM),1.340,<-3> (CSM),0.028,<-3> (CSM),0.448,<-3> [GCR] (CSM),0.476,<-3> (CSM),1.816,<-3> [GCR] (CSM),1.3,<0> (CSM),49,<0> (CSM)
lksponut,3/2/2016 9:51,1,2,,0.038,<0> [SRD] (CSM),1.470,<-3> (CSM),0.034,<-3> (CSM),0.549,<-3> [GCR] (CSM),0.583,<-3> (CSM),2.053,<-3> [GCR] (CSM),1.4,<0> (CSM),53,<0> (CSM)
lksolnut,3/2/2016 11:05,1,1,,0.012,<0> (CSM),0.101,<-3> (CSM),0.026,<-3> (CSM),0.513,<-3> [GCR] (CSM),0.539,<-3> (CSM),0.64,<-3> [GCR] (CSM),1.9,<0> (CSM),5,<0> (CSM)
lksolnut,3/2/2016 11:06,1,2,,0.011,<0> (CSM),0.074,<-3> (CSM),0.023,<-3> (CSM),0.507,<-3> [GCR] (CSM),0.530,<-3> (CSM),0.604,<-3> [GCR] (CSM),1.5,<0> (CSM),3,<0> (CSM)
lksblnut,3/2/2016 12:20,1,1,,0.01,<-4> [SBL] (CSM),0.689,<-3> (CSM),0.027,<-3> (CSM),0.368,<-3> [GCR] (CSM),0.395,<-3> (CSM),1.084,<-3> [GCR] (CSM),2.8,<0> (CSM),5,<0> (CSM)
lksblnut,3/2/2016 12:21,1,2,,0.010,<0> (CSM),0.764,<-3> (CSM),0.031,<-3> (CSM),0.576,<-3> [GCR] (CSM),0.607,<-3> (CSM),1.371,<-3> [GCR] (CSM),3.3,<0> (CSM),5,<0> (CSM)
lksbanut,3/2/2016 13:25,1,1,,0.011,<0> (CSM),0.373,<-3> (CSM),0.025,<-3> (CSM),0.707,<-3> [GCR] (CSM),0.732,<-3> (CSM),1.105,<-3> [GCR] (CSM),7.7,<0> (CSM),8,<0> (CSM)
lksbanut,3/2/2016 13:26,1,2,,0.011,<0> (CSM),0.366,<-3> (CSM),0.024,<-3> (CSM),0.710,<-3> [GCR] (CSM),0.734,<-3> (CSM),1.1,<-3> [GCR] (CSM),7.5,<0> (CSM),4,<0> (CSM)
lksbanut,4/18/2016 10:00,2,1,,0.01,<-4> [SBL],0.094,<1> (CSM),0.022,<1> (CSM),0.219,<1> (CSM),0.241,0,0.335,<1> (CSM),21.7,0,9,0
lksbanut,4/18/2016 12:00,2,1,,0.01,<-4> [SBL],0.085,<1> (CSM),0.020,<1> (CSM),0.202,<1> (CSM),0.222,0,0.307,<1> (CSM),24.5,0,7,0
lksbanut,4/18/2016 14:00,2,1,,0.01,<-4> [SBL],0.085,<1> (CSM),0.021,<1> (CSM),0.203,<1> (CSM),0.224,0,0.309,<1> (CSM),21.7,0,9,0
lksbanut,4/18/2016 16:00,2,1,,0.01,<-4> [SBL],0.088,<1> (CSM),0.022,<1> (CSM),0.208,<1> (CSM),0.230,0,0.318,<1> (CSM),20.9,0,10,0
lksbanut,4/18/2016 18:00,2,1,,0.01,<-4> [SBL],0.075,<1> (CSM),0.023,<1> (CSM),0.197,<1> (CSM),0.220,0,0.295,<1> (CSM),24.1,0,9,0
lksbanut,4/18/2016 20:00,2,1,,0.01,<-4> [SBL],0.078,<1> (CSM),0.019,<1> (CSM),0.200,<1> (CSM),0.219,0,0.297,<1> (CSM),21,0,9,0
lksbanut,4/18/2016 22:00,2,1,,0.01,<-4> [SBL],0.076,<1> (CSM),0.020,<1> (CSM),0.198,<1> (CSM),0.218,0,0.294,<1> (CSM),21.7,0,8,0
lksbanut,4/19/2016 0:00,2,1,,0.01,<-4> [SBL],0.124,<1> (CSM),0.022,<1> (CSM),0.227,<1> (CSM),0.249,0,0.373,<1> (CSM),18.5,0,9,0
lksbanut,4/19/2016 2:00,2,1,,0.01,<-4> [SBL],0.118,<1> (CSM),0.020,<1> (CSM),0.202,<1> (CSM),0.222,0,0.34,<1> (CSM),15.7,0,9,0
lksbanut,4/19/2016 4:00,2,1,,0.01,<-4> [SBL],0.104,<1> (CSM),0.023,<1> (CSM),0.204,<1> (CSM),0.227,0,0.331,<1> (CSM),15.4,0,9,0
lksbanut,4/19/2016 6:00,2,1,,0.01,<-4> [SBL],0.103,<1> (CSM),0.022,<1> (CSM),0.195,<1> (CSM),0.217,0,0.32,<1> (CSM),17.4,0,6,0
lksbanut,4/19/2016 8:00,2,1,,0.01,<-4> [SBL],0.100,<1> (CSM),0.020,<1> (CSM),0.196,<1> (CSM),0.216,0,0.316,<1> (CSM),16.8,0,7,0
lksblnut,4/19/2016 8:45,1,1,,0.01,<-4> [SBL],0.077,<1> (CSM),0.016,<1> (CSM),0.133,<1> (CSM),0.149,0,0.226,<1> (CSM),2.3,0,10,0
