Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,NH4F,F_NH4F,NO2F,F_NO2F,NO23F,F_NO23F,NO3F,F_NO3F,TN,F_TN,PO4F,F_PO4F,TP,F_TP,CHLA_N,F_CHLA_N,TSS,F_TSS
lksbanut,4/22/2019 4:00:00 PM,2,1,,0.047,<-3> (CSM),0.008,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> [SBL] (CHB),,<-1>,7.75,,14,
lksbanut,4/22/2019 6:00:00 PM,2,1,,0.052,<-3> (CSM),0.008,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> (CHB),,<-1>,7.92,,12.5,
lksbanut,4/22/2019 8:00:00 PM,2,1,,0.052,<-3> (CSM),0.045,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.003,<1> (CHB),,<-1>,7.21,,10.5,
lksbanut,4/22/2019 10:00:00 PM,2,1,,0.052,<-3> (CSM),0.011,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> (CHB),,<-1>,6.99,,13,
lksbanut,4/23/2019,2,1,,0.049,<-3> (CSM),0.008,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.003,<1> (CHB),,<-1>,1.34,,10,
lksbanut,4/23/2019 2:00:00 AM,2,1,,0.044,<-3> (CSM),0.01,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.003,<1> (CHB),,<-1>,3.35,,6.5,
lksbanut,4/23/2019 4:00:00 AM,2,1,,0.053,<-3> (CSM),0.007,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> (CHB),,<-1>,3.91,,12.5,
lksbanut,4/23/2019 6:00:00 AM,2,1,,0.052,<-3> (CSM),0.01,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> (CHB),,<-1>,8.35,,16,
lksbanut,4/23/2019 8:00:00 AM,2,1,,0.052,<-3> (CSM),0.01,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.003,<1> (CHB),,<-1>,3.61,,14,
lksbanut,4/23/2019 10:00:00 AM,2,1,,0.043,<-3> (CSM),0.026,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.004,<1> (CHB),,<-1>,3.67,,16,
lksbanut,4/23/2019 12:00:00 PM,2,1,,0.017,<-3> (CSM),0.008,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> (CHB),,<-1>,4.79,,11,
lksbanut,4/23/2019 2:00:00 PM,2,1,,0.016,<-3> (CSM),0.007,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> (CHB),,<-1>,4.44,,10.5,
lksbanut,4/23/2019 7:54:00 AM,1,1,,0.022,<-3> (CSM),0.01,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> (CHB),,<-1>,8.08,,13,
lksbanut,4/23/2019 7:55:00 AM,1,2,,0.017,<-3> (CSM),0.009,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.003,<1> (CHB),,<-1>,7.81,,13.5,
lksblnut,4/23/2019 11:40:00 AM,1,1,,0.002,<-3> [SBL] (CSM),0.008,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> (CHB),,<-1>,1.87,,26,
lksblnut,4/23/2019 11:45:00 AM,1,2,,0.002,<-3> [SBL] (CSM),0.012,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> (CHB),,<-1>,1.94,,26.5,
lksolnut,4/23/2019 9:31:00 AM,1,1,,0.002,<-3> [SBL] (CSM),0.011,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> [SBL] (CHB),,<-1>,2.21,,38,
