Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,TP,F_TP,PO4F,F_PO4F,TN,F_TN,NH4F,F_NH4F,NO23F,F_NO23F,NO2F,F_NO2F,NO3F,F_NO3F,DIN,F_DIN,CHLA_N,F_CHLA_N,TSS,F_TSS
lksbanut,4/25/2022 10:00:00 AM,2,1,,,<-1>,0.01,,,<-1>,0.147,,0.424,,0.008,,0.416,,0.571,,2.9,,11,
lksbanut,4/25/2022 12:00:00 PM,2,1,,,<-1>,0.009,,,<-1>,0.151,,0.443,,0.009,,0.434,,0.594,,8.3,,13,
lksbanut,4/25/2022 2:00:00 PM,2,1,,,<-1>,0.01,,,<-1>,0.172,,0.453,,0.007,,0.446,,0.625,,8.8,,13,
lksbanut,4/25/2022 4:00:00 PM,2,1,,,<-1>,0.011,,,<-1>,0.15,,0.457,,0.008,,0.449,,0.607,,11.3,,15,
lksbanut,4/25/2022 6:00:00 PM,2,1,,,<-1>,0.012,,,<-1>,0.205,,0.469,,0.009,,0.46,,0.674,,4.3,,14,
lksbanut,4/25/2022 8:00:00 PM,2,1,,,<-1>,0.011,,,<-1>,0.179,,0.464,,0.007,<-4> [SBL],,<-4> [SCB],0.643,,7.2,,16,
lksbanut,4/25/2022 10:00:00 PM,2,1,,,<-1>,0.01,,,<-1>,0.183,,0.457,,0.008,,0.449,,0.64,,8.1,,11,
lksbanut,4/26/2022,2,1,,,<-1>,0.014,,,<-1>,0.24,,0.463,,0.009,,0.454,,0.703,,6.6,,15,
lksbanut,4/26/2022 2:00:00 AM,2,1,,,<-1>,0.014,,,<-1>,0.425,,0.46,,0.01,,0.45,,0.885,,5.3,,13,
lksbanut,4/26/2022 4:00:00 AM,2,1,,,<-1>,0.013,,,<-1>,0.312,,0.467,,0.008,,0.459,,0.779,,7.2,,12,
lksbanut,4/26/2022 6:00:00 AM,2,1,,,<-1>,0.013,,,<-1>,0.28,,0.467,,0.01,,0.457,,0.747,,6.9,,11,
lksbanut,4/26/2022 8:00:00 AM,2,1,,,<-1>,0.012,,,<-1>,0.356,,0.452,,0.01,,0.442,,0.808,,6.2,,10,
lksbanut,4/26/2022 9:06:00 AM,1,1,,0.074,,0.012,,1.77,,0.323,,0.47,,0.01,,0.46,,0.793,,7,,10,
lksbanut,4/26/2022 9:10:00 AM,1,1,,,<-1>,0.013,,,<-1>,0.323,,0.465,,0.01,,0.455,,0.788,,7.1,,10,
lksbanut,5/30/2022 10:00:00 AM,2,1,,,<-1>,0.011,,,<-1>,0.071,,0.192,,0.008,,0.184,,0.263,,12.4,,9,
lksbanut,5/30/2022 12:00:00 PM,2,2,,,<-1>,0.01,,,<-1>,0.076,,0.193,,0.009,,0.184,,0.269,,12.6,,12,
lksbanut,5/30/2022 2:00:00 PM,2,1,,,<-1>,0.011,,,<-1>,0.073,,0.191,,0.008,,0.183,,0.264,,11,,16,
lksbanut,5/30/2022 4:00:00 PM,2,1,,,<-1>,0.011,,,<-1>,0.072,,0.19,,0.007,,0.183,,0.262,,13.4,,20,
lksbanut,5/30/2022 6:00:00 PM,2,1,,,<-1>,0.011,,,<-1>,0.07,,0.189,,0.009,,0.18,,0.259,,14.7,,15,
lksbanut,5/30/2022 8:00:00 PM,2,1,,,<-1>,0.012,,,<-1>,0.068,,0.193,,0.007,,0.186,,0.261,,14,,18,
lksbanut,5/30/2022 10:00:00 PM,2,1,,,<-1>,0.012,,,<-1>,0.072,,0.194,,0.009,,0.185,,0.266,,11.2,,10,
lksbanut,5/31/2022,2,1,,,<-1>,0.013,,,<-1>,0.073,,0.196,,0.009,,0.187,,0.269,,12.5,,10,
lksbanut,5/31/2022 2:00:00 AM,2,1,,,<-1>,0.015,,,<-1>,0.078,,0.201,,0.01,,0.191,,0.279,,10.2,,9,
lksbanut,5/31/2022 4:00:00 AM,2,1,,,<-1>,0.014,,,<-1>,0.073,,0.198,,0.008,,0.19,,0.271,,9.4,,10,
