"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"lksblwq  ","P",04/07/2025 15:15,0,0,"",16.7,<0> ,0.34,<0> ,0.2,<0> ,98.4,<0> ,9.6,<0> ,0.08,<0> ,0.0,<3> ,"",<-1> ,"","",8.3,<0> ,0,<0> ,"",<-1> ,
"lksblwq  ","P",04/07/2025 15:30,0,0,"",16.8,<0> ,0.34,<0> ,0.2,<0> ,98.3,<0> ,9.5,<0> ,0.08,<0> ,0.0,<3> ,"",<-1> ,"","",8.3,<0> ,0,<0> ,"",<-1> ,
"lksblwq  ","P",04/07/2025 15:45,0,0,"",16.8,<0> ,0.34,<0> ,0.2,<0> ,98.3,<0> ,9.5,<0> ,0.08,<0> ,0.0,<3> ,"",<-1> ,"","",8.3,<0> ,0,<0> ,"",<-1> ,
"lksblwq  ","P",04/07/2025 16:00,0,0,"",16.8,<0> ,0.34,<0> ,0.2,<0> ,98.3,<0> ,9.5,<0> ,0.08,<0> ,0.0,<3> ,"",<-1> ,"","",8.3,<0> ,0,<0> ,"",<-1> ,
"lksblwq  ","P",04/07/2025 16:15,0,0,"",16.9,<0> ,0.34,<0> ,0.2,<0> ,98.3,<0> ,9.5,<0> ,0.08,<0> ,0.0,<3> ,"",<-1> ,"","",8.3,<0> ,0,<0> ,"",<-1> ,
"lksblwq  ","P",04/07/2025 16:30,0,0,"",16.9,<0> ,0.34,<0> ,0.2,<0> ,98.3,<0> ,9.5,<0> ,0.08,<0> ,0.0,<3> ,"",<-1> ,"","",8.3,<0> ,0,<0> ,"",<-1> ,
"lksblwq  ","P",04/07/2025 16:45,0,0,"",16.9,<0> ,0.34,<0> ,0.2,<0> ,98.3,<0> ,9.5,<0> ,0.08,<0> ,0.0,<3> ,"",<-1> ,"","",8.3,<0> ,0,<0> ,"",<-1> ,
"lksblwq  ","P",04/07/2025 17:00,0,0,"",16.9,<0> ,0.34,<0> ,0.2,<0> ,98.3,<0> ,9.5,<0> ,0.08,<0> ,0.0,<3> ,"",<-1> ,"","",8.3,<0> ,0,<0> ,"",<-1> ,
"lksblwq  ","P",04/07/2025 17:15,0,0,"",17.0,<0> ,0.34,<0> ,0.2,<0> ,98.3,<0> ,9.5,<0> ,0.08,<0> ,0.0,<3> ,"",<-1> ,"","",8.3,<0> ,0,<0> ,"",<-1> ,
"lksblwq  ","P",04/07/2025 17:30,0,0,"",17.0,<0> ,0.34,<0> ,0.2,<0> ,98.3,<0> ,9.5,<0> ,0.08,<0> ,0.0,<3> ,"",<-1> ,"","",8.3,<0> ,0,<0> ,"",<-1> ,
