"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"lkspowq  ","P",05/06/2025 8:15,0,1,"",11.6,<0> (CND),0.15,<0> (CND),0.1,<0> (CND),85.6,<0> (CND),9.3,<0> (CND),0.45,<0> (CND),0.42,<3> ,"",<-1> ,"","",7.4,<0> (CND),67,<0> (CND),"",<-1> ,
"lkspowq  ","P",05/06/2025 8:30,0,1,"",11.9,<0> ,0.15,<0> ,0.1,<0> ,86.1,<0> ,9.3,<0> ,0.42,<0> ,0.39,<3> ,"",<-1> ,"","",7.3,<0> ,68,<0> ,"",<-1> ,
"lkspowq  ","P",05/06/2025 8:45,0,1,"",11.9,<0> ,0.15,<0> ,0.1,<0> ,86.0,<0> ,9.3,<0> ,0.44,<0> ,0.42,<3> ,"",<-1> ,"","",7.4,<0> ,71,<0> ,"",<-1> ,
"lkspowq  ","P",05/06/2025 9:00,0,1,"",11.8,<0> ,0.15,<0> ,0.1,<0> ,86.3,<0> ,9.4,<0> ,0.41,<0> ,0.39,<3> ,"",<-1> ,"","",7.4,<0> ,70,<0> ,"",<-1> ,
"lkspowq  ","P",05/06/2025 9:15,0,1,"",12.4,<0> ,0.15,<0> ,0.1,<0> ,88.0,<0> ,9.4,<0> ,0.37,<0> ,0.35,<3> ,"",<-1> ,"","",7.3,<0> ,67,<0> ,"",<-1> ,
"lkspowq  ","P",05/06/2025 9:30,0,1,"",12.0,<0> ,0.15,<0> ,0.1,<0> ,86.2,<0> ,9.3,<0> ,0.36,<0> ,0.34,<3> ,"",<-1> ,"","",7.4,<0> ,76,<0> ,"",<-1> ,
"lkspowq  ","P",05/06/2025 9:45,0,1,"",12.4,<0> ,0.15,<0> ,0.1,<0> ,87.8,<0> ,9.4,<0> ,0.38,<0> ,0.36,<3> ,"",<-1> ,"","",7.4,<0> ,72,<0> ,"",<-1> ,
"lkspowq  ","P",05/06/2025 10:00,0,1,"",12.9,<0> ,0.17,<0> ,0.1,<0> ,92.1,<0> ,9.7,<0> ,0.4,<0> ,0.38,<3> ,"",<-1> ,"","",7.6,<0> ,71,<0> ,"",<-1> ,
"lkspowq  ","P",05/06/2025 10:15,0,1,"",12.3,<0> ,0.16,<0> ,0.1,<0> ,88.7,<0> ,9.5,<0> ,0.4,<0> ,0.38,<3> ,"",<-1> ,"","",7.4,<0> ,74,<0> ,"",<-1> ,
"lkspowq  ","P",05/06/2025 10:30,0,1,"",12.5,<0> ,0.15,<0> ,0.1,<0> ,87.9,<0> ,9.4,<0> ,0.4,<0> ,0.38,<3> ,"",<-1> ,"","",7.4,<0> ,74,<0> ,"",<-1> ,
"lkspowq  ","P",05/06/2025 10:45,0,1,"",13.0,<0> ,0.15,<0> ,0.1,<0> ,89.3,<0> ,9.4,<0> ,0.4,<0> ,0.38,<3> ,"",<-1> ,"","",7.4,<0> ,69,<0> ,"",<-1> ,
"lkspowq  ","P",05/06/2025 11:00,0,1,"",12.6,<0> ,0.15,<0> ,0.1,<0> ,88.3,<0> ,9.4,<0> ,0.38,<0> ,0.36,<3> ,"",<-1> ,"","",7.4,<0> ,79,<0> ,"",<-1> ,
"lkspowq  ","P",05/06/2025 11:15,0,1,"",13.7,<0> ,0.15,<0> ,0.1,<0> ,92.7,<0> ,9.6,<0> ,0.41,<0> ,0.4,<3> ,"",<-1> ,"","",7.5,<0> ,76,<0> ,"",<-1> ,
"lkspowq  ","P",05/06/2025 11:30,0,1,"",13.8,<0> ,0.16,<0> ,0.1,<0> ,91.6,<0> ,9.5,<0> ,0.41,<0> ,0.4,<3> ,"",<-1> ,"","",7.5,<0> ,72,<0> ,"",<-1> ,
"lkspowq  ","P",05/06/2025 11:45,0,1,"",14.2,<0> ,0.17,<0> ,0.1,<0> ,97.1,<0> ,10.0,<0> ,0.44,<0> ,0.43,<3> ,"",<-1> ,"","",7.6,<0> ,74,<0> ,"",<-1> ,
"lkspowq  ","P",05/06/2025 12:00,0,1,"",13.1,<0> ,0.16,<0> ,0.1,<0> ,92.0,<0> ,9.7,<0> ,0.44,<0> ,0.43,<3> ,"",<-1> ,"","",7.5,<0> ,71,<0> ,"",<-1> ,
"lkspowq  ","P",05/06/2025 12:15,0,1,"",13.2,<0> ,0.16,<0> ,0.1,<0> ,89.7,<0> ,9.4,<0> ,0.42,<0> ,0.41,<3> ,"",<-1> ,"","",7.4,<0> ,73,<0> ,"",<-1> ,
"lkspowq  ","P",05/06/2025 12:30,0,1,"",14.0,<0> ,0.16,<0> ,0.1,<0> ,92.9,<0> ,9.6,<0> ,0.41,<0> ,0.4,<3> ,"",<-1> ,"","",7.5,<0> ,72,<0> ,"",<-1> ,
"lkspowq  ","P",05/06/2025 12:45,0,1,"",14.6,<0> ,0.16,<0> ,0.1,<0> ,94.1,<0> ,9.6,<0> ,0.4,<0> ,0.39,<3> ,"",<-1> ,"","",7.5,<0> ,74,<0> ,"",<-1> ,
"lkspowq  ","P",05/06/2025 13:00,0,1,"",13.7,<0> ,0.15,<0> ,0.1,<0> ,90.1,<0> ,9.4,<0> ,0.4,<0> ,0.4,<3> ,"",<-1> ,"","",7.5,<0> ,76,<0> ,"",<-1> ,
"lkspowq  ","P",05/06/2025 13:15,0,1,"",16.1,<0> ,0.17,<0> ,0.1,<0> ,99.3,<0> ,9.8,<0> ,0.41,<0> ,0.41,<3> ,"",<-1> ,"","",7.6,<0> ,76,<0> ,"",<-1> ,
"lkspowq  ","P",05/06/2025 13:30,0,1,"",15.8,<0> ,0.17,<0> ,0.1,<0> ,100.3,<0> ,9.9,<0> ,0.44,<0> ,0.43,<3> ,"",<-1> ,"","",7.6,<0> ,73,<0> ,"",<-1> ,
"lkspowq  ","P",05/06/2025 13:45,0,1,"",15.9,<0> ,0.17,<0> ,0.1,<0> ,100.4,<0> ,9.9,<0> ,0.47,<0> ,0.47,<3> ,"",<-1> ,"","",7.6,<0> ,74,<0> ,"",<-1> ,
