,site,sample_type,sample_program,event,date_sampled,time_sampled,chla,sample_type_nut,sample_program_nut,date_sampled_nut,tp_ppb,op_ppb,tn_ppb,nh4n_ppb,no2no3n_ppb,anc_mgLcaco3,doc_ppm,toc_ppm,no2n_ppb,file source,nut_labnotes,sample_type_solids,sample_program_solids,date_sampled_solids,time_sampled_solids,tss,vss,date,time,depth_m,f_dom_qsu,f_dom_rfu,odo_percent_sat,odo_mg_l,sal_psu,sp_cond_m_s_cm,tal_pc_rfu,tal_pc_ug_l,turbidity_fnu,p_h,p_h_m_v,temp_c,battery_v,profile,sample_type_fs,sample_program_fs,PAR_0A,PAR_0B,PAR_50,PAR_100,PAR_150,PAR_200,PAR_250,PAR_300,secchi_disappear_m,secchi_reappear_m,secchi_depth_m,pco2_ppm,tgas_c,pco2_time_min,date_sampled_fs,arrival_time
1,BA,Scheduled Sample,Science Collaborative,1,10/26/2022,13H 22M 0S,7.54,Scheduled Sample,Science Collaborative,10/26/2022,46,12,1050,87,502,29.7,9.52,9.54,NA,nut1,Two Vials for DOC; M indicates Membrate filtration; G indicates GFF filtration,Scheduled Sample,Science Collaborative,10/26/2022,13H 22M 0S,4,NA,10/26/2022,13H 12M 31S,2.141550725,130.664058,41.24623188,92.44927536,10.76217391,0.1,0.202144928,0.994057971,1.343188406,6.751014493,7.847536232,-70.84057971,8.696492754,5.658550725,BA_1,Scheduled Sample,Science Collaborative,NA,494.3,99.79,34.73,NA,NA,NA,NA,1,0.9,0.95,NA,NA,NA,10/26/2022,13:08:00
2,PO,Scheduled Sample,Science Collaborative,1,10/26/2022,9H 35M 0S,20.48,Scheduled Sample,Science Collaborative,10/26/2022,200,8,1044,37,22,47,16.11,16.7,NA,nut1,Two Vials for DOC; M indicates Membrate filtration; G indicates GFF filtration,Scheduled Sample,Science Collaborative,10/26/2022,9H 35M 0S,56.5,NA,10/26/2022,9H 22M 28S,1.560723404,129.6342553,40.92212766,70.15531915,8.236808511,0.13,0.279595745,1.591489362,2.030851064,96.17170213,7.464255319,-50.15319149,8.320680851,5.744893617,PO_1,Scheduled Sample,Science Collaborative,NA,109.61,0.49,0,NA,NA,NA,NA,0.18,0.1,0.14,NA,NA,NA,10/26/2022,9:35:00
3,AL,Scheduled Sample,Science Collaborative,1,10/26/2022,12H 36M 0S,25.21,Scheduled Sample,Science Collaborative,10/26/2022,66,4,636,10,112,28.1,7.64,8.28,NA,nut1,Two Vials for DOC; M indicates Membrate filtration; G indicates GFF filtration,Scheduled Sample,Science Collaborative,10/26/2022,12H 36M 0S,15,NA,10/26/2022,12H 32M 21S,1.009944444,90.09277778,28.48694444,93.12222222,10.99,0.08,0.176,1.433888889,1.848333333,25.00944444,7.83,-69.88611111,8.135944444,5.687222222,AL_1,Scheduled Sample,Science Collaborative,NA,245.3,31.26,7.14,NA,NA,NA,NA,0.5,0.3,0.4,NA,NA,NA,10/26/2022,12:30:00
4,BI,Scheduled Sample,Science Collaborative,1,10/26/2022,11H 26M 0S,3.41,Scheduled Sample,Science Collaborative,10/26/2022,60,18,968,39,131,41.6,17.94,19.03,NA,nut1,Two Vials for DOC; M indicates Membrate filtration; G indicates GFF filtration,Scheduled Sample,Science Collaborative,10/26/2022,11H 26M 0S,2.4,NA,10/26/2022,11H 21M 43S,1.308309524,206.78,65.18452381,90.18809524,10.61166667,0.12,0.251,0.913571429,1.25,12.3147619,7.89,-73.06428571,8.236880952,5.703571429,BI_1,Scheduled Sample,Science Collaborative,NA,190.51,21.57,4.92,NA,NA,NA,NA,0.7,0.6,0.65,NA,NA,NA,10/26/2022,11:18:00
5,KI,Scheduled Sample,Science Collaborative,1,10/26/2022,10H 28M 0S,4.31,Scheduled Sample,Science Collaborative,10/26/2022,74,18,903,73,101,41.8,17.27,18.55,NA,nut1,Two Vials for DOC; M indicates Membrate filtration; G indicates GFF filtration,Scheduled Sample,Science Collaborative,10/26/2022,10H 28M 0S,6.3,NA,10/26/2022,10H 24M 4S,1.149375,192.4995833,60.69208333,85.80416667,10.03125,0.13,0.266,0.931666667,1.270416667,19.0225,7.707083333,-63.16666667,8.500833333,5.71875,KI_1,Scheduled Sample,Science Collaborative,NA,157.35,10.56,2.07,NA,NA,NA,NA,0.5,0.4,0.45,NA,NA,NA,10/26/2022,10:21:00
6,NO,Scheduled Sample,Science Collaborative,1,10/26/2022,8H 6M 0S,5.57,Scheduled Sample,Science Collaborative,10/26/2022,47,12,844,35,47,91,16.69,16.99,NA,nut1,Two Vials for DOC; M indicates Membrate filtration; G indicates GFF filtration,Scheduled Sample,Science Collaborative,10/26/2022,8H 6M 0S,4.7,NA,10/26/2022,7H 47M 1S,1.083583333,199.9529167,63.03791667,87.7625,10.2375,0.12,0.256,0.938333333,1.278333333,6.730416667,7.79375,-67.8375,8.602666667,5.78,NO_1,Scheduled Sample,Science Collaborative,NA,31.53,3.32,0.91,NA,NA,NA,NA,0.9,0.9,0.9,NA,NA,NA,10/26/2022,8:10:00
7,BL,Scheduled Sample,SWMP,1,10/26/2022,11H 56M 0S,4.15,Scheduled Sample,SWMP,10/22/2022,51,19,1027,127,367,NA,NA,NA,8,nut0,NA,Scheduled Sample,SWMP,10/26/2022,11H 56M 0S,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,OL,Scheduled Sample,SWMP,1,10/26/2022,8H 45M 0S,2.98,Scheduled Sample,SWMP,10/22/2022,34,10,740,27,43,NA,NA,NA,2,nut0,NA,Scheduled Sample,SWMP,10/26/2022,8H 45M 0S,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,KI,Scheduled Sample,Science Collaborative,2,2/6/2023,13H 55M 0S,0.4,Scheduled Sample,Science Collaborative,2/6/2023,31,10,854,38,246,78.9,15.01,15.56,NA,nut2,NA,Scheduled Sample,Science Collaborative,2/6/2023,13H 55M 0S,2,2,2/6/2023,13H 39M 36S,1.128033333,191.9756667,60.27433333,92.13333333,13.47133333,0.104,0.222566667,1.282666667,1.644666667,5.671666667,7.346333333,-47.64,-0.0255,5.727333333,KI_2,Scheduled Sample,Science Collaborative,1793,716.5,35.45,6.78,1.95,NA,NA,NA,1,1,1,NA,NA,NA,2/6/2023,13:25:00
10,NO,Scheduled Sample,Science Collaborative,2,2/6/2023,11H 5M 0S,0.43,Scheduled Sample,Science Collaborative,2/6/2023,34,19,886,107,201,75.2,16.22,16.7,NA,nut2,NA,Scheduled Sample,Science Collaborative,2/6/2023,11H 5M 0S,2,2,2/6/2023,10H 31M 50S,0.8533125,181.5775,57.0275,48.95625,7.01125,0.11875,0.2488125,1.14125,1.48125,8.1675,6.87,-22.575,0.7005625,6.03125,NO_2,Scheduled Sample,Science Collaborative,3037,606,39.39,4.01,NA,NA,NA,NA,1.05,0.85,0.95,NA,NA,NA,2/6/2023,10:22:00
