Site Name ,Site ID,Date,Time (CDT),Discharge (CFS),Total Phosphorus (mg/L)
Bay City Creek at Hwy 13,BCC,4/8/14,10:26,17.98,0.1289
Bay City Creek at Hwy 13,BCC,4/10/14,12:40,76,0.2479
Bay City Creek at Hwy 13,BCC,4/21/14,19:10,160,0.5595
Bay City Creek at Hwy 13,BCC,5/7/14,10:35,4.9,0.0675
Bay City Creek at Hwy 13,BCC,5/9/14,10:30,81,0.2728
Bay City Creek at Hwy 13,BCC,5/19/14,14:30,3.9,0.0718
Bay City Creek at Hwy 13,BCC,5/20/14,14:33,25,0.2244
Bay City Creek at Hwy 13,BCC,6/4/14,14:30,0.5,0.078
Bay City Creek at Hwy 13,BCC,6/16/14,16:30,3.2,0.1274
Bay City Creek at Hwy 13,BCC,7/1/14,8:39,0.5,0.1024
Bay City Creek at Hwy 13,BCC,7/16/14,9:53,0.04,0.1341
Bay City Creek at Hwy 13,BCC,7/28/14,14:45,0.04,0.118
Bay City Creek at Hwy 13,BCC,8/14/14,15:58,,0.1225
Bay City Creek at Hwy 13,BCC,8/25/14,9:55,64.76,0.3574
Bay City Creek at Hwy 13,BCC,9/11/14,9:01,,0.1564
Bay City Creek at Hwy 13,BCC,9/29/14,14:05,,0.22
Bay City Creek at Hwy 13,BCC,10/14/14,11:55,1.198,0.1652
Bay City Creek at Hwy 13,BCC,11/6/14,17:00,,0.067
Bay City Creek at Hwy 13,BCC,12/9/14,11:45,0.25,0.0524
Bay City Creek at Hwy 13,BCC,12/15/14,14:10,27.1,0.1558
Bay City Creek at Hwy 13,BCC,1/22/15,11:00,0.013,0.0478
Bay City Creek at Hwy 13,BCC,3/17/15,15:00,21.8,0.1257
Bay City Creek at Hwy 13,BCC,3/30/15,16:45,1.11,0.0561
Bay City Creek at Hwy 13,BCC,4/20/15,16:50,20.9,0.2189
Bay City Creek at Hwy 13,BCC,5/4/15,12:30,0.136,0.0644
Bay City Creek at Hwy 13,BCC,5/18/15,11:30,3.24,0.0633
Bay City Creek at Hwy 13,BCC,6/2/15,16:15,0.22,0.0611
Bay City Creek at Hwy 13,BCC,6/4/15,9:15,9.2,0.2516
Bay City Creek at Hwy 13,BCC,6/16/15,16:15,0.61,0.1223
Bay City Creek at Hwy 13,BCC,6/30/15,15:15,0.03,0.1536
Bay City Creek at Hwy 13,BCC,7/14/15,13:15,4.2,0.1233
Bay City Creek at Hwy 13,BCC,7/28/15,9:21,0.0025,0.2144
Bay City Creek at Hwy 13,BCC,8/11/15,9:30,0.004,0.0864
Bay City Creek at Hwy 13,BCC,8/19/15,9:05,1.035,0.1274
Bay City Creek at Hwy 13,BCC,8/25/15,15:45,0.05,0.0964
Bay City Creek at Hwy 13,BCC,9/8/15,15:20,0.013,0.1133
