,,Discharge.Daily@BCBR,Discharge.Daily@BCBR,Discharge.Daily@BCBR,Discharge.Daily@BCBR
yyyy-mm-dd,HH:MM:SS,ft^3/s,,,
Date,Time,Value,Grade,Approval,InterpolationCode
6/26/14,0:00:00,0.177632568,51,,8
6/27/14,0:00:00,0.278617485,51,,8
6/28/14,0:00:00,0.676425677,51,,8
6/29/14,0:00:00,1.236612682,51,,8
6/30/14,0:00:00,0.431262721,51,,8
7/1/14,0:00:00,0.111422438,51,,8
7/2/14,0:00:00,0.054503676,51,,8
7/3/14,0:00:00,0.018138704,51,,8
7/4/14,0:00:00,0.011373876,51,,8
7/5/14,0:00:00,0.02166823,51,,8
7/6/14,0:00:00,0.015457828,51,,8
7/7/14,0:00:00,0.014264033,51,,8
7/8/14,0:00:00,0.122187696,51,,8
7/9/14,0:00:00,0.11856001,51,,8
7/10/14,0:00:00,0.058408873,51,,8
7/11/14,0:00:00,0.091062837,51,,8
7/12/14,0:00:00,0.061399483,51,,8
7/13/14,0:00:00,0.022870397,51,,8
7/14/14,0:00:00,0.041514821,51,,8
7/15/14,0:00:00,0.038280471,51,,8
7/16/14,0:00:00,0.076630145,51,,8
7/17/14,0:00:00,0.092135548,51,,8
7/18/14,0:00:00,0.092032538,51,,8
7/19/14,0:00:00,0.082622405,51,,8
7/20/14,0:00:00,0.073519357,51,,8
7/21/14,0:00:00,0.064341942,51,,8
7/22/14,0:00:00,0.099951721,51,,8
7/23/14,0:00:00,0.092931311,51,,8
7/24/14,0:00:00,0.08489816,51,,8
7/25/14,0:00:00,0.083397708,51,,8
7/26/14,0:00:00,0.055186733,51,,8
7/27/14,0:00:00,0.111012598,51,,8
7/28/14,0:00:00,0.070777256,51,,8
7/29/14,0:00:00,0.12944521,51,,8
7/30/14,0:00:00,0.114734326,51,,8
7/31/14,0:00:00,0.071996676,51,,8
8/1/14,0:00:00,0.09914263,51,,8
8/2/14,0:00:00,0.107607555,51,,8
8/3/14,0:00:00,0.087942147,51,,8
8/4/14,0:00:00,0.100496856,51,,8
8/5/14,0:00:00,0.092809241,51,,8
8/6/14,0:00:00,0.156634547,51,,8
8/7/14,0:00:00,0.116803294,51,,8
8/8/14,0:00:00,0.07570453,51,,8
8/9/14,0:00:00,0.069263083,51,,8
8/10/14,0:00:00,0.058946526,51,,8
8/11/14,0:00:00,0.142905527,51,,8
8/12/14,0:00:00,0.077215756,51,,8
8/13/14,0:00:00,0.096773209,51,,8
8/14/14,0:00:00,0.093517493,51,,8
8/15/14,0:00:00,0.09081631,51,,8
8/16/14,0:00:00,0.128934982,51,,8
8/17/14,0:00:00,0.13747281,51,,8
8/18/14,0:00:00,0.27406063,51,,8
8/19/14,0:00:00,0.4389729,51,,8
8/20/14,0:00:00,0.192082215,51,,8
8/21/14,0:00:00,0.199837877,51,,8
8/22/14,0:00:00,0.168533233,51,,8
8/23/14,0:00:00,0.187073151,51,,8
8/24/14,0:00:00,0.231876124,51,,8
8/25/14,0:00:00,13.1546733,51,,8
8/26/14,0:00:00,0.679943121,51,,8
8/27/14,0:00:00,0.232200664,51,,8
8/28/14,0:00:00,0.142245279,51,,8
8/29/14,0:00:00,3.18675351,51,,8
8/30/14,0:00:00,4.470174344,51,,8
8/31/14,0:00:00,13.29807896,11,,8
9/1/14,0:00:00,66.68086846,11,,8
9/2/14,0:00:00,5.859114537,51,,8
9/3/14,0:00:00,2.141353735,51,,8
9/4/14,0:00:00,4.225211804,51,,8
9/5/14,0:00:00,2.13496318,51,,8
9/6/14,0:00:00,0.840008932,51,,8
9/7/14,0:00:00,0.433264898,51,,8
9/8/14,0:00:00,0.354395452,51,,8
9/9/14,0:00:00,0.386478402,51,,8
9/10/14,0:00:00,43.53528437,51,,8
9/11/14,0:00:00,5.621093772,51,,8
9/12/14,0:00:00,1.485300183,51,,8
9/13/14,0:00:00,0.62922919,51,,8
9/14/14,0:00:00,0.250772081,51,,8
9/15/14,0:00:00,0.087224408,51,,8
9/16/14,0:00:00,0.020560016,51,,8
9/17/14,0:00:00,0.030916188,51,,8
9/18/14,0:00:00,0.013247173,51,,8
9/19/14,0:00:00,0.021623825,51,,8
9/20/14,0:00:00,0.025228699,51,,8
9/21/14,0:00:00,0.077072266,51,,8
9/22/14,0:00:00,0.019715658,51,,8
9/23/14,0:00:00,0.014638854,51,,8
9/24/14,0:00:00,0.013346586,51,,8
9/25/14,0:00:00,0.014171703,51,,8
9/26/14,0:00:00,0.011324171,51,,8
9/27/14,0:00:00,0.008829283,51,,8
9/28/14,0:00:00,0.005276155,51,,8
9/29/14,0:00:00,0.094213033,51,,8
9/30/14,0:00:00,0.040115276,51,,8
10/1/14,0:00:00,0.68994829,51,,8
10/2/14,0:00:00,1.41255311,51,,8
10/3/14,0:00:00,3.13683345,51,,8
10/4/14,0:00:00,5.777394718,51,,8
10/5/14,0:00:00,1.342271617,51,,8
10/6/14,0:00:00,0.355180006,51,,8
10/7/14,0:00:00,0.169254437,51,,8
10/8/14,0:00:00,0.088982216,51,,8
10/9/14,0:00:00,0.0557623,51,,8
10/10/14,0:00:00,0.026372469,51,,8
10/11/14,0:00:00,0.016535416,51,,8
10/12/14,0:00:00,0.010532562,51,,8
10/13/14,0:00:00,0.016043605,51,,8
10/14/14,0:00:00,0.146931608,51,,8
10/15/14,0:00:00,0.173102669,51,,8
10/16/14,0:00:00,0.156932908,51,,8
10/17/14,0:00:00,0.536174195,51,,8
10/18/14,0:00:00,1.223365579,51,,8
10/19/14,0:00:00,0.771771269,51,,8
10/20/14,0:00:00,0.530832262,51,,8
10/21/14,0:00:00,0.358804181,51,,8
10/22/14,0:00:00,0.232220819,51,,8
10/23/14,0:00:00,0.29363569,51,,8
10/24/14,0:00:00,0.352232882,51,,8
10/25/14,0:00:00,0.289230362,51,,8
10/26/14,0:00:00,0.306518341,51,,8
10/27/14,0:00:00,0.342522097,51,,8
10/28/14,0:00:00,0.259476994,51,,8
10/29/14,0:00:00,0.29667283,51,,8
10/30/14,0:00:00,0.274244561,51,,8
10/31/14,0:00:00,0.317653578,51,,8
11/1/14,0:00:00,0.318559767,51,,8
11/2/14,0:00:00,0.405721072,51,,8
11/3/14,0:00:00,0.505861393,51,,8
11/4/14,0:00:00,0.474156735,51,,8
11/5/14,0:00:00,0.569581998,51,,8
11/6/14,0:00:00,0.524408724,51,,8
11/7/14,0:00:00,0.591688863,51,,8
11/8/14,0:00:00,1.283562686,31,,8
11/9/14,0:00:00,1.601953381,31,,8
11/10/14,0:00:00,1.460575846,31,,8
11/11/14,0:00:00,1.364155347,31,,8
11/12/14,0:00:00,1.438671116,31,,8
11/13/14,0:00:00,1.606582466,31,,8
11/14/14,0:00:00,1.924166282,31,,8
11/15/14,0:00:00,2.237356705,31,,8
11/16/14,0:00:00,2.661339889,31,,8
11/17/14,0:00:00,2.355460693,31,,8
11/18/14,0:00:00,2.234472984,31,,8
11/19/14,0:00:00,2.410536069,31,,8
11/20/14,0:00:00,2.110831602,31,,8
11/21/14,0:00:00,2.0035685,31,,8
