,,Discharge.Daily@LTLS,Discharge.Daily@LTLS,Discharge.Daily@LTLS,Discharge.Daily@LTLS
yyyy-mm-dd,HH:MM:SS,ft^3/s,,,
Date,Time,Value,Grade,Approval,InterpolationCode
7/1/14,0:00:00,,,,8
7/2/14,0:00:00,,,,8
7/3/14,0:00:00,,,,8
7/4/14,0:00:00,,,,8
7/5/14,0:00:00,,,,8
7/6/14,0:00:00,,,,8
7/7/14,0:00:00,,,,8
7/8/14,0:00:00,,,,8
7/9/14,0:00:00,,,,8
7/10/14,0:00:00,,,,8
7/11/14,0:00:00,,,,8
7/12/14,0:00:00,,,,8
7/13/14,0:00:00,,,,8
7/14/14,0:00:00,,,,8
7/15/14,0:00:00,,,,8
7/16/14,0:00:00,,51,,8
7/17/14,0:00:00,11.76641731,51,,8
7/18/14,0:00:00,11.78228899,51,,8
7/19/14,0:00:00,11.73567726,51,,8
7/20/14,0:00:00,11.74301599,51,,8
7/21/14,0:00:00,11.58602723,51,,8
7/22/14,0:00:00,11.71879778,51,,8
7/23/14,0:00:00,11.77006388,51,,8
7/24/14,0:00:00,11.78975935,51,,8
7/25/14,0:00:00,11.72316739,51,,8
7/26/14,0:00:00,11.55363648,51,,8
7/27/14,0:00:00,11.66291436,51,,8
7/28/14,0:00:00,11.66599499,51,,8
7/29/14,0:00:00,12.08490689,51,,8
7/30/14,0:00:00,11.88342109,51,,8
7/31/14,0:00:00,11.65593431,51,,8
8/1/14,0:00:00,11.6461932,51,,8
8/2/14,0:00:00,11.67212308,51,,8
8/3/14,0:00:00,11.6644567,51,,8
8/4/14,0:00:00,11.64901165,51,,8
8/5/14,0:00:00,11.45966989,51,,8
8/6/14,0:00:00,11.64771884,51,,8
8/7/14,0:00:00,11.67230729,51,,8
8/8/14,0:00:00,11.4686094,51,,8
8/9/14,0:00:00,11.46050208,51,,8
8/10/14,0:00:00,11.39511747,51,,8
8/11/14,0:00:00,11.6966936,51,,8
8/12/14,0:00:00,11.35596825,51,,8
8/13/14,0:00:00,11.68068042,51,,8
8/14/14,0:00:00,11.65172077,51,,8
8/15/14,0:00:00,11.54532425,51,,8
8/16/14,0:00:00,11.75803828,51,,8
8/17/14,0:00:00,11.82023107,51,,8
8/18/14,0:00:00,12.45812674,51,,8
8/19/14,0:00:00,12.0274962,51,,8
8/20/14,0:00:00,11.81535518,51,,8
8/21/14,0:00:00,11.88634348,51,,8
8/22/14,0:00:00,11.85312861,51,,8
8/23/14,0:00:00,11.81916522,51,,8
8/24/14,0:00:00,12.01775947,51,,8
8/25/14,0:00:00,17.28042607,51,,8
8/26/14,0:00:00,11.51954283,51,,8
8/27/14,0:00:00,11.36142276,51,,8
8/28/14,0:00:00,11.31323599,51,,8
8/29/14,0:00:00,14.50485956,51,,8
8/30/14,0:00:00,12.95878002,51,,8
8/31/14,0:00:00,12.18826494,51,,8
9/1/14,0:00:00,60.88658993,51,,8
9/2/14,0:00:00,15.1477928,51,,8
9/3/14,0:00:00,14.2849597,51,,8
9/4/14,0:00:00,13.80119673,51,,8
9/5/14,0:00:00,12.3407069,51,,8
9/6/14,0:00:00,11.64293819,51,,8
9/7/14,0:00:00,11.32404677,51,,8
9/8/14,0:00:00,11.51157018,51,,8
9/9/14,0:00:00,11.84984114,51,,8
9/10/14,0:00:00,36.23316096,51,,8
9/11/14,0:00:00,14.7076168,51,,8
9/12/14,0:00:00,13.05866377,51,,8
9/13/14,0:00:00,12.56775435,51,,8
9/14/14,0:00:00,12.31700196,51,,8
9/15/14,0:00:00,12.15925781,51,,8
9/16/14,0:00:00,11.87880383,51,,8
9/17/14,0:00:00,12.34984182,51,,8
9/18/14,0:00:00,12.32719547,51,,8
9/19/14,0:00:00,12.13762003,51,,8
9/20/14,0:00:00,12.13549658,51,,8
9/21/14,0:00:00,12.54615459,51,,8
9/22/14,0:00:00,12.00649729,51,,8
9/23/14,0:00:00,12.08794014,51,,8
9/24/14,0:00:00,12.29400223,51,,8
9/25/14,0:00:00,12.35155248,51,,8
9/26/14,0:00:00,12.32226791,51,,8
9/27/14,0:00:00,12.19577369,51,,8
9/28/14,0:00:00,12.23956317,51,,8
9/29/14,0:00:00,12.91087475,51,,8
9/30/14,0:00:00,12.60594162,51,,8
10/1/14,0:00:00,13.48294009,51,,8
10/2/14,0:00:00,13.61185282,51,,8
10/3/14,0:00:00,13.21772171,51,,8
10/4/14,0:00:00,16.57355837,51,,8
10/5/14,0:00:00,13.75464629,51,,8
10/6/14,0:00:00,12.527096,51,,8
10/7/14,0:00:00,12.18500348,51,,8
10/8/14,0:00:00,11.82317773,51,,8
10/9/14,0:00:00,11.77919501,51,,8
10/10/14,0:00:00,11.8154484,51,,8
10/11/14,0:00:00,11.87151038,51,,8
10/12/14,0:00:00,11.95284879,51,,8
10/13/14,0:00:00,12.12630868,51,,8
10/14/14,0:00:00,12.22375011,51,,8
10/15/14,0:00:00,11.78225424,51,,8
10/16/14,0:00:00,11.65812738,51,,8
10/17/14,0:00:00,12.56073165,51,,8
10/18/14,0:00:00,12.4936111,51,,8
10/19/14,0:00:00,12.18438417,51,,8
10/20/14,0:00:00,11.99314221,31,,8
10/21/14,0:00:00,11.89301248,31,,8
10/22/14,0:00:00,11.7702535,31,,8
10/23/14,0:00:00,11.95138908,31,,8
10/24/14,0:00:00,11.64257253,31,,8
10/25/14,0:00:00,11.54113303,31,,8
10/26/14,0:00:00,11.9862966,31,,8
10/27/14,0:00:00,12.11314675,31,,8
10/28/14,0:00:00,11.77632645,31,,8
10/29/14,0:00:00,12.47101872,31,,8
10/30/14,0:00:00,12.20625187,31,,8
10/31/14,0:00:00,12.16548728,31,,8
11/1/14,0:00:00,12.11910685,31,,8
11/2/14,0:00:00,12.23674813,31,,8
11/3/14,0:00:00,12.26656668,31,,8
11/4/14,0:00:00,12.06246792,31,,8
11/5/14,0:00:00,12.25039322,31,,8
11/6/14,0:00:00,12.14691072,31,,8
11/7/14,0:00:00,12.2318557,31,,8
11/8/14,0:00:00,13.19797031,31,,8
11/9/14,0:00:00,12.9252923,31,,8
11/10/14,0:00:00,13.01549627,31,,8
11/11/14,0:00:00,13.04782454,31,,8
11/12/14,0:00:00,12.94874609,31,,8
11/13/14,0:00:00,13.06835403,31,,8
11/14/14,0:00:00,13.08641164,31,,8
11/15/14,0:00:00,12.89696651,31,,8
11/16/14,0:00:00,13.14756246,31,,8
11/17/14,0:00:00,12.97548849,31,,8
11/18/14,0:00:00,12.99378253,31,,8
11/19/14,0:00:00,13.04133507,31,,8
11/20/14,0:00:00,12.73293715,3,,8
11/21/14,0:00:00,12.53642626,3,,8
11/22/14,0:00:00,12.71730128,3,,8
11/23/14,0:00:00,13.53027041,3,,8
11/24/14,0:00:00,24.26957606,3,,8
11/25/14,0:00:00,16.26245234,3,,8
11/26/14,0:00:00,14.27876123,3,,8
11/27/14,0:00:00,13.36518469,3,,8
11/28/14,0:00:00,13.13267978,3,,8
11/29/14,0:00:00,13.00773311,3,,8
11/30/14,0:00:00,12.36685587,3,,8
