,,Discharge.Daily@NF2I,Discharge.Daily@NF2I,Discharge.Daily@NF2I,Discharge.Daily@NF2I
yyyy-mm-dd,HH:MM:SS,ft^3/s,,,
Date,Time,Value,Grade,Approval,InterpolationCode
7/1/14,0:00:00,2.626779917,51,,8
7/2/14,0:00:00,2.10573833,51,,8
7/3/14,0:00:00,2.208747607,51,,8
7/4/14,0:00:00,1.779142947,51,,8
7/5/14,0:00:00,1.632227619,51,,8
7/6/14,0:00:00,1.775518473,51,,8
7/7/14,0:00:00,1.731468222,51,,8
7/8/14,0:00:00,3.601670147,51,,8
7/9/14,0:00:00,2.859360845,51,,8
7/10/14,0:00:00,1.992432006,51,,8
7/11/14,0:00:00,2.413885644,51,,8
7/12/14,0:00:00,2.095189191,51,,8
7/13/14,0:00:00,2.048243964,51,,8
7/14/14,0:00:00,1.81434979,51,,8
7/15/14,0:00:00,2.798778308,51,,8
7/16/14,0:00:00,2.469227381,51,,8
7/17/14,0:00:00,1.949472514,51,,8
7/18/14,0:00:00,2.257596903,51,,8
7/19/14,0:00:00,1.616756244,51,,8
7/20/14,0:00:00,1.60059914,51,,8
7/21/14,0:00:00,1.554380586,51,,8
7/22/14,0:00:00,3.329842149,51,,8
7/23/14,0:00:00,2.259998267,51,,8
7/24/14,0:00:00,2.027144844,51,,8
7/25/14,0:00:00,1.767504725,51,,8
7/26/14,0:00:00,1.736188995,51,,8
7/27/14,0:00:00,1.874995122,51,,8
7/28/14,0:00:00,1.95445268,51,,8
7/29/14,0:00:00,1.866167884,51,,8
7/30/14,0:00:00,2.75725017,51,,8
7/31/14,0:00:00,3.703299101,51,,8
8/1/14,0:00:00,2.568814011,51,,8
8/2/14,0:00:00,2.286960816,51,,8
8/3/14,0:00:00,2.736891593,51,,8
8/4/14,0:00:00,3.777545137,51,,8
8/5/14,0:00:00,2.817909463,51,,8
8/6/14,0:00:00,2.017246961,51,,8
8/7/14,0:00:00,1.873270464,51,,8
8/8/14,0:00:00,1.734360303,51,,8
8/9/14,0:00:00,1.855291781,51,,8
8/10/14,0:00:00,1.676855413,51,,8
8/11/14,0:00:00,1.762171464,51,,8
8/12/14,0:00:00,2.070196512,51,,8
8/13/14,0:00:00,1.959340563,51,,8
8/14/14,0:00:00,2.169175879,51,,8
8/15/14,0:00:00,2.060153437,51,,8
8/16/14,0:00:00,1.922601402,51,,8
8/17/14,0:00:00,1.743720676,51,,8
8/18/14,0:00:00,2.123198982,51,,8
8/19/14,0:00:00,2.216782393,51,,8
8/20/14,0:00:00,1.974889097,51,,8
8/21/14,0:00:00,2.242495241,51,,8
8/22/14,0:00:00,1.853595022,51,,8
8/23/14,0:00:00,1.787987788,51,,8
8/24/14,0:00:00,1.926142987,51,,8
8/25/14,0:00:00,132.7739887,51,,8
8/26/14,0:00:00,35.67807361,51,,8
8/27/14,0:00:00,11.59506651,51,,8
8/28/14,0:00:00,5.548447776,51,,8
8/29/14,0:00:00,11.08168161,51,,8
8/30/14,0:00:00,38.00675644,51,,8
8/31/14,0:00:00,20.95355339,51,,8
9/1/14,0:00:00,164.6100427,51,,8
9/2/14,0:00:00,64.84676318,51,,8
9/3/14,0:00:00,20.28777151,51,,8
9/4/14,0:00:00,22.79281004,51,,8
9/5/14,0:00:00,19.07059207,51,,8
9/6/14,0:00:00,10.35197115,51,,8
9/7/14,0:00:00,6.626634315,51,,8
9/8/14,0:00:00,4.655839362,51,,8
9/9/14,0:00:00,3.548008487,51,,8
9/10/14,0:00:00,261.8213581,51,,8
9/11/14,0:00:00,91.50683245,51,,8
9/12/14,0:00:00,33.28271921,51,,8
9/13/14,0:00:00,16.50931602,51,,8
9/14/14,0:00:00,9.747463457,51,,8
9/15/14,0:00:00,6.407905444,51,,8
9/16/14,0:00:00,6.165335676,51,,8
9/17/14,0:00:00,3.993897325,51,,8
9/18/14,0:00:00,3.310941219,51,,8
9/19/14,0:00:00,3.234997717,51,,8
9/20/14,0:00:00,2.530147186,51,,8
9/21/14,0:00:00,4.071119094,51,,8
9/22/14,0:00:00,4.035421488,51,,8
9/23/14,0:00:00,4.322839715,51,,8
9/24/14,0:00:00,3.205939574,51,,8
9/25/14,0:00:00,2.614600272,51,,8
9/26/14,0:00:00,2.778195026,51,,8
9/27/14,0:00:00,2.174840436,51,,8
9/28/14,0:00:00,1.976985589,51,,8
9/29/14,0:00:00,2.195877569,51,,8
9/30/14,0:00:00,3.458456212,51,,8
10/1/14,0:00:00,13.58277706,51,,8
10/2/14,0:00:00,25.5746382,51,,8
10/3/14,0:00:00,27.65923295,51,,8
10/4/14,0:00:00,57.24649031,51,,8
10/5/14,0:00:00,31.79645721,51,,8
10/6/14,0:00:00,17.34906742,51,,8
10/7/14,0:00:00,10.65683382,51,,8
10/8/14,0:00:00,7.765465935,51,,8
10/9/14,0:00:00,6.2038829,51,,8
10/10/14,0:00:00,5.186275462,51,,8
10/11/14,0:00:00,4.056058755,51,,8
10/12/14,0:00:00,3.961580686,51,,8
10/13/14,0:00:00,4.413999998,51,,8
10/14/14,0:00:00,4.457477956,51,,8
10/15/14,0:00:00,4.213598892,51,,8
10/16/14,0:00:00,3.704833671,51,,8
10/17/14,0:00:00,3.860102822,51,,8
10/18/14,0:00:00,4.164806259,51,,8
10/19/14,0:00:00,4.157806551,51,,8
10/20/14,0:00:00,3.573103857,51,,8
10/21/14,0:00:00,2.994830054,51,,8
10/22/14,0:00:00,3.17224005,51,,8
10/23/14,0:00:00,3.162146763,51,,8
10/24/14,0:00:00,3.297181332,51,,8
10/25/14,0:00:00,3.417323796,51,,8
10/26/14,0:00:00,3.360946319,51,,8
10/27/14,0:00:00,3.181410239,51,,8
10/28/14,0:00:00,3.474266184,51,,8
10/29/14,0:00:00,3.994056903,51,,8
10/30/14,0:00:00,3.871753235,51,,8
10/31/14,0:00:00,3.380747856,51,,8
11/1/14,0:00:00,3.253294038,51,,8
11/2/14,0:00:00,5.899923287,51,,8
11/3/14,0:00:00,3.083102145,51,,8
11/4/14,0:00:00,2.451713296,51,,8
11/5/14,0:00:00,2.789912082,51,,8
11/6/14,0:00:00,2.84823494,51,,8
11/7/14,0:00:00,3.076870862,51,,8
11/8/14,0:00:00,5.646283067,51,,8
11/9/14,0:00:00,5.222046367,51,,8
11/10/14,0:00:00,4.546120021,51,,8
11/11/14,0:00:00,4.522721101,51,,8
11/12/14,0:00:00,4.547639331,51,,8
11/13/14,0:00:00,5.240423697,51,,8
11/14/14,0:00:00,5.407470551,51,,8
11/15/14,0:00:00,5.008185051,51,,8
11/16/14,0:00:00,4.847799327,51,,8
11/17/14,0:00:00,4.642370853,51,,8
11/18/14,0:00:00,4.385851183,51,,8
11/19/14,0:00:00,4.501141351,51,,8
11/20/14,0:00:00,4.333256374,51,,8
11/21/14,0:00:00,3.923745753,51,,8
11/22/14,0:00:00,4.275460398,51,,8
11/23/14,0:00:00,8.274544778,51,,8
11/24/14,0:00:00,56.01127828,51,,8
11/25/14,0:00:00,40.74082604,51,,8
11/26/14,0:00:00,22.15474532,51,,8
