,,Discharge.Daily@NFT2,Discharge.Daily@NFT2,Discharge.Daily@NFT2,Discharge.Daily@NFT2
yyyy-mm-dd,HH:MM:SS,ft^3/s,,,
Date,Time,Value,Grade,Approval,InterpolationCode
6/30/14,0:00:00,0.1,51,,8
7/1/14,0:00:00,0,51,,8
7/2/14,0:00:00,0,51,,8
7/3/14,0:00:00,0,51,,8
7/4/14,0:00:00,0,51,,8
7/5/14,0:00:00,0,51,,8
7/6/14,0:00:00,0,51,,8
7/7/14,0:00:00,0,51,,8
7/8/14,0:00:00,2,51,,8
7/9/14,0:00:00,0.3,51,,8
7/10/14,0:00:00,0.1,51,,8
7/11/14,0:00:00,0.2,51,,8
7/12/14,0:00:00,0.1,51,,8
7/13/14,0:00:00,0,51,,8
7/14/14,0:00:00,0,51,,8
7/15/14,0:00:00,0,51,,8
7/16/14,0:00:00,0,51,,8
7/17/14,0:00:00,0,51,,8
7/18/14,0:00:00,0,51,,8
7/19/14,0:00:00,0,51,,8
7/20/14,0:00:00,0,51,,8
7/21/14,0:00:00,0,51,,8
7/22/14,0:00:00,0.1,51,,8
7/23/14,0:00:00,0,51,,8
7/24/14,0:00:00,0,51,,8
7/25/14,0:00:00,0,51,,8
7/26/14,0:00:00,0,51,,8
7/27/14,0:00:00,0,51,,8
7/28/14,0:00:00,0,51,,8
7/29/14,0:00:00,0,51,,8
7/30/14,0:00:00,0,51,,8
7/31/14,0:00:00,0,51,,8
8/1/14,0:00:00,0,51,,8
8/2/14,0:00:00,0,51,,8
8/3/14,0:00:00,0,51,,8
8/4/14,0:00:00,0,51,,8
8/5/14,0:00:00,0,51,,8
8/6/14,0:00:00,0,51,,8
8/7/14,0:00:00,0,51,,8
8/8/14,0:00:00,0,51,,8
8/9/14,0:00:00,0,51,,8
8/10/14,0:00:00,0,51,,8
8/11/14,0:00:00,0,51,,8
8/12/14,0:00:00,0,51,,8
8/13/14,0:00:00,0,51,,8
8/14/14,0:00:00,0,51,,8
8/15/14,0:00:00,0,51,,8
8/16/14,0:00:00,0,51,,8
8/17/14,0:00:00,0,51,,8
8/18/14,0:00:00,0,51,,8
8/19/14,0:00:00,0,51,,8
8/20/14,0:00:00,0,51,,8
8/21/14,0:00:00,0,51,,8
8/22/14,0:00:00,0,51,,8
8/23/14,0:00:00,0,51,,8
8/24/14,0:00:00,0,51,,8
8/25/14,0:00:00,28,51,,8
8/26/14,0:00:00,0.6,51,,8
8/27/14,0:00:00,0.2,51,,8
8/28/14,0:00:00,0.1,51,,8
8/29/14,0:00:00,1.6,51,,8
8/30/14,0:00:00,6.9,51,,8
8/31/14,0:00:00,1.4,51,,8
9/1/14,0:00:00,19.1,51,,8
9/2/14,0:00:00,1.7,51,,8
9/3/14,0:00:00,0.5,51,,8
9/4/14,0:00:00,2.1,51,,8
9/5/14,0:00:00,0.9,51,,8
9/6/14,0:00:00,0.3,51,,8
9/7/14,0:00:00,0.1,51,,8
9/8/14,0:00:00,0,51,,8
9/9/14,0:00:00,0,51,,8
9/10/14,0:00:00,27.2,51,,8
9/11/14,0:00:00,2.3,31,,8
9/12/14,0:00:00,0.8,31,,8
9/13/14,0:00:00,0.4,31,,8
9/14/14,0:00:00,0.2,31,,8
9/15/14,0:00:00,0.1,31,,8
9/16/14,0:00:00,0.1,31,,8
9/17/14,0:00:00,0,31,,8
9/18/14,0:00:00,0,31,,8
9/19/14,0:00:00,0,31,,8
9/20/14,0:00:00,0,31,,8
9/21/14,0:00:00,0.1,31,,8
9/22/14,0:00:00,0,31,,8
9/23/14,0:00:00,0,31,,8
9/24/14,0:00:00,0,31,,8
9/25/14,0:00:00,0,31,,8
9/26/14,0:00:00,0,31,,8
9/27/14,0:00:00,0,31,,8
9/28/14,0:00:00,0,31,,8
9/29/14,0:00:00,0,31,,8
9/30/14,0:00:00,0,31,,8
10/1/14,0:00:00,1.2,31,,8
10/2/14,0:00:00,1.1,31,,8
10/3/14,0:00:00,1.3,31,,8
10/4/14,0:00:00,3.4,31,,8
10/5/14,0:00:00,0.9,31,,8
10/6/14,0:00:00,0.4,31,,8
10/7/14,0:00:00,0.2,31,,8
10/8/14,0:00:00,0.1,31,,8
10/9/14,0:00:00,0,31,,8
10/10/14,0:00:00,0,31,,8
10/11/14,0:00:00,0,31,,8
10/12/14,0:00:00,0,31,,8
10/13/14,0:00:00,0,31,,8
10/14/14,0:00:00,0.1,31,,8
10/15/14,0:00:00,0.1,31,,8
10/16/14,0:00:00,0,51,,8
10/17/14,0:00:00,0.1,51,,8
10/18/14,0:00:00,0.1,51,,8
10/19/14,0:00:00,0.1,51,,8
10/20/14,0:00:00,0,51,,8
10/21/14,0:00:00,0,51,,8
10/22/14,0:00:00,0,51,,8
10/23/14,0:00:00,0,51,,8
10/24/14,0:00:00,0,51,,8
10/25/14,0:00:00,0,51,,8
10/26/14,0:00:00,0,51,,8
10/27/14,0:00:00,0,51,,8
10/28/14,0:00:00,0,51,,8
10/29/14,0:00:00,0,51,,8
10/30/14,0:00:00,0,51,,8
10/31/14,0:00:00,0,51,,8
11/1/14,0:00:00,0,51,,8
11/2/14,0:00:00,0,51,,8
11/3/14,0:00:00,0,51,,8
11/4/14,0:00:00,0,51,,8
11/5/14,0:00:00,0,51,,8
11/6/14,0:00:00,0,51,,8
11/7/14,0:00:00,0,51,,8
11/8/14,0:00:00,0.2,51,,8
11/9/14,0:00:00,0.1,21,,8
11/10/14,0:00:00,0.1,21,,8
11/11/14,0:00:00,0.1,21,,8
11/12/14,0:00:00,0.1,21,,8
11/13/14,0:00:00,0.1,21,,8
11/14/14,0:00:00,0.1,21,,8
11/15/14,0:00:00,0.2,21,,8
11/16/14,0:00:00,0.2,21,,8
11/17/14,0:00:00,0.2,21,,8
11/18/14,0:00:00,0.1,21,,8
11/19/14,0:00:00,0.1,21,,8
11/20/14,0:00:00,0.1,21,,8
11/21/14,0:00:00,0.1,21,,8
11/22/14,0:00:00,0.1,21,,8
11/23/14,0:00:00,2.9,21,,8
11/24/14,0:00:00,14.2,21,,8
11/25/14,0:00:00,4,21,,8
11/26/14,0:00:00,1,21,,8
11/27/14,0:00:00,0.4,21,,8
11/28/14,0:00:00,0.3,21,,8
11/29/14,0:00:00,0.2,21,,8
11/30/14,0:00:00,0.1,21,,8
12/1/14,0:00:00,0,21,,8
12/2/14,0:00:00,0,21,,8
12/3/14,0:00:00,0,21,,8
12/4/14,0:00:00,0,21,,8
12/5/14,0:00:00,0,21,,8
12/6/14,0:00:00,0,21,,8
12/7/14,0:00:00,0,21,,8
12/8/14,0:00:00,0,21,,8
12/9/14,0:00:00,0,21,,8
12/10/14,0:00:00,0,21,,8
12/11/14,0:00:00,0,21,,8
12/12/14,0:00:00,0,21,,8
12/13/14,0:00:00,0.1,21,,8
12/14/14,0:00:00,3.1,21,,8
12/15/14,0:00:00,16.9,21,,8
12/16/14,0:00:00,10.6,21,,8
12/17/14,0:00:00,4.5,21,,8
12/18/14,0:00:00,1.8,21,,8
12/19/14,0:00:00,0.8,21,,8
