Discharge.Daily@SFTC	Discharge.Daily@SFTC	Discharge.Daily@SFTC	Discharge.Daily@SFTC
yyyy-mm-dd	HH:MM:SS	ft^3/s			
Date	Time	Value	Grade	Approval	InterpolationCode
5/9/2015	0:00:00	0.322007368	21		8
5/10/2015	0:00:00	0.219523072	21		8
5/11/2015	0:00:00	2.80309067	21		8
5/12/2015	0:00:00	4.360861847	21		8
5/13/2015	0:00:00	2.253508444	21		8
5/14/2015	0:00:00	1.349141918	21		8
5/15/2015	0:00:00	1.581754326	21		8
5/16/2015	0:00:00	1.431436376	21		8
5/17/2015	0:00:00	1.72912927	21		8
5/18/2015	0:00:00	6.449009343	21		8
5/19/2015	0:00:00	2.185967319	21		8
5/20/2015	0:00:00	1.124673663	21		8
5/21/2015	0:00:00	0.526340901	21		8
5/22/2015	0:00:00	0.213761021	21		8
5/23/2015	0:00:00	0.13644818	21		8
5/24/2015	0:00:00	0.106929775	21		8
5/25/2015	0:00:00	1.345570243	21		8
5/26/2015	0:00:00	1.469657891	21		8
5/27/2015	0:00:00	1.475546782	21		8
5/28/2015	0:00:00	0.730535763	21		8
5/29/2015	0:00:00	0.317439412	21		8
5/30/2015	0:00:00	0.201824303	21		8
5/31/2015	0:00:00	0.101530949	21		8
6/1/2015	0:00:00	0.05908021	21		8
6/2/2015	0:00:00	0.076025644	21		8
6/3/2015	0:00:00	0.083410894	21		8
6/4/2015	0:00:00	5.489553907	21		8
6/5/2015	0:00:00	1.734338524	21		8
6/6/2015	0:00:00	0.732006667	21		8
6/7/2015	0:00:00	0.72551359	21		8
6/8/2015	0:00:00	0.431751423	21		8
6/9/2015	0:00:00	0.218879236	21		8
6/10/2015	0:00:00	0.113772223	21		8
6/11/2015	0:00:00	0.052845981	21		8
6/12/2015	0:00:00	0.032593875	21		8
6/13/2015	0:00:00	0.028909536	21		8
6/14/2015	0:00:00	0.027215387	21		8
6/15/2015	0:00:00	0.092696747	21		8
6/16/2015	0:00:00	0.054513962	21		8
6/17/2015	0:00:00	0.089532279	21		8
6/18/2015	0:00:00	0.906000108	21		8
6/19/2015	0:00:00	0.318001425	21		8
6/20/2015	0:00:00	0.161578915	21		8
6/21/2015	0:00:00	0.106849291	21		8
6/22/2015	0:00:00	0.062173592	21		8
6/23/2015	0:00:00	0.038114027	21		8
6/24/2015	0:00:00	0.036693531	21		8
6/25/2015	0:00:00	0.18308308	21		8
6/26/2015	0:00:00	0.091154382	21		8
6/27/2015	0:00:00	0.022891757	21		8
6/28/2015	0:00:00	0.019579611	21		8
6/29/2015	0:00:00	0.03783119	21		8
6/30/2015	0:00:00	0.04747735	21		8
7/1/2015	0:00:00	0.018622553	21		8
7/2/2015	0:00:00	0.008791091	21		8
7/3/2015	0:00:00	0.00792486	21		8
7/4/2015	0:00:00	0.007464137	21		8
7/5/2015	0:00:00	0.007773452	21		8
7/6/2015	0:00:00	3.775102248	21		8
7/7/2015	0:00:00	1.723057829	21		8
7/8/2015	0:00:00	0.299007593	21		8
7/9/2015	0:00:00	0.055831951	21		8
7/10/2015	0:00:00	0.011740354	21		8
7/11/2015	0:00:00	0.005737073	21		8
7/12/2015	0:00:00	0.004893077	21		8
7/13/2015	0:00:00	3.942235212	21		8
7/14/2015	0:00:00	0.596639563	21		8
7/15/2015	0:00:00	0.093082225	21		8
7/16/2015	0:00:00	0.018272447	21		8
7/17/2015	0:00:00	0.010444652	21		8
7/18/2015	0:00:00	0.005577931	21		8
7/19/2015	0:00:00	0.003296695	21		8
7/20/2015	0:00:00	0.00384118	21		8
7/21/2015	0:00:00	0.002925729	21		8
7/22/2015	0:00:00	0.002678147	21		8
7/23/2015	0:00:00	0.002035533	21		8
7/24/2015	0:00:00	0.00214332	21		8
7/25/2015	0:00:00	0.001829904	21		8
7/26/2015	0:00:00	0.001444696	21		8
7/27/2015	0:00:00	0.001353686	21		8
7/28/2015	0:00:00	0.001521469	21		8
7/29/2015	0:00:00	0.001894726	21		8
7/30/2015	0:00:00	0.001391769	21		8
7/31/2015	0:00:00	0.002156707	21		8
8/1/2015	0:00:00	0.002760254	21		8
8/2/2015	0:00:00	0.003772454	21		8
8/3/2015	0:00:00	0.004266626	21		8
8/4/2015	0:00:00	0.004573698	21		8
8/5/2015	0:00:00	0.004761379	21		8
8/6/2015	0:00:00	0.005591288	21		8
8/7/2015	0:00:00	0.007942991	21		8
8/8/2015	0:00:00	0.010349295	21		8
8/9/2015	0:00:00	0.006500546	21		8
8/10/2015	0:00:00	0.006043722	21		8
8/11/2015	0:00:00	0.005711496	21		8
8/12/2015	0:00:00	0.00525387	21		8
8/13/2015	0:00:00	0.005188071	21		8
8/14/2015	0:00:00	0.00533942	21		8
8/15/2015	0:00:00	0.004989967	21		8
8/16/2015	0:00:00	0.005045562	21		8
8/17/2015	0:00:00	0.005474955	21		8
8/18/2015	0:00:00	0.008201457	21		8
8/19/2015	0:00:00	0.636450659	21		8
8/20/2015	0:00:00	0.392831072	51		8
8/21/2015	0:00:00	0.049586856	51		8
8/22/2015	0:00:00	0.020394323	51		8
8/23/2015	0:00:00	0.020440762	51		8
8/24/2015	0:00:00	0.007779707	51		8
8/25/2015	0:00:00	0.005377804	51		8
8/26/2015	0:00:00	0.010585806	51		8
8/27/2015	0:00:00	0.005346955	51		8
8/28/2015	0:00:00	0.005374199	51		8
8/29/2015	0:00:00	0.006540465	51		8
8/30/2015	0:00:00	0.006248798	51		8
8/31/2015	0:00:00	0.006186298	51		8
9/1/2015	0:00:00	0.006098157	51		8
9/2/2015	0:00:00	0.008358586	51		8
9/3/2015	0:00:00	0.007590144	51		8
9/4/2015	0:00:00	0.006864583	51		8
9/5/2015	0:00:00	0.00639984	51		8
9/6/2015	0:00:00	0.006864583	51		8
9/7/2015	0:00:00	0.013657679	51		8
9/8/2015	0:00:00	0.006586939	51		8
9/9/2015	0:00:00	0.006000401	51		8
9/10/2015	0:00:00	0.00683734	51		8
9/11/2015	0:00:00	0.005995994	51		8
9/12/2015	0:00:00	0.005600962	51		8
9/13/2015	0:00:00	0.005678285	51		8
9/14/2015	0:00:00	0.006620994	51		8
9/15/2015	0:00:00	0.006925881	51		8
9/16/2015	0:00:00	0.006766426	51		8
9/17/2015	0:00:00	0.007199119	51		8
9/18/2015	0:00:00	0.00728726	51		8
9/19/2015	0:00:00	0.006778846	51		8
9/20/2015	0:00:00	0.00644992	51		8
9/21/2015	0:00:00	0.006448221	51		8
9/22/2015	0:00:00	0.006417095	51		8
9/23/2015	0:00:00	0.00532778	51		8
9/24/2015	0:00:00	0.006514506	51		8
9/25/2015	0:00:00	0.005066617	51		8
9/26/2015	0:00:00	0.00546408	51		8
9/27/2015	0:00:00	0.00567805	51		8
9/28/2015	0:00:00	0.015166278	51		8
9/29/2015	0:00:00	0.005347977	51		8
9/30/2015	0:00:00	0.005617236	51		8
10/1/2015	0:00:00	0.005467023	51		8
10/2/2015	0:00:00	0.005241089	51		8
10/3/2015	0:00:00	0.005421005	51		8
10/4/2015	0:00:00	0.004962298	51		8
10/5/2015	0:00:00	0.00535856	51		8
10/6/2015	0:00:00	0.005611793	51		8
