PUBLICATION_DATE,UNIQUE_ID,UID,SITE_ID,VISIT_NO,DATE_COL,PSTL_CODE,VALXSITE,LAT_DD,LON_DD,STATION_DEPTH,,YEAR,DSGN_CYCLE,IND_DOMAIN,COUNTRY,EPA_REG,EVAL_CAT,FEAT_NM,GREAT_LAKE,LAKE_REG,LAT_DD83,LON_DD83,NCCA_REG,NPS_PARK,PROVINCE,SITETYPE,STATE_NM,XCOORD,YCOORD
5/2/2024,NGL_OH-10033,2011569,LEA20_OH-10045,1,6/1/2020,OH,Great Lakes,41.50376802,-82.16213358,13.25,,2020,2020,CORE,,Region_05,Target_Sampled,None,Lake Erie,Lake_Erie_Central_Basin,41.50376802,-82.16213358,Great Lakes,Not_NPS,Great Lakes Province,PROB,Ohio,1142427.313,531923.2261
5/2/2024,NGL_OH-10041,2011571,LEA20_OH-10053,1,6/1/2020,OH,Great Lakes,41.74255355,-83.30739305,6.2,,2020,2020,CORE,,Region_05,Target_Sampled,None,Lake Erie,Lake_Erie_Western_Basin,41.74255355,-83.30739305,Great Lakes,Not_NPS,Great Lakes Province,PROB,Ohio,1044907.004,545205.9426
5/2/2024,NGL_MI-10109,2011574,LEA20_MI-10011,1,6/2/2020,MI,Great Lakes,41.74090784,-83.45418866,1.3,,2020,2020,CORE,,Region_05,Target_Sampled,None,Lake Erie,Lake_Erie_Western_Basin,41.74090784,-83.45418866,Great Lakes,Not_NPS,Great Lakes Province,PROB,Michigan,1032917.132,543418.6334
5/2/2024,NGL_MI-10110,2011572,LEA20_MI-10012,1,6/2/2020,MI,Great Lakes,41.81174893,-83.41830237,3.3,,2020,2020,CORE,,Region_05,Target_Sampled,None,Lake Erie,Lake_Erie_Western_Basin,41.81174893,-83.41830237,Great Lakes,Not_NPS,Great Lakes Province,PROB,Michigan,1034808.108,551666.3394
5/2/2024,NGL_OH-10044,2011573,LEA20_OH-10056,1,6/2/2020,OH,Great Lakes,41.74892207,-83.37976257,3,,2020,2020,CORE,,Region_05,Target_Sampled,None,Lake Erie,Lake_Erie_Western_Basin,41.74892207,-83.37976257,Great Lakes,Not_NPS,Great Lakes Province,PROB,Ohio,1038890.061,545118.8111
5/2/2024,NGL_MI-10002,2011576,NGL20_MI-10131,1,6/2/2020,MI,Great Lakes,46.53290732,-87.38956934,2.2,,2020,2020,CORE,USA,Region_05,Target_Sampled,,Lake Superior,,46.53290732,-87.38956934,Great Lakes,,Great Lakes Province,PROB,Michigan,661681.6871,1039174.133
5/2/2024,NGL_IN-10018,2011577,NPA20-07,1,6/2/2020,IN,Great Lakes,41.63290784,-87.21622632,12.2,,2020,2020,CORE,USA,Region_05,Target_Sampled,None,Lake Michigan,National Park,41.63290784,-87.21622632,Great Lakes,Indiana_Dunes,Great Lakes Province,PROB,Indiana,725370.5014,496600.1016
5/2/2024,NGL_OH-10046,2011579,LEA20_OH-10058,1,6/3/2020,OH,Great Lakes,41.7180523,-83.29215772,6.5,,2020,2020,CORE,,Region_05,Target_Sampled,None,Lake Erie,Lake_Erie_Western_Basin,41.7180523,-83.29215772,Great Lakes,Not_NPS,Great Lakes Province,PROB,Ohio,1046519.273,542656.4304
5/2/2024,NGL_MI-10552,2011580,NGL20_MI-10151,1,6/3/2020,MI,Great Lakes,46.50874259,-87.14650207,12.6,,2020,2020,CORE,USA,Region_05,Target_Sampled,,Lake Superior,,46.50874259,-87.14650207,Great Lakes,,Great Lakes Province,PROB,Michigan,680556.3716,1038223.886
5/2/2024,NGL_OH-10038,2011586,LEA20_OH-10050,1,6/4/2020,OH,Great Lakes,41.66161774,-83.16526832,6.6,,2020,2020,CORE,,Region_05,Target_Sampled,None,Lake Erie,Lake_Erie_Western_Basin,41.66161774,-83.16526832,Great Lakes,Not_NPS,Great Lakes Province,PROB,Ohio,1057755.903,537803.0965
5/2/2024,NGL_OH-10040,2011583,LEA20_OH-10052,1,6/4/2020,OH,Great Lakes,41.62617956,-83.12598755,4.2,,2020,2020,CORE,,Region_05,Target_Sampled,None,Lake Erie,Lake_Erie_Western_Basin,41.62617956,-83.12598755,Great Lakes,Not_NPS,Great Lakes Province,PROB,Ohio,1061508.969,534311.5371
5/2/2024,NGL_OH-10043,2011585,LEA20_OH-10055,1,6/4/2020,OH,Great Lakes,41.63992435,-83.19055536,4.6,,2020,2020,CORE,,Region_05,Target_Sampled,None,Lake Erie,Lake_Erie_Western_Basin,41.63992435,-83.19055536,Great Lakes,Not_NPS,Great Lakes Province,PROB,Ohio,1056010.783,535116.3194
