PUBLICATION_DATE,UID,UNIQUE_ID,SITE_ID,DATE_COL,VISIT_NO,PSTL_CODE,WTBDY_TYPE,NCCA_REG,LAT_DD,LON_DD,SAMPLE_TYPE,STATION_DEPTH,CAST,DEPTH,CONDUCTIVITY,DO,PH,SALINITY,LIGHT_AMB,LIGHT_UW,TEMPERATURE,MAX_DEPTH_SALINITY,LINE,NARS_FLAG,NARS_COMMENT
4/24/2024,2011569,NGL_OH-10033,LEA20_OH-10045,6/1/2020,1,OH,Great Lakes,Great Lakes,41.50376802,-82.16213358,HYDRO,13.2,DOWN,0.1,288.9,10.35,8.35,,1931,1672,16.1,,1,,
4/24/2024,2011569,NGL_OH-10033,LEA20_OH-10045,6/1/2020,1,OH,Great Lakes,Great Lakes,41.50376802,-82.16213358,HYDRO,13.2,DOWN,0.5,288.9,10.32,8.43,,1928,1956,16.2,,2,,
4/24/2024,2011569,NGL_OH-10033,LEA20_OH-10045,6/1/2020,1,OH,Great Lakes,Great Lakes,41.50376802,-82.16213358,HYDRO,13.2,DOWN,1,288.9,10.35,8.34,,1946,1684,16.1,,3,,
4/24/2024,2011569,NGL_OH-10033,LEA20_OH-10045,6/1/2020,1,OH,Great Lakes,Great Lakes,41.50376802,-82.16213358,HYDRO,13.2,DOWN,2,288.8,10.38,8.34,,1923,929.4,16,,4,,
4/24/2024,2011569,NGL_OH-10033,LEA20_OH-10045,6/1/2020,1,OH,Great Lakes,Great Lakes,41.50376802,-82.16213358,HYDRO,13.2,DOWN,3,288.6,10.33,8.35,,1944,644.2,15.8,,5,,
4/24/2024,2011569,NGL_OH-10033,LEA20_OH-10045,6/1/2020,1,OH,Great Lakes,Great Lakes,41.50376802,-82.16213358,HYDRO,13.2,DOWN,4,288.6,10.32,8.33,,1925,388.9,15.5,,6,,
4/24/2024,2011569,NGL_OH-10033,LEA20_OH-10045,6/1/2020,1,OH,Great Lakes,Great Lakes,41.50376802,-82.16213358,HYDRO,13.2,DOWN,5,286,10.27,8.32,,1944,199.7,15.3,,7,,
4/24/2024,2011569,NGL_OH-10033,LEA20_OH-10045,6/1/2020,1,OH,Great Lakes,Great Lakes,41.50376802,-82.16213358,HYDRO,13.2,DOWN,6,285.7,10.27,8.31,,1953,108,15.2,,8,,
4/24/2024,2011569,NGL_OH-10033,LEA20_OH-10045,6/1/2020,1,OH,Great Lakes,Great Lakes,41.50376802,-82.16213358,HYDRO,13.2,DOWN,7,285.4,10.27,8.32,,1952,51.89,15.1,,9,,
4/24/2024,2011569,NGL_OH-10033,LEA20_OH-10045,6/1/2020,1,OH,Great Lakes,Great Lakes,41.50376802,-82.16213358,HYDRO,13.2,DOWN,8,285.1,10.28,8.32,,1905,26.88,15.1,,10,,
