PUBLICATION_DATE,UID,UNIQUE_ID,SITE_ID,VISIT_NO,DATE_COL,PSTL_CODE,WTBDY_TYPE,NCCA_REG,LAT_DD,LON_DD,SAMPLE_TYPE,STATION_DEPTH,MEAN_SECCHI_DEPTH,REP,CLEAR_TO_BOTTOM,DISAPPEARS,REAPPEARS,SECCHI_TIME,SECCHI_COMMENT,NARS_FLAG,NARS_COMMENT,
4/24/2024,2011569,NGL_OH-10033,LEA20_OH-10045,1,6/1/2020,OH,GREAT_LAKES,Great Lakes,41.50376802,-82.16213358,SECC,13.2,1.92,1,N,2,1.8,12:58,,,,
4/24/2024,2011569,NGL_OH-10033,LEA20_OH-10045,1,6/1/2020,OH,GREAT_LAKES,Great Lakes,41.50376802,-82.16213358,SECC,13.2,1.92,2,N,2,1.9,12:58,,,,
4/24/2024,2011569,NGL_OH-10033,LEA20_OH-10045,1,6/1/2020,OH,GREAT_LAKES,Great Lakes,41.50376802,-82.16213358,SECC,13.2,1.92,3,N,2,1.8,12:58,,,,
4/24/2024,2011570,NCA_TX-10289,NCA20_TX-10054,1,6/1/2020,TX,MARINE,Gulf,29.55928989,-95.05722562,SECC,1.6,0.3,2,N,0.3,0.3,8:31,,,,
4/24/2024,2011570,NCA_TX-10289,NCA20_TX-10054,1,6/1/2020,TX,MARINE,Gulf,29.55928989,-95.05722562,SECC,1.6,0.3,3,N,0.3,0.3,8:31,,,,
4/24/2024,2011570,NCA_TX-10289,NCA20_TX-10054,1,6/1/2020,TX,MARINE,Gulf,29.55928989,-95.05722562,SECC,1.6,0.3,1,N,0.3,0.3,8:31,,,,
4/24/2024,2011571,NGL_OH-10041,LEA20_OH-10053,1,6/1/2020,OH,GREAT_LAKES,Great Lakes,41.74255355,-83.30739305,SECC,6.2,0.56,1,N,0.6,0.55,12:13,,,,
4/24/2024,2011571,NGL_OH-10041,LEA20_OH-10053,1,6/1/2020,OH,GREAT_LAKES,Great Lakes,41.74255355,-83.30739305,SECC,6.2,0.56,3,N,0.5,0.47,12:13,,,,
4/24/2024,2011571,NGL_OH-10041,LEA20_OH-10053,1,6/1/2020,OH,GREAT_LAKES,Great Lakes,41.74255355,-83.30739305,SECC,6.2,0.56,2,N,0.65,0.6,12:13,,,,
4/24/2024,2011572,NGL_MI-10110,LEA20_MI-10012,1,6/2/2020,MI,GREAT_LAKES,Great Lakes,41.81174893,-83.41830237,SECC,3.3,0.5,3,N,0.6,0.5,10:00,,,,
4/24/2024,2011572,NGL_MI-10110,LEA20_MI-10012,1,6/2/2020,MI,GREAT_LAKES,Great Lakes,41.81174893,-83.41830237,SECC,3.3,0.5,2,N,0.6,0.5,10:00,,,,
4/24/2024,2011572,NGL_MI-10110,LEA20_MI-10012,1,6/2/2020,MI,GREAT_LAKES,Great Lakes,41.81174893,-83.41830237,SECC,3.3,0.5,1,N,0.5,0.3,10:00,,,,
4/24/2024,2011573,NGL_OH-10044,LEA20_OH-10056,1,6/2/2020,OH,GREAT_LAKES,Great Lakes,41.74892207,-83.37976257,SECC,3,0.37,2,N,0.5,0.4,11:03,,,,
4/24/2024,2011573,NGL_OH-10044,LEA20_OH-10056,1,6/2/2020,OH,GREAT_LAKES,Great Lakes,41.74892207,-83.37976257,SECC,3,0.37,1,N,0.4,0.2,11:03,,,,
4/24/2024,2011573,NGL_OH-10044,LEA20_OH-10056,1,6/2/2020,OH,GREAT_LAKES,Great Lakes,41.74892207,-83.37976257,SECC,3,0.37,3,N,0.4,0.3,11:03,,,,
4/24/2024,2011574,NGL_MI-10109,LEA20_MI-10011,1,6/2/2020,MI,GREAT_LAKES,Great Lakes,41.74090784,-83.45418866,SECC,1.3,0.35,2,N,0.4,0.3,12:01,,,,
4/24/2024,2011574,NGL_MI-10109,LEA20_MI-10011,1,6/2/2020,MI,GREAT_LAKES,Great Lakes,41.74090784,-83.45418866,SECC,1.3,0.35,1,N,0.4,0.3,12:01,,,,
4/24/2024,2011574,NGL_MI-10109,LEA20_MI-10011,1,6/2/2020,MI,GREAT_LAKES,Great Lakes,41.74090784,-83.45418866,SECC,1.3,0.35,3,N,0.4,0.3,12:01,,,,
4/24/2024,2011575,NCA_TX-10226,NCA20_TX-10015,1,6/2/2020,TX,MARINE,Gulf,29.58397357,-94.98043361,SECC,3,0.35,2,N,0.4,0.3,8:05,,,,
4/24/2024,2011575,NCA_TX-10226,NCA20_TX-10015,1,6/2/2020,TX,MARINE,Gulf,29.58397357,-94.98043361,SECC,3,0.35,3,N,0.4,0.3,8:05,,,,
4/24/2024,2011575,NCA_TX-10226,NCA20_TX-10015,1,6/2/2020,TX,MARINE,Gulf,29.58397357,-94.98043361,SECC,3,0.35,1,N,0.4,0.3,8:05,,,,
4/24/2024,2011576,NGL_MI-10002,NGL20_MI-10131,1,6/2/2020,MI,GREAT_LAKES,Great Lakes,46.53290732,-87.38956934,SECC,2.2,2.3,1,Y,2.3,2.3,9:53,,,,
4/24/2024,2011577,NGL_IN-10018,NPA20-07,1,6/2/2020,IN,GREAT_LAKES,Great Lakes,41.63290784,-87.21622632,SECC,12.2,2.35,1,N,2.4,2.3,12:07,,,,
4/24/2024,2011577,NGL_IN-10018,NPA20-07,1,6/2/2020,IN,GREAT_LAKES,Great Lakes,41.63290784,-87.21622632,SECC,12.2,2.35,3,N,2.4,2.3,12:07,,,,
4/24/2024,2011577,NGL_IN-10018,NPA20-07,1,6/2/2020,IN,GREAT_LAKES,Great Lakes,41.63290784,-87.21622632,SECC,12.2,2.35,2,N,2.4,2.3,12:07,,,,
4/24/2024,2011578,NCA_TX-10275,NCA20_TX-10040,1,6/3/2020,TX,MARINE,Gulf,29.69286522,-94.82771336,SECC,2.7,0.55,1,N,0.6,0.5,8:09,,,,
4/24/2024,2011578,NCA_TX-10275,NCA20_TX-10040,1,6/3/2020,TX,MARINE,Gulf,29.69286522,-94.82771336,SECC,2.7,0.55,3,N,0.6,0.5,8:09,,,,
4/24/2024,2011578,NCA_TX-10275,NCA20_TX-10040,1,6/3/2020,TX,MARINE,Gulf,29.69286522,-94.82771336,SECC,2.7,0.55,2,N,0.6,0.5,8:09,,,,
4/24/2024,2011579,NGL_OH-10046,LEA20_OH-10058,1,6/3/2020,OH,GREAT_LAKES,Great Lakes,41.7180523,-83.29215772,SECC,6.5,0.62,3,N,0.7,0.6,18:06,,,,
4/24/2024,2011579,NGL_OH-10046,LEA20_OH-10058,1,6/3/2020,OH,GREAT_LAKES,Great Lakes,41.7180523,-83.29215772,SECC,6.5,0.62,2,N,0.6,0.5,18:06,,,,
4/24/2024,2011579,NGL_OH-10046,LEA20_OH-10058,1,6/3/2020,OH,GREAT_LAKES,Great Lakes,41.7180523,-83.29215772,SECC,6.5,0.62,1,N,0.7,0.6,18:06,,,,
4/24/2024,2011580,NGL_MI-10552,NGL20_MI-10151,1,6/3/2020,MI,GREAT_LAKES,Great Lakes,46.50874259,-87.14650207,SECC,12.6,7.2,2,N,7.4,7.2,13:20,,,,
4/24/2024,2011580,NGL_MI-10552,NGL20_MI-10151,1,6/3/2020,MI,GREAT_LAKES,Great Lakes,46.50874259,-87.14650207,SECC,12.6,7.2,1,N,7.3,7.2,13:20,,,,
4/24/2024,2011580,NGL_MI-10552,NGL20_MI-10151,1,6/3/2020,MI,GREAT_LAKES,Great Lakes,46.50874259,-87.14650207,SECC,12.6,7.2,3,N,7.1,7,13:20,,,,
4/24/2024,2011581,NGL_MI-10009,NGL20_MI-10138,1,6/4/2020,MI,GREAT_LAKES,Great Lakes,46.51200604,-87.14860339,SECC,14.2,8.18,1,N,8.2,7.8,12:37,,,,
4/24/2024,2011581,NGL_MI-10009,NGL20_MI-10138,1,6/4/2020,MI,GREAT_LAKES,Great Lakes,46.51200604,-87.14860339,SECC,14.2,8.18,3,N,8.7,7.8,12:37,,,,
4/24/2024,2011581,NGL_MI-10009,NGL20_MI-10138,1,6/4/2020,MI,GREAT_LAKES,Great Lakes,46.51200604,-87.14860339,SECC,14.2,8.18,2,N,8.7,7.9,12:37,,,,
4/24/2024,2011582,NGL_PA-10005,LEA20_PA-10006,1,6/4/2020,PA,GREAT_LAKES,Great Lakes,42.26370553,-79.85831491,SECC,18.6,2.85,1,N,3,2.7,10:13,,,,
4/24/2024,2011582,NGL_PA-10005,LEA20_PA-10006,1,6/4/2020,PA,GREAT_LAKES,Great Lakes,42.26370553,-79.85831491,SECC,18.6,2.85,2,N,3,2.7,10:13,,,,
4/24/2024,2011582,NGL_PA-10005,LEA20_PA-10006,1,6/4/2020,PA,GREAT_LAKES,Great Lakes,42.26370553,-79.85831491,SECC,18.6,2.85,3,N,3,2.7,10:13,,,,
4/24/2024,2011583,NGL_OH-10040,LEA20_OH-10052,1,6/4/2020,OH,GREAT_LAKES,Great Lakes,41.62617956,-83.12598755,SECC,4.2,1.2,3,N,1.3,1.1,10:01,,,,
4/24/2024,2011583,NGL_OH-10040,LEA20_OH-10052,1,6/4/2020,OH,GREAT_LAKES,Great Lakes,41.62617956,-83.12598755,SECC,4.2,1.2,1,N,1.2,1.1,10:01,,,,
4/24/2024,2011583,NGL_OH-10040,LEA20_OH-10052,1,6/4/2020,OH,GREAT_LAKES,Great Lakes,41.62617956,-83.12598755,SECC,4.2,1.2,2,N,1.3,1.2,10:01,,,,
4/24/2024,2011584,NGL_PA-10006,LEA20_PA-10007,1,6/4/2020,PA,GREAT_LAKES,Great Lakes,42.24381317,-79.8909357,SECC,16.1,3.27,2,N,3.4,3.2,10:50,,,,
4/24/2024,2011584,NGL_PA-10006,LEA20_PA-10007,1,6/4/2020,PA,GREAT_LAKES,Great Lakes,42.24381317,-79.8909357,SECC,16.1,3.27,3,N,3.4,3.1,10:50,,,,
4/24/2024,2011584,NGL_PA-10006,LEA20_PA-10007,1,6/4/2020,PA,GREAT_LAKES,Great Lakes,42.24381317,-79.8909357,SECC,16.1,3.27,1,N,3.5,3,10:50,,,,
