PUBLICATION_DATE,UID,UNIQUE_ID,SITE_ID,VISIT_NO,DATE_COL,PSTL_CODE,WTBDY_TYPE,NCCA_REG,LAT_DD,LON_DD,LAB,MATRIX,ANALYTE,BATCH_ID,SAMPLE_ID,LAB_SAMPLE_ID,DATE_RECEIVED,DATE_ANALYZED,HOLDING_TIME,HOLDING_TIME_UNITS,RESULT,RESULT_UNITS,RL,MDL,DILUTION_FACTOR,NARS_FLAG,NARS_COMMENT
4/24/2024,2012372,NCA_VA-10185,NCA20_VA-10002,1,8/19/2020,VA,MARINE,Northeast,37.29299849,-76.89311938,VA-DCLS,WATER,PTL,3/16/2021,145740,,,03/16/2021,209,Days,0.118,mg/L,,,,H,
4/24/2024,2012372,NCA_VA-10185,NCA20_VA-10002,1,8/19/2020,VA,MARINE,Northeast,37.29299849,-76.89311938,VA-DCLS,WATER,NTL,3/16/2021,145740,,,03/16/2021,209,Days,0.89,mg/L,,,,H,
4/24/2024,2014819,NCA_VA-10185,NCA20_VA-10002,2,9/8/2020,VA,MARINE,Northeast,37.29299849,-76.89311938,VA-DCLS,WATER,PTL,3/16/2021,148900,,,03/16/2021,189,Days,0.0948,mg/L,,,,H,
4/24/2024,2014819,NCA_VA-10185,NCA20_VA-10002,2,9/8/2020,VA,MARINE,Northeast,37.29299849,-76.89311938,VA-DCLS,WATER,NTL,3/16/2021,148900,,,03/16/2021,189,Days,0.609,mg/L,,,,H,
4/24/2024,2011796,NCA_VA-10186,NCA20_VA-10008,1,6/30/2020,VA,MARINE,Northeast,37.94262448,-75.64262949,VA-DCLS,WATER,NTL,3/16/2021,160960,,,03/16/2021,259,Days,0.815,mg/L,,,,H,
4/24/2024,2011796,NCA_VA-10186,NCA20_VA-10008,1,6/30/2020,VA,MARINE,Northeast,37.94262448,-75.64262949,VA-DCLS,WATER,PTL,3/16/2021,160960,,,03/16/2021,259,Days,0.0729,mg/L,,,,H,
4/24/2024,2011952,NCA_VA-10187,NCA20_VA-10001,1,8/10/2020,VA,MARINE,Northeast,37.38149273,-76.01007604,VA-DCLS,WATER,PTL,3/16/2021,146880,,,03/16/2021,218,Days,0.039,mg/L,,,,H,
4/24/2024,2011952,NCA_VA-10187,NCA20_VA-10001,1,8/10/2020,VA,MARINE,Northeast,37.38149273,-76.01007604,VA-DCLS,WATER,NTL,3/16/2021,146880,,,03/16/2021,218,Days,0.436,mg/L,,,,H,
4/24/2024,2014839,NCA_VA-10187,NCA20_VA-10001,2,9/9/2020,VA,MARINE,Northeast,37.38149273,-76.01007604,VA-DCLS,WATER,PTL,3/16/2021,149220,,,03/16/2021,188,Days,0.039,mg/L,,,,H,
4/24/2024,2014839,NCA_VA-10187,NCA20_VA-10001,2,9/9/2020,VA,MARINE,Northeast,37.38149273,-76.01007604,VA-DCLS,WATER,NTL,3/16/2021,149220,,,03/16/2021,188,Days,0.396,mg/L,,,,H,
4/24/2024,2011953,NCA_VA-10188,NCA20_VA-10003,1,8/11/2020,VA,MARINE,Northeast,37.62519596,-76.20670605,VA-DCLS,WATER,NTL,3/16/2021,146900,,,03/16/2021,217,Days,0.455,mg/L,,,,H,
4/24/2024,2011953,NCA_VA-10188,NCA20_VA-10003,1,8/11/2020,VA,MARINE,Northeast,37.62519596,-76.20670605,VA-DCLS,WATER,PTL,3/16/2021,146900,,,03/16/2021,217,Days,0.0378,mg/L,,,,H,
4/24/2024,2012286,NCA_VA-10189,NCA20_VA-10004,1,8/11/2020,VA,MARINE,Northeast,37.67877407,-76.26171096,VA-DCLS,WATER,NTL,3/16/2021,146620,,,03/16/2021,217,Days,1.311,mg/L,,,,H,
4/24/2024,2012286,NCA_VA-10189,NCA20_VA-10004,1,8/11/2020,VA,MARINE,Northeast,37.67877407,-76.26171096,VA-DCLS,WATER,PTL,3/16/2021,146620,,,03/16/2021,217,Days,0.0724,mg/L,,,,H,
4/24/2024,2011905,NCA_VA-10190,NCA20_VA-10009,1,7/15/2020,VA,MARINE,Northeast,36.89072953,-76.0707417,VA-DCLS,WATER,PTL,3/16/2021,160140,,,03/16/2021,244,Days,0.0676,mg/L,,,,H,
4/24/2024,2011905,NCA_VA-10190,NCA20_VA-10009,1,7/15/2020,VA,MARINE,Northeast,36.89072953,-76.0707417,VA-DCLS,WATER,NTL,3/16/2021,160140,,,03/16/2021,244,Days,0.491,mg/L,,,,H,
4/24/2024,2011954,NCA_VA-10191,NCA20_VA-10005,1,8/18/2020,VA,MARINE,Northeast,37.39864557,-76.16600517,VA-DCLS,WATER,NTL,3/16/2021,146600,,,03/16/2021,210,Days,0.502,mg/L,,,,H,
4/24/2024,2011954,NCA_VA-10191,NCA20_VA-10005,1,8/18/2020,VA,MARINE,Northeast,37.39864557,-76.16600517,VA-DCLS,WATER,PTL,3/16/2021,146600,,,03/16/2021,210,Days,0.0496,mg/L,,,,H,
4/24/2024,2011738,NCA_VA-10192,NCA20_VA-10006,1,6/25/2020,VA,MARINE,Northeast,36.95490308,-76.27342341,VA-DCLS,WATER,NTL,3/16/2021,148940,,,03/16/2021,264,Days,0.435,mg/L,,,,H,
4/24/2024,2011738,NCA_VA-10192,NCA20_VA-10006,1,6/25/2020,VA,MARINE,Northeast,36.95490308,-76.27342341,VA-DCLS,WATER,PTL,3/16/2021,148940,,,03/16/2021,264,Days,0.0437,mg/L,,,,H,
4/24/2024,2011956,NCA_VA-10193,NCA20_VA-10007,1,8/18/2020,VA,MARINE,Northeast,37.62031328,-76.07903604,VA-DCLS,WATER,NTL,3/16/2021,146960,,,03/16/2021,210,Days,0.485,mg/L,,,,H,
4/24/2024,2011956,NCA_VA-10193,NCA20_VA-10007,1,8/18/2020,VA,MARINE,Northeast,37.62031328,-76.07903604,VA-DCLS,WATER,PTL,3/16/2021,146960,,,03/16/2021,210,Days,0.0348,mg/L,,,,H,
4/24/2024,2012088,NCA_VA-10194,NCA20_VA-10010,1,7/28/2020,VA,MARINE,Northeast,36.76902572,-76.29667454,VA-DCLS,WATER,PTL,3/16/2021,164960,,,03/16/2021,231,Days,0.0894,mg/L,,,,H,
4/24/2024,2012088,NCA_VA-10194,NCA20_VA-10010,1,7/28/2020,VA,MARINE,Northeast,36.76902572,-76.29667454,VA-DCLS,WATER,NTL,3/16/2021,164960,,,03/16/2021,231,Days,0.64,mg/L,,,,H,
4/24/2024,2011957,NCA_VA-10196,NCA20_VA-10011,1,8/10/2020,VA,MARINE,Northeast,37.03710805,-76.14434353,VA-DCLS,WATER,PTL,3/16/2021,146860,,,03/16/2021,218,Days,0.041,mg/L,,,,H,
4/24/2024,2011957,NCA_VA-10196,NCA20_VA-10011,1,8/10/2020,VA,MARINE,Northeast,37.03710805,-76.14434353,VA-DCLS,WATER,NTL,3/16/2021,146860,,,03/16/2021,218,Days,0.542,mg/L,,,,H,
4/24/2024,2011933,NCA_VA-10197,NCA20_VA-10012,1,7/16/2020,VA,MARINE,Northeast,36.91194275,-76.43935689,VA-DCLS,WATER,PTL,3/16/2021,159100,,,03/16/2021,243,Days,0.081,mg/L,,,,H,
4/24/2024,2011933,NCA_VA-10197,NCA20_VA-10012,1,7/16/2020,VA,MARINE,Northeast,36.91194275,-76.43935689,VA-DCLS,WATER,NTL,3/16/2021,159100,,,03/16/2021,243,Days,0.444,mg/L,,,,H,
4/24/2024,2012155,NCA_VA-10199,NCA20_VA-10014,1,8/12/2020,VA,MARINE,Northeast,37.77363137,-75.97614325,VA-DCLS,WATER,NTL,3/16/2021,146660,,,03/16/2021,216,Days,0.544,mg/L,,,,H,
4/24/2024,2012155,NCA_VA-10199,NCA20_VA-10014,1,8/12/2020,VA,MARINE,Northeast,37.77363137,-75.97614325,VA-DCLS,WATER,PTL,3/16/2021,146660,,,03/16/2021,216,Days,0.0442,mg/L,,,,H,
4/24/2024,2012287,NCA_VA-10200,NCA20_VA-10015,1,8/11/2020,VA,MARINE,Northeast,37.654055,-76.27168705,VA-DCLS,WATER,NTL,3/16/2021,146940,,,03/16/2021,217,Days,0.464,mg/L,,,,H,
4/24/2024,2012287,NCA_VA-10200,NCA20_VA-10015,1,8/11/2020,VA,MARINE,Northeast,37.654055,-76.27168705,VA-DCLS,WATER,PTL,3/16/2021,146940,,,03/16/2021,217,Days,0.0389,mg/L,,,,H,
4/24/2024,2012309,NCA_VA-10201,NCA20_VA-10016,1,8/12/2020,VA,MARINE,Northeast,37.77961053,-76.18779114,VA-DCLS,WATER,PTL,3/16/2021,146980,,,03/16/2021,216,Days,0.0428,mg/L,,,,H,
4/24/2024,2012309,NCA_VA-10201,NCA20_VA-10016,1,8/12/2020,VA,MARINE,Northeast,37.77961053,-76.18779114,VA-DCLS,WATER,NTL,3/16/2021,146980,,,03/16/2021,216,Days,0.612,mg/L,,,,H,
4/24/2024,2011958,NCA_VA-10202,NCA20_VA-10017,1,8/10/2020,VA,MARINE,Northeast,37.17007634,-76.14561835,VA-DCLS,WATER,PTL,3/16/2021,146920,,,03/16/2021,218,Days,0.0367,mg/L,,,,H,
4/24/2024,2011958,NCA_VA-10202,NCA20_VA-10017,1,8/10/2020,VA,MARINE,Northeast,37.17007634,-76.14561835,VA-DCLS,WATER,NTL,3/16/2021,146920,,,03/16/2021,218,Days,0.547,mg/L,,,,H,
4/24/2024,2011959,NCA_VA-10203,NCA20_VA-10018,1,8/11/2020,VA,MARINE,Northeast,37.24155702,-76.38025773,VA-DCLS,WATER,PTL,3/16/2021,146680,,,03/16/2021,217,Days,0.0515,mg/L,,,,H,
4/24/2024,2011959,NCA_VA-10203,NCA20_VA-10018,1,8/11/2020,VA,MARINE,Northeast,37.24155702,-76.38025773,VA-DCLS,WATER,NTL,3/16/2021,146680,,,03/16/2021,217,Days,0.478,mg/L,,,,H,
4/24/2024,2012156,NCA_VA-10204,NCA20_VA-10019,1,7/23/2020,VA,MARINE,Northeast,37.69104128,-76.10132904,VA-DCLS,WATER,PTL,3/16/2021,148820,,,03/16/2021,236,Days,0.0374,mg/L,,,,H,
4/24/2024,2012156,NCA_VA-10204,NCA20_VA-10019,1,7/23/2020,VA,MARINE,Northeast,37.69104128,-76.10132904,VA-DCLS,WATER,NTL,3/16/2021,148820,,,03/16/2021,236,Days,0.583,mg/L,,,,H,
4/24/2024,2011739,NCA_VA-10205,NCA20_VA-10020,1,6/23/2020,VA,MARINE,Northeast,36.72157397,-75.94373899,VA-DCLS,WATER,NTL,3/16/2021,148920,,,03/16/2021,266,Days,0.736,mg/L,,,,H,
4/24/2024,2011739,NCA_VA-10205,NCA20_VA-10020,1,6/23/2020,VA,MARINE,Northeast,36.72157397,-75.94373899,VA-DCLS,WATER,PTL,3/16/2021,148920,,,03/16/2021,266,Days,0.0346,mg/L,,,,H,
4/24/2024,2012052,NCA_VA-10206,NCA20_VA-10021,1,7/27/2020,VA,MARINE,Northeast,38.19961097,-77.22593931,VA-DCLS,WATER,PTL,3/16/2021,146080,,,03/16/2021,232,Days,0.0862,mg/L,,,,H,
4/24/2024,2012052,NCA_VA-10206,NCA20_VA-10021,1,7/27/2020,VA,MARINE,Northeast,38.19961097,-77.22593931,VA-DCLS,WATER,NTL,3/16/2021,146080,,,03/16/2021,232,Days,0.483,mg/L,,,,H,
4/24/2024,2012020,NCA_VA-10207,NCA20_VA-10022,1,7/23/2020,VA,MARINE,Northeast,37.34937231,-76.33147122,VA-DCLS,WATER,NTL,3/16/2021,145880,,,03/16/2021,236,Days,0.376,mg/L,,,,H,
4/24/2024,2012020,NCA_VA-10207,NCA20_VA-10022,1,7/23/2020,VA,MARINE,Northeast,37.34937231,-76.33147122,VA-DCLS,WATER,PTL,3/16/2021,145880,,,03/16/2021,236,Days,0.0466,mg/L,,,,H,
4/24/2024,2011906,NCA_VA-10208,NCA20_VA-10023,1,7/15/2020,VA,MARINE,Northeast,36.86232413,-76.01203808,VA-DCLS,WATER,NTL,3/16/2021,164980,,,03/16/2021,244,Days,0.589,mg/L,,,,H,
4/24/2024,2011906,NCA_VA-10208,NCA20_VA-10023,1,7/15/2020,VA,MARINE,Northeast,36.86232413,-76.01203808,VA-DCLS,WATER,PTL,3/16/2021,164980,,,03/16/2021,244,Days,0.061,mg/L,,,,H,
4/24/2024,2011817,NCA_VA-10209,NCA20_VA-10024,1,7/1/2020,VA,MARINE,Northeast,37.75548216,-75.77537367,VA-DCLS,WATER,NTL,3/16/2021,161840,,,03/16/2021,258,Days,0.534,mg/L,,,,H,
4/24/2024,2011817,NCA_VA-10209,NCA20_VA-10024,1,7/1/2020,VA,MARINE,Northeast,37.75548216,-75.77537367,VA-DCLS,WATER,PTL,3/16/2021,161840,,,03/16/2021,258,Days,0.0326,mg/L,,,,H,
4/24/2024,2012341,NCA_VA-10210,NCA20_VA-10025,1,8/17/2020,VA,MARINE,Northeast,38.06555982,-76.92650205,VA-DCLS,WATER,PTL,3/16/2021,146200,,,03/16/2021,211,Days,0.0978,mg/L,,,,H,
4/24/2024,2012341,NCA_VA-10210,NCA20_VA-10025,1,8/17/2020,VA,MARINE,Northeast,38.06555982,-76.92650205,VA-DCLS,WATER,NTL,3/16/2021,146200,,,03/16/2021,211,Days,0.711,mg/L,,,,H,
4/24/2024,2011994,NCA_VA-10211,NCA20_VA-10026,1,7/22/2020,VA,MARINE,Northeast,37.65673161,-75.62481427,VA-DCLS,WATER,PTL,3/16/2021,160920,,,03/16/2021,237,Days,0.1707,mg/L,,,,H,
4/24/2024,2011994,NCA_VA-10211,NCA20_VA-10026,1,7/22/2020,VA,MARINE,Northeast,37.65673161,-75.62481427,VA-DCLS,WATER,NTL,3/16/2021,160920,,,03/16/2021,237,Days,0.674,mg/L,,,,H,
4/24/2024,2012260,NCA_VA-10212,NCA20_VA-10027,1,8/10/2020,VA,MARINE,Northeast,37.29875355,-76.34874162,VA-DCLS,WATER,NTL,3/16/2021,146640,,,03/16/2021,218,Days,0.55,mg/L,,,,H,
4/24/2024,2012260,NCA_VA-10212,NCA20_VA-10027,1,8/10/2020,VA,MARINE,Northeast,37.29875355,-76.34874162,VA-DCLS,WATER,PTL,3/16/2021,146640,,,03/16/2021,218,Days,0.0636,mg/L,,,,H,
4/24/2024,2011857,NCA_VA-10213,NCA20_VA-10028,1,7/8/2020,VA,MARINE,Northeast,37.46274024,-75.93635661,VA-DCLS,WATER,PTL,3/16/2021,160220,,,03/16/2021,251,Days,0.1548,mg/L,,,,H,
4/24/2024,2011857,NCA_VA-10213,NCA20_VA-10028,1,7/8/2020,VA,MARINE,Northeast,37.46274024,-75.93635661,VA-DCLS,WATER,NTL,3/16/2021,160220,,,03/16/2021,251,Days,0.909,mg/L,,,,H,
4/24/2024,2011797,NCA_VA-10214,NCA20_VA-10029,1,6/30/2020,VA,MARINE,Northeast,37.94068667,-75.67584545,VA-DCLS,WATER,PTL,3/16/2021,160940,,,03/16/2021,259,Days,0.0584,mg/L,,,,H,
