Site,Date,Latitude,Longitude,Project,Depth,Rep,Type,DOC,DOCFlag,POC,POCFlag,POC2,POC2Flag,NO3,NO3Flag,NH3,NH3Flag,TDN,TDNFlag,PON,PONFlag,PON2,PON2Flag,SRP,SRPFlag,TDP,TDPFlag,PP,PPFlag,TP,TPFlag,SRSi,SiFlag,Chl,ChlFlag,Chl2,Chl2Flag,Phyco,PhycoFlag,TSS,TSSFlag
Mawikwe Bay,5/31/2017,46.8858,-91.0527,NPS,0,1,Lake,128,none,16.8,none,4.78,none,27.4,none,0.212,none,28,none,1.46,none,0.436,none,0.0515,none,0.329,none,0.068,none,0.291,none,42.9,none,1.17,none,0.07,none,NA,none,NA,none
Mawikwe Bay,5/31/2017,46.8858,-91.0527,NPS,0,2,Lake,126,none,14.4,none,5.1,none,NA,none,NA,none,30.5,none,1.83,none,0.341,none,NA,none,NA,none,0.07,none,NA,none,NA,none,0.995,none,0.107,none,NA,none,NA,none
Sand West,5/31/2017,46.974,-90.9868,NPS,0,1,Lake,127,none,14.8,none,2.79,none,28.4,none,0.19,none,32.6,none,1.85,none,0.545,none,0.098,bdl,0.416,none,0.111,none,0.275,none,40.2,none,1.02,none,0.048,none,NA,none,NA,none
Sand West,5/31/2017,46.974,-90.9868,NPS,0,2,Lake,121,none,14.7,none,4.22,none,NA,none,NA,none,30.1,none,1.79,none,0.478,none,NA,none,NA,none,0.098,none,NA,none,NA,none,0.599,none,0.044,none,NA,none,NA,none
Brule River,6/1/2017,46.7053,-91.6039,NPS,0,1,Watershed,570,none,112,none,8.45,none,1.63,none,0.248,none,20.1,none,9.7,none,1.37,none,0.314,none,0.614,none,0.729,none,0.882,none,179,none,3.54,none,0.236,none,NA,none,NA,none
Brule River,6/1/2017,46.7053,-91.6039,NPS,0,2,Watershed,573,none,679,none,10.1,none,NA,none,NA,none,18.1,none,43.6,none,0.922,none,NA,none,NA,none,0.727,none,NA,none,NA,none,4.14,none,0.228,none,NA,none,NA,none
Flag River,6/1/2017,46.7818,-91.3725,NPS,0,1,Watershed,298,none,54.3,none,11.3,none,1.69,none,0.577,none,12.6,none,4.01,none,1.15,none,0.475,none,0.824,none,0.434,none,0.929,none,219,none,0.395,none,0.116,none,NA,none,NA,none
Flag River,6/1/2017,46.7818,-91.3725,NPS,0,2,Watershed,305,none,48.1,none,10.3,none,NA,none,NA,none,12.4,none,3.99,none,1.14,none,NA,none,NA,none,0.697,none,NA,none,NA,none,0.312,none,0.092,none,NA,none,NA,none
Siskiwit River,6/1/2017,46.8547,-91.0916,NPS,0,1,Watershed,739,none,42.1,none,10.1,none,0.746,none,0.264,none,24.2,none,4.26,none,1.76,none,0.38,none,0.723,none,0.415,none,0.988,none,129,none,1.01,none,0.204,none,NA,none,NA,none
Siskiwit River,6/1/2017,46.8547,-91.0916,NPS,0,2,Watershed,729,none,41.8,none,14.5,none,NA,none,NA,none,22.2,none,4.21,none,1.73,none,NA,none,NA,none,0.435,none,NA,none,NA,none,1.16,none,0.276,none,NA,none,NA,none
Wisconsin Point,6/1/2017,46.7074,-92.0126,NPS,0,1,Lake,2390,none,40.8,none,16.7,none,12.2,none,NA,none,60.3,none,4.68,none,2.01,none,0.156,none,0.58,none,0.373,none,0.924,none,85.5,none,1.46,none,0.231,none,NA,none,NA,none
Wisconsin Point,6/1/2017,46.7074,-92.0126,NPS,0,2,Lake,2390,none,37.8,none,12.1,none,NA,none,NA,none,60.9,none,4.44,none,1.8,none,NA,none,NA,none,0.383,none,NA,none,NA,none,1.84,none,0.204,none,NA,none,NA,none
Brule River,6/21/2017,46.7053,-91.6039,NPS,0,1,Watershed,576,none,51.7,none,9.3,none,NA,bdl,0.15,none,14,none,4.92,none,1.37,none,0.381,none,0.628,none,0.397,none,0.904,none,204,none,1.21,none,0.14,none,NA,none,NA,none
Brule River,6/21/2017,46.7053,-91.6039,NPS,0,2,Watershed,476,none,57.5,none,9.33,none,NA,none,NA,none,14.1,none,5.75,none,2.29,none,NA,none,NA,none,0.404,none,NA,none,NA,none,1.17,none,0.181,none,NA,none,NA,none
Mawikwe Bay,6/21/2017,46.8858,-91.0527,NPS,0,1,Lake,397,none,22.5,none,5.75,none,26.8,none,0.211,none,25.5,none,2.91,none,0.705,none,0.124,none,0.49,none,0.205,none,0.383,none,48.4,none,1.11,none,0.051,none,NA,none,NA,none
Mawikwe Bay,6/21/2017,46.8858,-91.0527,NPS,0,2,Lake,419,none,24.5,none,6.55,none,NA,none,NA,none,31.1,none,3.1,none,0.89,none,NA,none,NA,none,0.218,none,NA,none,NA,none,0.755,none,0.038,none,NA,none,NA,none
Wisconsin Point,6/21/2017,46.7074,-92.0126,NPS,0,1,Lake,1120,none,53.5,none,11.6,none,20.7,none,NA,none,40.6,none,5.46,none,0.796,none,0.389,none,0.508,none,0.365,none,0.821,none,53.4,none,3.48,none,0.111,none,NA,none,NA,none
Wisconsin Point,6/21/2017,46.7074,-92.0126,NPS,0,2,Lake,1050,none,55.5,none,17.9,none,NA,none,NA,none,41.6,none,4.53,none,1.55,none,NA,none,NA,none,0.427,none,NA,none,NA,none,3.46,none,0.132,none,NA,none,NA,none
Mawikwe Bay,7/13/2017,46.8858,-91.0527,NPS,0,1,Lake,154,none,13.9,none,7.98,none,26.3,none,0.491,none,30.3,none,1.77,none,0.619,none,0.056,bdl,0.456,none,0.064,none,0.328,none,28.7,none,0.539,none,0.079,none,NA,none,NA,none
Mawikwe Bay,7/13/2017,46.8858,-91.0527,NPS,0,2,Lake,159,none,16.4,none,6.48,none,NA,none,NA,none,30.8,none,1.74,none,0.428,none,NA,none,NA,none,0.052,none,NA,none,NA,none,0.451,none,0.085,none,NA,none,NA,none
Sand West,7/13/2017,46.974,-90.9868,NPS,0,1,Lake,156,none,12.4,none,8.76,none,28.9,none,0.406,none,29.6,none,1.72,none,0.902,none,0.353,bdl,0.619,none,0.056,none,0.36,none,41.5,none,0.844,none,0.031,none,NA,none,NA,none
Sand West,7/13/2017,46.974,-90.9868,NPS,0,2,Lake,152,none,17,none,9.9,none,NA,none,NA,none,31,none,1.71,none,0.733,none,NA,none,NA,none,0.053,none,NA,none,NA,none,0.656,none,0.036,none,NA,none,NA,none
Siskiwit River,7/13/2017,46.8547,-91.0916,NPS,0,1,Watershed,365,none,25.9,none,8.9,none,2.4,none,0.266,none,12.8,none,2.07,none,1.21,none,0.49,none,0.846,none,0.21,none,1.037,none,161,none,0.835,none,0.24,none,NA,none,NA,none
Siskiwit River,7/13/2017,46.8547,-91.0916,NPS,0,2,Watershed,369,none,34.2,none,10.4,none,NA,none,NA,none,12.9,none,2.97,none,0.765,none,NA,none,NA,none,0.21,none,NA,none,NA,none,0.797,none,0.334,none,NA,none,NA,none
Brule River,7/14/2017,46.7053,-91.6039,NPS,0,1,Watershed,541,none,58.4,none,15.3,none,1.26,none,0.907,none,21.5,none,5.35,none,1.62,none,0.3,none,0.649,none,0.361,none,1.011,none,198,none,1.82,none,0.306,none,NA,none,NA,none
Brule River,7/14/2017,46.7053,-91.6039,NPS,0,2,Watershed,569,none,63.2,none,17,none,NA,none,NA,none,23.6,none,5.63,none,1.39,none,NA,none,NA,none,0.369,none,NA,none,NA,none,1.26,none,0.323,none,NA,none,NA,none
Flag River,7/14/2017,46.7818,-91.3725,NPS,0,1,Watershed,180,none,35.9,none,7.38,none,3.14,none,0.513,none,8.92,none,2.61,none,0.734,none,0.488,none,0.631,none,0.269,none,0.798,none,225,none,0.418,none,0.146,none,NA,none,NA,none
Flag River,7/14/2017,46.7818,-91.3725,NPS,0,2,Watershed,160,none,46.2,none,7.89,none,NA,none,NA,none,8.28,none,3.15,none,0.798,none,NA,none,NA,none,0.284,none,NA,none,NA,none,0.516,none,0.155,none,NA,none,NA,none
Wisconsin Point,7/14/2017,46.7074,-92.0126,NPS,0,1,Lake,976,none,59.4,none,9.36,none,19.6,none,NA,none,50.1,none,4.2,none,0.683,none,0.318,none,0.782,none,0.504,none,1.055,none,95.1,none,1.67,none,0.233,none,NA,none,NA,none
Wisconsin Point,7/14/2017,46.7074,-92.0126,NPS,0,2,Lake,969,none,57.4,none,11,none,NA,none,NA,none,49.1,none,4.78,none,0.741,none,NA,none,NA,none,0.504,none,NA,none,NA,none,1.41,none,0.197,none,NA,none,NA,none
Brule River,8/2/2017,46.7053,-91.6039,NPS,0,1,Watershed,241,none,51.6,none,9.94,none,NA,bdl,0.15,none,10.2,none,4.88,none,0.927,none,0.312,none,0.4,none,0.307,none,0.575,none,188,none,0.896,none,0.318,none,NA,none,NA,none
Brule River,8/2/2017,46.7053,-91.6039,NPS,0,2,Watershed,240,none,58.4,none,9.16,none,NA,none,NA,none,10.4,none,5.37,none,1.28,none,NA,none,NA,none,0.304,none,NA,none,NA,none,0.897,none,0.255,none,NA,none,NA,none
