"Site","Date","Latitude","Longitude","Rep","Type","DOC","DOCFlag","POC","POCFlag","NO3","NO3Flag","NH3","NH3Flag","TDN","TDNFlag","PON","PONFlag","SRP","SRPFlag","TDP","TDPFlag","PP","PPFlag","TP","TPFlag","SRSi","SiFlag","Chl","ChlFlag","TSS","TSSFlag"
"Amnicon River",2021-06-09,46.6856,-91.8638,1,"Watershed",1280,"none",146,"none",0.87,"none",0.88,"none",40,"none",14.4,"none",0.18,"none",0.54,"none",1.09,"none",1.44,"none",65.8,"none",8.03,"none",14.5,"none"
"Amnicon River",2021-06-09,46.6856,-91.8638,2,"Watershed",1320,"none",134,"none",NA,"none",NA,"none",45,"none",13.6,"none",NA,"none",NA,"none",1.19,"none",NA,"none",NA,"none",7.82,"none",NA,"none"
"Bear Creek",2021-06-09,46.6725,-92.0005,1,"Watershed",2230,"none",220,"none",8.55,"none",20.8,"none",144,"none",16,"none",0.34,"none",1.2,"none",1.98,"none",3.82,"none",93.8,"none",3.61,"none",13,"none"
"Bear Creek",2021-06-09,46.6725,-92.0005,2,"Watershed",2200,"none",195,"none",NA,"none",NA,"none",144,"none",15.1,"none",NA,"none",NA,"none",2.09,"none",NA,"none",NA,"none",2.74,"none",NA,"none"
"Dutchman Creek",2021-06-09,46.6791,-91.9437,1,"Watershed",1130,"none",144,"none",5.71,"none",17.9,"none",93.5,"none",13.8,"none",0.23,"none",0.46,"none",1.49,"none",2.17,"none",83.5,"none",6.62,"none",14.5,"none"
"Dutchman Creek",2021-06-09,46.6791,-91.9437,2,"Watershed",1140,"none",145,"none",NA,"none",NA,"none",92.1,"none",13.9,"none",NA,"none",NA,"none",1.48,"none",NA,"none",NA,"none",5.46,"none",NA,"none"
"Faxon Creek",2021-06-09,46.7169,-92.0738,1,"Watershed",921,"none",180,"none",11.3,"none",21.4,"none",84.2,"none",14.4,"none",0.31,"none",1.69,"none",2.65,"none",4.57,"none",135,"none",2.77,"none",52.8,"none"
"Faxon Creek",2021-06-09,46.7169,-92.0738,2,"Watershed",956,"none",167,"none",NA,"none",NA,"none",83.5,"none",14.1,"none",NA,"none",NA,"none",2.66,"none",NA,"none",NA,"none",3.67,"none",NA,"none"
"Nemadji River",2021-06-09,46.6662,-92.0638,1,"Watershed",987,"none",79.7,"none",1.73,"none",0.23,"none",29.3,"none",6.18,"none",0.16,"none",0.31,"none",0.56,"none",0.94,"none",132,"none",5.12,"none",7.3,"none"
"Nemadji River",2021-06-09,46.6662,-92.0638,2,"Watershed",986,"none",73.7,"none",NA,"none",NA,"none",29.3,"none",6.55,"none",NA,"none",NA,"none",0.56,"none",NA,"none",NA,"none",4.54,"none",NA,"none"
"Newton Creek",2021-06-09,46.7045,-92.0421,1,"Watershed",1050,"none",125,"none",1.9,"none",0.39,"none",36.4,"none",11.7,"none",0.81,"none",1.6,"none",1.67,"none",3.41,"none",87.2,"none",2.76,"none",9.3,"none"
