"datetime","lat","lon","truewd","ws","gust","atmoairt","roll","pitch","heading","chlavg","chlsd","chlmin","chlmax","phyavg","physd","phymin","phymax","exotempc","exodomgl","exodosat","exophy","exosal","exospcond","exotds","exoturb"
2024-05-28 13:05:46,46.8931,-91.0429,243.38,3.93,7.79,10.7,-1.16,3,291.88,0.7,0.325,0.161,1.692,0.148,0.167,0,1.031,8.818,11.96,103.06,-0.28,0.05,108.07,0.07,0.63
2024-05-28 13:15:46,46.8931,-91.043,293.06,5.96,8.05,9.7,4.13,8.57,333.66,0.617,0.322,0.113,1.644,0.152,0.184,0,1.096,8.905,11.94,103.13,-0.29,0.05,108.07,0.07,0.59
2024-05-28 13:45:49,46.8931,-91.0429,175.18,1.43,2.52,11.6,0.96,0.89,245.28,0.72,0.314,0.226,1.692,0.182,0.207,0,0.902,8.864,11.96,103.18,-0.3,0.05,108.1,0.07,0.6
2024-05-28 13:55:45,46.8931,-91.0428,182.71,1.55,2.24,11.3,0.69,3.88,258.51,0.627,0.243,0.193,1.531,0.157,0.173,0,0.902,8.798,11.97,103.07,-0.31,0.05,108.09,0.07,0.61
2024-05-28 14:35:53,46.8931,-91.0429,191.06,0.74,1.39,11.6,-1.49,0.68,287.76,0.641,0.361,0.097,1.789,0.145,0.161,0,0.886,8.958,11.96,103.42,-0.31,0.05,108.09,0.07,0.61
2024-05-28 14:55:50,46.8931,-91.0429,167.01,0.7,1.48,12.6,-2.09,0.28,284.51,0.562,0.254,0.048,1.563,0.152,0.159,0,0.741,9.187,11.94,103.79,-0.25,0.05,108.06,0.07,0.56
2024-05-28 15:15:56,46.8931,-91.0429,215.34,0.61,1.78,13.2,-3.57,1.23,278.94,0.583,0.249,0.177,1.466,0.15,0.181,0,0.854,9.214,11.95,103.92,-0.27,0.05,108.1,0.07,0.53
2024-05-28 15:35:52,46.8932,-91.0429,283.47,1.32,2.07,12.7,-0.06,3.49,321.37,0.597,0.303,0.081,1.611,0.139,0.13,0,0.918,9.204,11.96,104.01,-0.28,0.05,108.1,0.07,0.54
2024-05-28 15:45:56,46.893,-91.0429,276.25,2.21,3.25,12.5,-0.98,2.58,328.25,0.596,0.302,0.097,1.579,0.133,0.122,0,0.79,9.156,11.97,103.94,-0.3,0.05,108.11,0.07,0.52
2024-05-28 18:26:09,46.8931,-91.0429,169.89,0.82,1.26,12.3,-1.78,1.8,245.99,0.821,0.288,0.338,1.756,0.149,0.166,0,0.902,9.139,12.01,104.23,-0.28,0.05,108.14,0.07,0.6
2024-05-28 19:16:12,46.8931,-91.0429,225.68,0.65,1,12.7,-1.77,1.75,252.88,1.078,0.309,0.548,2.143,0.136,0.138,0,0.838,9.046,12.02,104.12,-0.26,0.05,108.14,0.07,0.58
2024-05-28 19:26:12,46.8931,-91.0429,253.75,0.72,2.07,12.8,-1,1.85,277.25,1.254,0.331,0.677,2.32,0.157,0.163,0,0.951,9.029,12.02,104.1,-0.21,0.05,108.14,0.07,0.6
2024-05-28 20:16:17,46.8931,-91.043,206.9,0.9,1.44,12.4,-1.9,1.42,258.1,2.117,0.328,1.402,3.11,0.141,0.099,0,0.628,8.958,12.03,104,-0.21,0.05,108.12,0.07,0.53
2024-05-28 21:36:23,46.8931,-91.0429,13.49,1.67,2.37,9.4,-2.28,2.31,92.59,2.523,0.307,1.805,3.609,0.133,0.124,0,0.806,9.007,12.03,104.1,-0.2,0.05,108.12,0.07,0.61
2024-05-28 21:46:24,46.8931,-91.0428,27.27,0.96,1.57,9.4,-1.47,2.18,110.77,2.504,0.316,1.966,3.625,0.14,0.11,0,0.628,9.002,12.03,104.11,-0.2,0.05,108.14,0.07,0.58
2024-05-28 21:56:21,46.8931,-91.0429,61.51,0.83,1.44,9.3,-1.17,1.89,152.71,2.64,0.382,1.821,3.706,0.198,0.213,0,0.902,9.004,12.03,104.14,-0.22,0.05,108.1,0.07,0.59
2024-05-28 22:06:21,46.8931,-91.0429,292.99,0.69,1.99,9.3,-1.95,1.37,150.79,2.678,0.449,1.611,4.254,0.159,0.17,0,0.918,8.991,12.04,104.12,-0.22,0.05,108.11,0.07,0.59
2024-05-28 22:16:21,46.8931,-91.0429,66.89,1.42,1.86,8.9,-1.01,2.02,150.19,2.582,0.324,1.966,3.738,0.143,0.116,0,0.822,9.006,12.04,104.16,-0.21,0.05,108.11,0.07,0.6
2024-05-28 22:26:22,46.8931,-91.0429,60.82,1.78,2.24,8.7,-1.27,1.75,137.22,2.74,0.432,1.74,4.27,0.154,0.15,0,0.935,8.969,12.04,104.07,-0.22,0.05,108.1,0.07,0.54
2024-05-28 22:46:23,46.8931,-91.0429,5.71,1.1,1.46,8.7,-2.23,1.89,99.61,2.604,0.329,2.079,3.513,0.157,0.169,0,0.87,8.973,12.03,104.06,-0.24,0.05,108.12,0.07,0.59
2024-05-28 23:06:24,46.8931,-91.0429,52.02,1.3,2.09,8.2,-1.29,2.22,135.72,2.853,0.452,2.111,4.496,0.162,0.158,0,0.822,9.13,12.02,104.33,-0.2,0.05,108.13,0.07,0.58
2024-05-28 23:16:24,46.8931,-91.0429,66.21,0.96,1.74,7.9,-0.76,2.11,152.71,2.733,0.343,2.111,4.077,0.167,0.184,0,0.886,9.308,12,104.63,-0.23,0.05,108.14,0.07,0.53
2024-05-28 23:36:25,46.8931,-91.0429,349.28,1.29,1.86,8.2,-1,1.27,139.08,2.645,0.334,2.127,3.69,0.18,0.172,0,0.854,9.22,12.02,104.53,-0.26,0.05,108.12,0.07,0.55
2024-05-28 23:56:26,46.8931,-91.0429,38.62,1.1,1.49,7.6,-1.43,2.27,129.02,2.669,0.335,1.982,3.593,0.172,0.159,0,0.822,9.325,12.01,104.77,-0.18,0.05,108.05,0.07,0.5
2024-05-29 00:26:32,46.8931,-91.0429,51.81,1.13,1.55,7.1,-1.04,1.68,135.21,2.836,0.469,2.062,5.011,0.179,0.174,0,0.886,9.283,12.02,104.7,-0.18,0.05,108.05,0.07,0.52
2024-05-29 00:36:28,46.8931,-91.0429,47.21,1.59,2.22,6.9,-1.37,1.21,127.01,2.705,0.28,2.062,3.706,0.164,0.169,0,0.838,9.478,11.98,104.88,-0.25,0.05,108.09,0.07,0.49
2024-05-29 00:46:32,46.8932,-91.0429,60.38,1.35,2.21,7,-1.37,2.3,143.68,2.668,0.333,1.982,3.754,0.172,0.157,0,0.838,10.803,11.75,106.1,-0.37,0.05,109.15,0.07,0.76
2024-05-29 00:56:28,46.8931,-91.0429,143.41,0.5,1.23,7.2,-1.81,1.66,152.11,2.77,0.342,2.208,3.706,0.164,0.164,0,0.87,10.764,11.76,106.12,-0.36,0.05,109.05,0.07,0.67
2024-05-29 01:06:33,46.8931,-91.0429,14.66,1.11,2.21,7.7,-0.85,1.57,108.66,2.708,0.38,1.966,3.916,0.177,0.164,0,0.806,10.87,11.75,106.26,-0.35,0.05,109.36,0.07,0.67
2024-05-29 01:16:29,46.8931,-91.0429,107.06,1.33,2.65,7.8,-1.61,1.83,170.56,2.846,0.385,2.095,4.044,0.179,0.187,0,0.951,10.837,11.75,106.17,-0.35,0.05,109.21,0.07,0.66
2024-05-29 01:36:34,46.8931,-91.0429,38.39,1.34,2.43,7.5,-1.3,1.82,127.09,2.878,0.368,2.336,3.819,0.172,0.184,0,0.967,10.535,11.81,105.93,-0.35,0.05,109.97,0.07,0.65
2024-05-29 01:46:35,46.8931,-91.0428,38.92,1.54,2.04,7.6,-1.42,2.02,122.82,2.847,0.303,2.191,4.125,0.154,0.159,0,0.838,10.717,11.8,106.33,-0.33,0.05,109.48,0.07,0.61
2024-05-29 01:56:32,46.8931,-91.0428,61.28,1.01,1.73,7.7,-1.78,1.84,142.18,2.843,0.328,2.175,3.851,0.194,0.203,0,0.902,10.733,11.81,106.42,-0.36,0.05,109.49,0.07,0.62
2024-05-29 02:06:36,46.8931,-91.0428,33.86,0.7,1.25,7.8,-1.34,2.41,121.36,3.028,0.336,2.401,3.932,0.167,0.165,0,0.838,10.77,11.78,106.28,-0.37,0.05,109.67,0.07,0.61
2024-05-29 02:16:32,46.8931,-91.0428,28.38,1.01,1.49,7.8,-1.67,1.69,125.48,3.039,0.397,2.272,3.996,0.189,0.19,0,1.015,10.701,11.8,106.27,-0.36,0.05,109.47,0.07,0.6
2024-05-29 02:26:33,46.8931,-91.0428,38.61,1.25,1.67,7.5,-1.31,2.1,122.21,2.963,0.396,2.159,4.286,0.195,0.187,0,0.902,10.7,11.8,106.26,-0.39,0.05,109.43,0.07,0.63
2024-05-29 02:36:33,46.8931,-91.0428,50.63,1.39,1.86,7.4,-1.51,1.94,134.43,2.968,0.289,2.401,3.98,0.182,0.186,0,0.902,10.698,11.79,106.23,-0.35,0.05,109.44,0.07,0.61
2024-05-29 02:46:33,46.8932,-91.0428,50.45,1.63,2.6,7.5,-0.5,2.49,130.25,3.205,0.432,2.546,4.496,0.182,0.164,0,0.935,10.705,11.79,106.24,-0.35,0.05,109.36,0.07,0.6
2024-05-29 03:06:34,46.8932,-91.0429,31.91,0.88,1.77,7.3,-1.49,1.44,133.61,2.975,0.341,2.256,4.125,0.19,0.186,0,0.951,10.687,11.79,106.16,-0.29,0.05,109.11,0.07,0.58
2024-05-29 03:16:34,46.8932,-91.0429,27.19,0.68,1.29,7.3,-1.39,1.82,134.89,3.35,0.493,2.32,4.947,0.174,0.143,0,0.854,10.114,11.9,105.74,-0.28,0.05,108.38,0.07,0.51
2024-05-29 03:26:34,46.8932,-91.0429,70.28,1.18,1.44,7,-0.94,2.19,141.58,3.605,0.454,2.675,4.673,0.187,0.181,0,0.886,10.137,11.95,106.18,-0.27,0.05,108.6,0.07,0.55
2024-05-29 03:36:35,46.8931,-91.0429,51.39,1.31,1.86,6.6,-1.93,0.66,132.39,3.26,0.333,2.53,4.141,0.144,0.095,0,0.612,10.41,11.84,105.91,-0.25,0.05,108.68,0.07,0.49
2024-05-29 03:46:35,46.8931,-91.0429,80.98,1.19,1.59,6.4,-1.76,2.13,149.68,3.492,0.446,2.643,5.027,0.196,0.185,0,0.983,10.448,11.82,105.87,-0.27,0.05,109.13,0.07,0.59
2024-05-29 03:56:35,46.8931,-91.0429,65.63,1.75,2.4,6.2,-1.22,0.87,136.33,3.423,0.401,2.562,4.576,0.182,0.193,0,0.967,10.12,11.92,105.97,-0.29,0.05,108.39,0.07,0.54
2024-05-29 04:06:40,46.8932,-91.0429,49.93,1.64,2.4,6.1,-1.21,0.5,131.13,3.302,0.346,2.53,4.27,0.195,0.199,0,1.015,10.228,11.85,105.59,-0.28,0.05,109.56,0.07,0.63
2024-05-29 04:16:41,46.8932,-91.0429,19.57,1.11,1.55,6.3,-1.14,0.87,118.97,3.389,0.323,2.804,4.318,0.214,0.202,0,0.886,10.081,11.83,105.05,-0.33,0.05,109.43,0.07,0.61
2024-05-29 04:26:41,46.8931,-91.0429,48.28,1.12,1.55,6.2,-1.7,-0.53,132.08,3.452,0.385,2.675,4.625,0.18,0.185,0,1.031,9.988,11.87,105.13,-0.32,0.05,109.28,0.07,0.59
2024-05-29 04:36:37,46.8931,-91.0429,58.45,0.89,1.4,6.4,-2.07,1.6,129.85,3.42,0.423,2.353,4.753,0.179,0.182,0,1.047,9.977,11.86,105,-0.31,0.05,109.28,0.07,0.62
2024-05-29 04:46:38,46.8931,-91.0429,81.66,1.34,1.92,6.4,-1.6,1.33,142.76,3.767,0.51,2.691,5.06,0.177,0.164,0,0.806,9.862,11.89,105.04,-0.27,0.05,109.02,0.07,0.6
2024-05-29 04:56:38,46.8931,-91.0429,80.62,0.9,1.36,6.3,-1.04,2.14,134.02,3.569,0.416,2.514,4.689,0.169,0.138,0,0.902,9.665,11.96,105.16,-0.28,0.05,108.83,0.07,0.59
2024-05-29 05:06:39,46.8931,-91.0429,61.46,0.68,1.11,6.3,0.01,4.06,133.36,3.746,0.39,2.852,4.898,0.173,0.157,0,0.741,9.566,11.96,104.95,-0.31,0.05,108.46,0.07,0.55
2024-05-29 05:16:40,46.8931,-91.0429,59.51,1.38,2.05,5.7,-0.98,2.27,132.21,4.202,0.556,3.207,6.01,0.164,0.148,0,1.015,9.457,12.01,105.07,-0.29,0.05,108.37,0.07,0.55
2024-05-29 05:26:40,46.8931,-91.0429,49.24,1.34,1.64,5.6,-0.85,2.59,129.34,4.288,0.396,3.384,5.333,0.187,0.169,0,0.967,9.415,12.02,105.08,-0.26,0.05,108.43,0.07,0.55
2024-05-29 05:46:42,46.8932,-91.0429,42.78,1.15,1.51,5.5,-1.12,2.65,135.48,4.36,0.593,3.207,5.849,0.171,0.14,0,0.741,9.393,11.99,104.68,-0.27,0.05,108.54,0.07,0.59
2024-05-29 07:16:54,46.8932,-91.0429,179.23,0.46,0.7,9,-1.83,1.09,142.33,3.197,0.609,2.111,4.463,0.182,0.174,0,0.902,9.169,12.03,104.55,-0.22,0.05,108.15,0.07,0.56
2024-05-29 07:26:51,46.8932,-91.0429,194.35,0.99,1.99,8.8,-0.72,1.86,156.55,3.923,0.552,2.159,5.124,0.184,0.181,0,0.902,9.133,12.08,104.84,-0.26,0.05,108.24,0.07,0.53
2024-05-29 07:36:51,46.8932,-91.0429,195.86,0.99,1.88,9.1,-1.19,1.89,156.46,3.576,0.621,2.401,5.366,0.183,0.148,0,0.902,9.156,12.06,104.71,-0.25,0.05,108.29,0.07,0.58
2024-05-29 07:46:51,46.8932,-91.0429,177.81,0.85,1.74,9.4,-1.23,1.52,154.21,3.259,0.502,1.644,4.528,0.181,0.167,0,0.886,9.203,12.01,104.44,-0.26,0.05,108.4,0.07,0.56
2024-05-29 08:16:53,46.8931,-91.0429,213.15,2.15,2.66,8.4,-2.15,1.36,183.75,1.26,0.544,0.419,3.11,0.18,0.196,0,0.935,9.186,12.01,104.41,-0.26,0.05,108.4,0.07,0.56
