Site,Round,Date,Depth (m),Temp (C),DO %,DO (mg/L),Specific Conductivity (uS/cm),pH,Turbidity (NTU),PAR (AMB),PAR (UW)
1,1,6/22/21,above,NA,NA,NA,NA,NA,NA,742.4,651.5
1,1,6/22/21,0.1,16.5,106.2,10.1,113.0,7.9,2.6,741.2,422.9
1,1,6/22/21,0.5,16.5,106.3,10.1,113.0,7.9,2.5,739.0,304.3
1,1,6/22/21,1.0,16.5,106.3,10.1,113.0,7.9,2.5,741.9,190.4
1,1,6/22/21,2.0,16.4,106.0,10.1,113.0,7.9,2.6,735.0,110.3
1,1,6/22/21,3.0,16.2,105.9,10.1,113.0,7.8,2.6,730.0,50.2
1,1,6/22/21,4.0,16.0,105.4,10.1,114.4,7.8,2.7,726.4,24.1
1,1,6/22/21,5.0,15.7,104.7,10.1,115.1,7.7,5.8,715.8,10.7
1,1,6/22/21,6.0,15.6,103.6,10.0,115.8,7.7,6.3,711.8,4.6
1,2,7/9/21,above,NA,NA,NA,NA,NA,NA,1944.8,2475.1
1,2,7/9/21,0.1,19.0,105.3,9.6,109.8,8.1,4.1,1926.0,1644.1
1,2,7/9/21,0.5,18.9,105.5,9.6,109.4,8.0,3.7,1923.2,1245.3
1,2,7/9/21,1.0,18.8,105.3,9.6,109.4,8.0,3.5,1925.6,710.5
1,2,7/9/21,2.0,17.8,103.8,9.7,110.7,7.9,14.1,1927.2,357.1
1,2,7/9/21,3.0,17.7,103.0,9.6,111.5,7.9,21.1,1927.4,47.0
1,2,7/9/21,4.0,17.2,101.7,9.6,111.6,7.9,22.2,1935.8,5.5
1,2,7/9/21,5.0,17.2,99.7,9.4,113.4,7.9,34.0,1935.4,0.5
1,4,8/10/21,above,NA,NA,NA,NA,NA,NA,1684.1,1798.2
1,4,8/10/21,0.1,21.9,104.4,8.8,108.5,8.7,6.1,1687.4,1842.0
1,4,8/10/21,0.5,21.7,103.0,8.8,108.6,8.2,6.9,1692.8,1108.3
1,4,8/10/21,1.0,20.8,102.5,8.9,108.5,8.0,7.2,1711.0,515.4
1,4,8/10/21,2.0,20.3,101.7,8.9,108.2,7.9,6.0,1695.7,190.2
1,4,8/10/21,3.0,19.8,101.1,8.9,107.2,7.8,3.9,1663.6,111.0
1,4,8/10/21,4.0,19.7,99.0,8.8,108.3,7.8,6.1,1628.3,92.5
1,4,8/10/21,5.0,19.5,97.6,8.7,108.6,7.7,6.4,1623.6,14.1
1,4,8/10/21,6.0,19.4,97.0,8.6,108.8,7.7,9.8,1653.3,7.2
1,5,8/23/21,above,NA,NA,NA,NA,NA,NA,1698.8,2159.2
1,5,8/23/21,0.1,19.5,104.9,9.4,107.6,7.9,3.8,1692.3,1243.2
1,5,8/23/21,0.5,19.4,105.6,9.4,108.4,7.9,3.5,1699.8,1049.8
1,5,8/23/21,1.0,19.4,105.1,9.4,108.4,7.8,2.5,1710.4,1358.4
1,5,8/23/21,2.0,19.2,104.7,9.4,108.3,7.8,1.5,1698.7,916.8
1,5,8/23/21,3.0,19.0,104.8,9.4,108.3,7.7,1.2,1623.0,632.3
1,5,8/23/21,4.0,18.0,105.4,9.7,108.0,7.5,1.1,1647.5,431.8
1,5,8/23/21,5.0,17.7,105.6,9.7,107.9,7.5,1.1,1656.2,235.7
1,5,8/23/21,5.5,NA,NA,NA,NA,NA,NA,1685.4,163.0
2,1,6/22/21,above,NA,NA,NA,NA,NA,NA,2169.9,2903.5
2,1,6/22/21,0.1,16.7,105.9,10.0,112.4,7.8,3.0,2153.2,1875.2
2,1,6/22/21,0.5,16.7,105.6,10.0,112.4,7.8,2.9,2162.7,1291.5
2,1,6/22/21,1.0,16.7,105.5,10.0,112.4,7.7,2.9,2156.4,944.7
2,1,6/22/21,2.0,16.6,105.4,10.0,112.6,7.6,3.4,2148.7,404.7
2,1,6/22/21,3.0,16.2,104.2,10.0,113.9,7.5,6.0,2139.1,154.9
2,1,6/22/21,4.0,15.8,102.9,9.9,113.3,7.4,6.2,2139.3,55.1
2,1,6/22/21,5.0,15.7,102.7,9.9,112.7,7.4,5.9,2148.2,21.0
2,1,6/22/21,6.0,15.7,102.6,9.9,112.3,7.4,5.4,2159.6,20.4
2,1,6/22/21,7.0,15.6,101.5,9.8,113.4,7.3,6.6,2146.5,18.0
2,2,7/9/21,above,NA,NA,NA,NA,NA,NA,1884.0,2134.1
2,2,7/9/21,0.1,18.8,106.2,9.7,108.6,8.0,4.2,1876.4,1802.5
2,2,7/9/21,0.5,18.7,106.7,9.7,108.5,7.9,4.3,1881.6,1387.4
2,2,7/9/21,1.0,18.6,106.4,9.7,108.5,7.9,3.0,1877.1,1122.6
2,2,7/9/21,2.0,18.5,105.4,9.7,108.9,7.9,4.6,1872.5,577.0
2,2,7/9/21,3.0,17.6,104.8,9.8,108.5,7.8,4.4,1870.7,229.2
2,2,7/9/21,4.0,17.4,104.7,9.8,108.6,7.8,4.8,1874.5,97.3
2,2,7/9/21,5.0,17.2,104.5,9.8,108.8,7.8,5.3,1890.0,41.0
2,2,7/9/21,6.0,17.2,104.0,9.8,108.6,7.8,3.7,1883.0,20.4
2,4,8/10/21,above,NA,NA,NA,NA,NA,NA,1613.9,696.7
2,4,8/10/21,0.1,20.8,103.5,9.0,107.0,8.4,4.1,1616.2,947.8
2,4,8/10/21,0.5,20.8,103.5,9.0,107.0,8.3,4.1,1695.8,544.1
2,4,8/10/21,1.0,20.8,103.5,9.0,107.0,8.2,3.9,1579.1,375.9
2,4,8/10/21,2.0,19.8,101.4,9.0,106.3,7.9,1.4,1671.6,227.4
2,4,8/10/21,3.0,19.7,101.2,8.9,106.2,7.8,1.2,1760.8,165.1
2,4,8/10/21,4.0,19.7,101.0,8.9,106.0,7.8,1.1,1808.8,128.2
2,4,8/10/21,5.0,19.6,101.0,8.9,106.0,7.8,1.1,1742.1,93.0
2,4,8/10/21,6.0,19.6,100.9,8.9,106.1,7.8,1.3,1778.1,70.4
2,4,8/10/21,7.0,19.6,100.6,8.9,106.2,7.8,1.5,1638.2,51.9
2,4,8/10/21,8.0,19.6,100.3,8.9,106.3,7.8,3.9,1578.8,35.8
2,4,8/10/21,8.5,NA,NA,NA,NA,NA,NA,1499.6,20.9
2,5,8/23/21,above,NA,NA,NA,NA,NA,NA,1830.0,1648.3
2,5,8/23/21,0.1,20.0,104.7,9.2,106.8,8.0,2.2,1846.2,1804.9
2,5,8/23/21,0.5,20.0,104.1,9.2,106.8,7.9,2.2,1781.4,1156.0
2,5,8/23/21,1.0,20.0,103.8,9.2,106.8,7.9,2.2,1731.8,1121.6
2,5,8/23/21,2.0,20.0,103.8,9.2,106.8,7.9,2.2,1712.8,784.2
2,5,8/23/21,3.0,19.8,103.6,9.2,106.7,7.9,2.1,1715.6,382.4
2,5,8/23/21,4.0,NA,NA,NA,NA,NA,NA,1706.6,216.2
2,5,8/23/21,5.0,NA,NA,NA,NA,NA,NA,1723.3,97.0
2,5,8/23/21,6.0,NA,NA,NA,NA,NA,NA,1669.4,50.7
2,5,8/23/21,7.0,NA,NA,NA,NA,NA,NA,1700.0,25.9
2,5,8/23/21,8.0,NA,NA,NA,NA,NA,NA,1737.6,13.7
3,1,6/22/21,above,NA,NA,NA,NA,NA,NA,2335.1,3178.3
3,1,6/22/21,0.1,16.8,106.7,10.1,108.4,7.8,2.3,2345.4,2120.7
3,1,6/22/21,0.5,16.7,106.6,10.1,108.4,7.8,2.4,2349.5,1985.1
3,1,6/22/21,1.0,16.7,106.5,10.1,108.5,7.8,2.5,2364.4,1045.8
3,1,6/22/21,2.0,16.0,104.7,10.1,110.0,7.7,9.1,2396.7,455.4
3,1,6/22/21,3.0,15.9,103.4,9.9,111.8,7.7,21.2,1389.8,64.7
3,2,7/9/21,above,NA,NA,NA,NA,NA,NA,1802.9,2467.7
3,2,7/9/21,0.1,18.8,106.2,9.7,108.7,8.0,4.0,1803.4,1578.6
3,2,7/9/21,0.5,18.6,106.3,9.7,108.7,7.9,4.2,1788.7,1340.1
3,2,7/9/21,1.0,18.5,105.7,9.7,108.7,7.9,4.4,1792.6,1152.0
3,2,7/9/21,2.0,17.9,104.3,9.8,108.6,7.9,4.6,1801.5,565.6
3,2,7/9/21,3.0,17.6,104.3,9.8,108.7,7.9,4.8,1826.1,293.3
3,4,8/10/21,above,NA,NA,NA,NA,NA,NA,1728.4,1607.1
3,4,8/10/21,0.1,20.3,103.5,9.1,105.9,8.6,2.5,1660.9,1702.6
3,4,8/10/21,0.5,20.2,103.7,9.1,106.0,8.4,2.4,1703.6,1606.2
3,4,8/10/21,1.0,20.2,103.8,9.1,106.0,8.3,2.6,1724.0,400.4
3,4,8/10/21,2.0,20.1,103.4,9.1,105.8,8.1,2.0,1697.0,285.4
3,4,8/10/21,3.0,19.9,103.3,9.1,105.9,8.0,2.3,1579.3,139.6
3,4,8/10/21,3.5,19.8,105.8,9.4,106.1,8.0,3.4,1686.0,120.9
3,5,8/23/21,above,NA,NA,NA,NA,NA,NA,1665.9,2074.5
3,5,8/23/21,0.1,19.9,103.1,9.1,106.7,8.2,3.2,1744.6,478.3
3,5,8/23/21,0.5,19.9,103.3,9.1,106.7,8.2,3.3,1572.9,1657.5
3,5,8/23/21,1.0,19.9,103.3,9.1,106.7,8.2,3.3,1695.4,950.1
3,5,8/23/21,2.0,19.9,103.3,9.1,106.7,8.2,3.3,1671.9,508.5
3,5,8/23/21,3.0,19.8,103.3,9.2,106.7,8.1,3.3,1650.0,303.6
3,5,8/23/21,4.0,18.4,108.4,9.5,106.2,8.0,3.7,1709.6,168.9
4,1,6/22/21,above,NA,NA,NA,NA,NA,NA,1870.9,2588.4
4,1,6/22/21,0.1,17.3,105.8,9.9,110.7,8.3,5.7,1890.3,1694.0
4,1,6/22/21,0.5,17.2,105.2,9.9,110.7,8.0,6.0,1861.2,1269.3
4,1,6/22/21,1.0,16.8,104.6,9.9,110.9,7.9,8.2,1883.9,973.6
4,1,6/22/21,2.0,16.3,104.1,10.0,110.6,7.8,6.7,1886.1,214.1
4,1,6/22/21,3.0,16.1,103.3,9.9,110.9,7.8,8.0,1881.7,99.5
4,1,6/22/21,4.0,16.0,102.0,9.8,112.8,7.9,20.6,1908.1,19.2
4,2,7/9/21,above,NA,NA,NA,NA,NA,NA,1552.9,2360.2
4,2,7/9/21,0.1,18.3,105.4,9.7,108.6,8.1,2.2,1547.8,1750.5
4,2,7/9/21,0.5,18.2,105.1,9.7,108.6,8.0,2.2,1548.1,1267.6
4,2,7/9/21,1.0,18.0,104.7,9.7,108.7,8.0,2.6,1558.8,826.9
4,2,7/9/21,2.0,17.7,104.0,9.7,109.0,8.0,3.5,1550.5,583.3
4,2,7/9/21,3.0,17.6,103.9,9.7,109.2,8.0,3.9,1553.9,175.0
4,2,7/9/21,4.0,17.4,103.3,9.7,109.6,8.0,4.8,1546.9,69.7
4,4,8/10/21,above,NA,NA,NA,NA,NA,NA,401.6,329.3
4,4,8/10/21,0.1,19.8,102.7,9.1,106.3,7.9,2.9,457.3,270.5
4,4,8/10/21,0.5,19.8,102.7,9.1,106.3,7.8,2.9,484.4,209.3
4,4,8/10/21,1.0,19.8,102.7,9.1,106.3,7.8,2.2,527.7,161.3
4,4,8/10/21,2.0,19.7,102.6,9.1,106.1,7.7,2.5,554.7,122.4
4,4,8/10/21,3.0,19.6,102.5,9.1,105.9,7.6,2.5,560.6,64.2
4,4,8/10/21,4.0,19.5,102.4,9.1,106.0,7.6,2.7,554.5,43.2
4,4,8/10/21,5.0,NA,NA,NA,NA,NA,NA,495.0,24.3
4,5,8/23/21,above,NA,NA,NA,NA,NA,NA,1637.7,2381.9
4,5,8/23/21,0.1,20.2,103.2,9.1,106.5,8.4,2.3,1689.8,1617.4
4,5,8/23/21,0.5,20.2,103.1,9.1,106.6,8.4,2.3,1665.2,1555.3
4,5,8/23/21,1.0,20.2,103.1,9.1,106.6,8.3,2.2,1614.4,1125.3
4,5,8/23/21,2.0,20.2,103.1,9.1,106.6,8.2,2.2,1616.7,737.3
4,5,8/23/21,3.0,20.1,103.1,9.1,106.6,8.1,2.1,1591.9,421.1
4,5,8/23/21,4.0,19.1,103.1,9.3,106.3,7.8,2.2,1682.9,221.0
4,5,8/23/21,4.5,18.3,104.8,9.5,106.5,7.8,2.4,1623.5,150.7
5,1,6/22/21,above,NA,NA,NA,NA,NA,NA,1793.7,2267.6
5,1,6/22/21,0.1,16.5,104.6,10.0,110.1,8.0,2.5,1774.1,1299.5
5,1,6/22/21,0.5,16.5,104.6,9.9,110.0,8.0,2.5,1776.5,1489.8
5,1,6/22/21,1.0,16.5,104.6,10.0,110.1,7.9,2.6,1813.1,799.0
5,1,6/22/21,2.0,16.2,104.0,10.0,110.2,7.8,2.9,1807.2,349.9
5,1,6/22/21,3.0,16.1,103.6,9.9,110.3,7.8,3.0,1782.3,169.0
5,1,6/22/21,4.0,16.0,103.6,10.0,110.2,7.8,2.9,1816.2,73.9
5,2,7/9/21,above,NA,NA,NA,NA,NA,NA,1486.1,1901.0
5,2,7/9/21,0.1,18.0,104.0,9.6,109.4,8.0,3.0,1459.3,1104.0
5,2,7/9/21,0.5,17.7,103.7,9.7,109.3,7.9,3.0,1477.6,199.9
5,2,7/9/21,1.0,17.6,103.5,9.7,109.3,7.9,3.1,1473.8,253.3
5,2,7/9/21,2.0,17.5,103.3,9.7,109.4,7.9,3.6,1483.5,146.4
5,2,7/9/21,3.0,17.2,102.8,9.7,109.5,7.8,4.5,1469.7,73.7
5,2,7/9/21,4.0,17.1,102.3,9.7,109.9,7.7,6.4,1505.7,33.7
5,4,8/10/21,above,NA,NA,NA,NA,NA,NA,764.1,870.4
5,4,8/10/21,0.1,20.1,101.9,9.0,107.2,8.6,3.7,700.9,525.3
5,4,8/10/21,0.5,20.1,102.1,9.0,107.2,8.4,3.8,679.1,353.8
5,4,8/10/21,1.0,20.0,102.1,9.0,107.2,8.2,3.9,656.9,228.9
5,4,8/10/21,2.0,20.0,102.0,9.0,107.2,8.1,3.9,643.0,109.3
5,4,8/10/21,3.0,19.5,101.7,9.1,106.2,7.9,3.4,625.4,68.6
5,4,8/10/21,4.0,19.5,101.6,9.0,106.4,7.8,3.6,601.1,35.2
5,4,8/10/21,5.0,19.5,101.5,9.0,106.4,7.8,3.8,565.1,24.9
5,5,8/23/21,above,NA,NA,NA,NA,NA,NA,1582.0,2347.3
5,5,8/23/21,0.1,20.2,103.0,9.1,106.9,8.4,1.6,1542.3,1092.6
5,5,8/23/21,0.5,20.2,103.0,9.1,106.9,8.3,1.5,1546.1,1230.8
5,5,8/23/21,1.0,20.1,103.0,9.1,106.9,8.2,1.5,1509.0,876.2
5,5,8/23/21,2.0,20.1,102.9,9.1,106.9,8.1,1.6,1580.6,478.3
5,5,8/23/21,3.0,20.0,103.0,9.1,107.0,8.1,1.6,1566.9,369.2
5,5,8/23/21,4.0,19.9,102.9,9.1,106.9,8.0,1.7,1560.4,221.1
5,5,8/23/21,5.0,19.6,104.5,9.3,106.8,7.9,2.1,1557.0,190.0
6,1,6/22/21,above,NA,NA,NA,NA,NA,NA,1607.9,2449.6
6,1,6/22/21,0.1,16.4,104.3,9.9,110.0,7.7,2.3,1644.5,1362.1
6,1,6/22/21,0.5,16.3,104.3,10.0,110.0,7.7,2.2,1621.3,1342.0
6,1,6/22/21,1.0,16.3,104.4,10.0,110.0,7.6,2.3,1580.4,478.3
6,1,6/22/21,2.0,16.2,103.8,9.9,110.3,7.6,3.3,1637.9,283.5
6,1,6/22/21,3.0,16.1,103.2,9.9,110.5,7.5,4.4,1559.5,135.0
6,1,6/22/21,4.0,16.0,102.8,9.9,110.6,7.4,4.9,1609.0,51.5
6,1,6/22/21,5.0,NA,NA,NA,NA,NA,NA,1638.1,20.2
6,2,7/9/21,above,NA,NA,NA,NA,NA,NA,1403.7,1752.8
6,2,7/9/21,0.1,17.3,104.3,9.8,108.9,8.1,3.5,1427.8,1220.5
6,2,7/9/21,0.5,17.2,104.1,9.8,108.9,8.1,3.6,1398.6,939.6
6,2,7/9/21,1.0,17.1,103.8,9.8,109.1,8.0,4.2,1387.2,453.1
6,2,7/9/21,2.0,16.9,103.5,9.8,109.3,8.1,4.8,1386.7,179.9
6,2,7/9/21,3.0,16.8,103.5,9.8,109.3,8.0,4.5,1359.0,53.3
6,2,7/9/21,4.0,16.7,103.4,9.9,109.5,8.0,5.0,1340.0,23.8
6,2,7/9/21,5.0,16.4,103.9,10.0,110.1,8.0,5.6,1330.2,11.3
6,4,8/10/21,above,NA,NA,NA,NA,NA,NA,463.1,430.6
6,4,8/10/21,0.1,20.0,101.8,9.0,108.2,8.1,4.7,462.3,300.3
6,4,8/10/21,0.5,20.0,101.7,9.0,108.0,8.0,4.5,461.4,185.8
6,4,8/10/21,1.0,19.9,101.6,9.0,107.5,7.9,4.0,462.8,160.1
6,4,8/10/21,2.0,19.6,101.3,9.0,107.0,7.8,3.8,459.5,106.1
6,4,8/10/21,3.0,19.6,101.2,9.0,108.1,7.7,3.8,457.6,39.6
6,4,8/10/21,4.0,19.6,99.9,8.9,116.5,7.7,4.9,458.4,18.2
6,4,8/10/21,5.0,19.5,98.5,8.7,124.6,7.6,6.6,457.0,10.2
6,4,8/10/21,5.5,NA,NA,NA,NA,NA,NA,453.4,8.1
6,5,8/23/21,above,NA,NA,NA,NA,NA,NA,1154.5,2166.7
6,5,8/23/21,0.1,19.9,102.7,9.1,108.1,8.4,2.8,1250.1,1160.4
6,5,8/23/21,0.5,19.9,102.8,9.1,108.1,8.2,2.2,1144.1,1286.8
6,5,8/23/21,1.0,19.9,102.7,9.1,108.1,8.1,2.1,1140.7,728.6
6,5,8/23/21,2.0,19.9,102.7,9.1,108.1,8.0,2.1,1202.1,340.5
6,5,8/23/21,3.0,19.9,102.7,9.1,108.2,7.9,2.2,1228.3,181.7
6,5,8/23/21,4.0,19.8,102.6,9.1,108.2,7.8,2.1,1126.9,140.8
6,5,8/23/21,5.0,19.6,101.5,9.0,111.2,7.7,3.1,1152.8,65.6
6,5,8/23/21,5.3,19.3,99.1,8.9,118.3,7.6,4.6,1117.2,41.1
7,1,6/22/21,above,NA,NA,NA,NA,NA,NA,1450.0,1558.5
7,1,6/22/21,0.1,16.4,101.6,9.7,117.0,7.2,11.2,1469.8,807.8
7,1,6/22/21,0.5,16.4,101.1,9.6,117.1,7.1,11.5,1526.9,704.9
7,1,6/22/21,1.0,16.3,101.0,9.6,117.2,7.1,11.6,1462.8,267.0
7,1,6/22/21,2.0,16.3,100.9,9.6,117.1,7.1,11.2,1405.3,50.4
7,1,6/22/21,3.0,16.3,100.8,9.6,117.1,7.0,11.3,1401.8,9.9
7,2,7/9/21,above,NA,NA,NA,NA,NA,NA,1119.2,2122.5
7,2,7/9/21,0.1,16.2,103.2,9.9,112.2,8.1,5.0,1169.8,1264.9
7,2,7/9/21,0.5,16.1,103.3,10.0,112.3,8.0,5.0,1154.9,769.3
7,2,7/9/21,1.0,16.0,103.0,10.0,112.5,8.0,5.0,1186.1,219.4
7,2,7/9/21,2.0,15.5,103.6,10.1,111.8,7.8,5.7,1171.8,59.2
7,4,8/10/21,above,NA,NA,NA,NA,NA,NA,273.2,290.2
7,4,8/10/21,0.1,19.9,101.8,9.0,111.7,8.5,5.9,268.1,181.7
7,4,8/10/21,0.5,19.9,101.8,9.0,111.8,8.2,5.8,264.9,119.1
7,4,8/10/21,1.0,19.9,101.8,9.0,111.8,8.1,6.0,253.3,60.4
7,4,8/10/21,2.0,19.8,101.5,9.0,111.0,8.0,6.2,248.2,30.0
7,4,8/10/21,3.0,19.7,101.3,9.0,111.0,7.8,6.2,237.6,15.2
7,5,8/23/21,above,NA,NA,NA,NA,NA,NA,1024.8,1997.6
7,5,8/23/21,0.1,20.0,102.6,9.1,106.8,8.6,1.2,953.0,1220.6
7,5,8/23/21,0.5,20.0,102.6,9.1,106.9,8.3,1.2,982.1,999.3
7,5,8/23/21,1.0,20.0,102.5,9.1,106.6,8.2,1.2,987.9,584.7
7,5,8/23/21,2.0,19.7,102.9,9.2,106.3,8.0,1.1,971.5,388.9
7,5,8/23/21,2.8,19.7,103.2,9.2,106.2,7.8,1.1,1045.1,212.7
8,1,6/23/21,above,NA,NA,NA,NA,NA,NA,1210.3,2256.9
8,1,6/23/21,0.1,16.2,102.4,9.8,111.7,7.5,2.3,1204.8,937.2
8,1,6/23/21,0.5,16.1,102.7,9.8,111.7,7.5,2.0,1284.4,656.8
8,1,6/23/21,1.0,16.1,102.7,9.8,111.7,7.4,2.0,1232.9,436.7
8,1,6/23/21,2.0,16.1,102.6,9.8,111.6,7.4,1.9,1201.9,355.4
8,1,6/23/21,3.0,16.0,102.6,9.8,111.4,7.3,1.7,1242.6,134.8
8,1,6/23/21,4.0,15.6,103.1,10.0,110.9,7.2,1.5,1292.0,68.7
8,1,6/23/21,5.0,15.2,103.4,10.1,110.1,7.1,1.2,1254.3,43.0
8,2,7/8/21,above,NA,NA,NA,NA,NA,NA,1268.6,1712.7
8,2,7/8/21,0.1,10.9,102.9,11.1,105.4,6.9,4.4,1255.2,976.5
8,2,7/8/21,0.5,10.8,102.6,11.1,105.4,6.8,4.8,1253.7,778.1
8,2,7/8/21,1.0,10.3,102.3,11.2,105.4,6.6,7.3,1239.5,329.4
8,2,7/8/21,2.0,8.9,101.9,11.5,104.6,6.4,6.8,1244.0,119.7
8,2,7/8/21,3.0,8.1,101.5,11.8,103.8,6.3,5.6,1266.0,46.1
8,2,7/8/21,4.0,7.9,101.9,11.9,103.7,6.3,5.4,1263.2,18.3
8,4,8/11/21,above,NA,NA,NA,NA,NA,NA,32.8,39.7
8,4,8/11/21,0.1,19.9,102.0,9.0,109.6,8.2,3.9,33.1,21.0
8,4,8/11/21,0.5,19.9,102.0,9.0,109.8,7.8,3.9,33.4,19.8
8,4,8/11/21,1.0,19.9,102.0,9.0,109.8,7.7,4.0,34.1,16.1
8,4,8/11/21,2.0,19.9,102.0,9.0,109.7,7.6,3.9,34.9,7.1
8,4,8/11/21,3.0,19.9,102.0,9.0,109.6,7.5,3.9,34.3,3.1
8,4,8/11/21,4.0,19.9,102.0,9.0,109.6,7.5,3.8,35.9,1.9
8,4,8/11/21,5.0,19.8,102.0,9.0,109.5,7.5,3.8,37.0,1.3
8,5,8/25/21,above,NA,NA,NA,NA,NA,NA,189.3,168.4
8,5,8/25/21,0.1,19.4,101.8,9.2,108.1,8.4,0.7,190.2,111.8
8,5,8/25/21,0.5,19.3,102.0,9.2,108.0,8.4,0.7,191.0,116.8
8,5,8/25/21,1.0,19.0,102.5,9.3,107.9,8.1,0.8,191.6,92.1
8,5,8/25/21,2.0,17.3,104.2,9.8,108.4,7.9,0.9,192.1,67.8
8,5,8/25/21,3.0,17.0,104.6,9.9,107.4,7.8,1.0,192.8,46.2
8,5,8/25/21,4.0,11.5,107.6,11.5,105.6,7.5,2.1,193.4,38.0
8,5,8/25/21,5.0,9.0,105.9,11.9,105.1,7.3,2.8,193.9,32.2
9,1,6/23/21,above,NA,NA,NA,NA,NA,NA,1517.8,1779.1
9,1,6/23/21,0.1,16.3,103.2,9.8,110.5,7.7,1.0,1511.1,1159.3
9,1,6/23/21,0.5,16.2,103.7,9.9,110.4,7.7,1.0,1427.5,1416.6
9,1,6/23/21,1.0,16.2,103.7,9.9,110.4,7.7,1.1,1394.4,1046.8
9,1,6/23/21,2.0,16.1,103.6,9.9,110.4,7.7,1.2,1459.7,546.0
9,1,6/23/21,3.0,16.0,103.7,9.9,110.3,7.7,1.1,1419.2,322.4
9,1,6/23/21,4.0,15.6,103.5,10.0,109.8,7.6,1.1,1518.0,164.3
9,1,6/23/21,5.0,15.4,104.3,10.1,109.0,7.5,1.1,1435.9,77.2
9,1,6/23/21,6.0,14.8,104.2,10.2,108.7,7.5,0.8,1445.1,56.4
9,1,6/23/21,7.0,14.3,103.8,10.3,108.0,7.4,0.8,1545.4,36.3
9,2,7/8/21,above,NA,NA,NA,NA,NA,NA,1309.1,1811.7
9,2,7/8/21,0.1,6.6,102.9,12.3,102.9,7.4,2.0,1307.3,1208.4
