Sampling Event,Site,Date,Depth (m),Temp (C),DO %,DO (mg/L),Specific Conductivity (uS/cm),pH (SU),Turbidity (NTU)
1,8,6/27/2023,0.5,14.3,128.6,12.83,108.5,7.83,2.70
1,8,6/27/2023,1,14.1,128.3,12.84,108.5,7.79,2.70
1,8,6/27/2023,1.5,13.1,126.5,12.93,108.4,7.79,3.50
1,8,6/27/2023,2,12.8,126.3,13,108.3,7.5,4.20
1,8,6/27/2023,2.5,12.1,126.4,13.24,108.2,7.1,5.50
1,8,6/27/2023,3,11.7,126.6,13.34,108,7.04,6.20
1,8,6/27/2023,3.5,11.5,125.3,13.39,107.8,7,7.00
1,8,6/27/2023,4,10.5,125.8,13.65,107.5,7,6.60
1,8,6/27/2023,4.5,10.4,126,13.75,107.5,6.99,7.50
1,9,6/27/2022,0.5,10.5,123.8,14.11,105.3,7.13,2.60
1,9,6/27/2022,1,10.5,133.2,14.48,105.3,7.21,2.70
1,9,6/27/2022,1.5,10.6,134.3,14.58,105.3,7.23,2.70
1,9,6/27/2022,2,10.6,134.6,14.59,105.2,7.19,2.70
1,9,6/27/2022,2.5,10.6,134.8,14.6,105.4,7.64,2.60
1,9,6/27/2022,3,10.7,135.1,14.61,105.3,7.49,2.50
1,9,6/27/2022,3.5,10.7,135.2,14.62,105.4,7.26,2.50
1,9,6/27/2022,4,10.8,135.2,14.61,105.3,7.49,2.50
1,9,6/27/2022,4.5,10.8,135.3,14.61,105.3,7.06,2.50
1,10,6/27/2023,0.5,8.3,131,15.08,104.2,7.6,1.50
1,10,6/27/2023,1,7.5,130.2,15.19,104.2,7.54,1.60
1,10,6/27/2023,1.5,7.4,130.4,15.27,104.2,7.44,1.60
1,10,6/27/2023,2,7.3,130.3,15.28,104.2,7.31,1.60
1,10,6/27/2023,2.5,7,129.4,15.3,104.3,7.25,1.60
1,10,6/27/2023,3,7,129.7,15.36,104.2,7.14,1.60
1,10,6/27/2023,3.5,6.9,129.6,15.37,104.3,7.05,1.60
1,10,6/27/2023,4,6.8,129.6,15.39,104.3,6.96,1.60
1,10,6/27/2023,4.5,6.9,129.7,15.4,104.3,6.88,1.60
1,10,6/27/2023,5,6.8,129.7,15.41,104.3,6.83,1.70
1,10,6/27/2023,6,6.8,129.9,15.43,104.3,6.83,1.70
1,10,6/27/2023,7,6.9,130.1,15.44,104.3,6.87,2.50
1,11,6/27/2023,0.5,8.9,127.9,14.54,103.8,7.5,1.30
1,11,6/27/2023,1,8.8,132,14.98,103.8,7.44,1.30
1,11,6/27/2023,1.5,8.8,132.8,15.07,103.9,7.41,1.40
1,11,6/27/2023,2,8.6,132.5,15.08,103.9,7.42,1.40
1,11,6/27/2023,2.5,8.4,132.2,15.13,104,7.42,1.50
1,11,6/27/2023,3,8.2,131.5,15.15,104.2,7.39,1.50
1,11,6/27/2023,3.5,8.1,131.4,15.15,104.3,7.36,1.50
1,11,6/27/2023,4,8,131.4,15.17,104.4,7.26,1.70
1,11,6/27/2023,4.5,8,131.3,15.17,104.5,7.13,1.60
1,11,6/27/2023,5,8,131.3,15.17,104.5,7.03,1.60
1,11,6/27/2023,6,7.9,131.2,15.18,104.5,7.12,2.00
1,12,6/27/2023,0.5,7.9,130.6,15.13,104.1,7.62,1.30
1,12,6/27/2023,1,7,128.5,15.32,103.6,7.03,1.30
1,12,6/27/2023,1.5,6.8,128.1,15.4,103.8,6.78,1.40
1,12,6/27/2023,2,6.1,127.7,15.6,103.7,6.93,1.50
1,12,6/27/2023,2.5,5.2,127,15.74,103.9,6.81,1.60
1,12,6/27/2023,3,5,126.9,15.82,103.8,6.85,1.80
1,12,6/27/2023,3.5,4.9,126.9,15.83,103.8,6.75,1.80
1,12,6/27/2023,4,4.9,126.9,15.84,103.8,6.74,1.80
1,13,6/27/2023,0.5,13.5,127.4,13.18,104.4,7.49,0.50
1,13,6/27/2023,1,13.2,130.6,13.39,104.4,7.53,0.50
1,13,6/27/2023,1.5,11.3,132,14.12,104.3,7.59,0.50
1,13,6/27/2023,2,11,129.1,14.17,105.2,7.64,0.50
1,13,6/27/2023,2.5,10.2,132.1,14.54,103.7,7.67,0.60
1,13,6/27/2023,3,10,131.1,14.46,104.3,7.73,0.50
1,13,6/27/2023,3.5,9.7,132.6,14.8,104.3,7.74,0.70
1,13,6/27/2023,4,7.6,132.9,15.73,103.4,7.76,1.10
1,13,6/27/2023,4.5,7.3,137.8,16.22,103.3,7.76,1.70
