Sample/Labslip ID,Sample Status,Primary Lab,Primary Lab Id,Analysis Lab ID,Analysis Lab Name,Id #,Site Description,Id Point #,Field #,Collection Start Date/Time,Collection End Date/Time,Account #,Account Description,Program Code,Sample Description,Sample Location,Sample Collector,Sample Source,Region,County,County Name,District,Sample Reason,Project Code,Waterbody ID #,Sample Depth,Type of Sample (QC),Check Date,DNR Parameter Code,DNR Parameter Description,Analyte Code,Method,Result Qualifier,Result value,Numeric Value,Units,LOD,LOQ,Lower Reporting Limit,Upper Reporting Limit,Decimal Places,Sig Figs,Sample Comment,Result Comment,Lab Comment (Analysis),Enforcement Code,NR140 Enforcement Standard,NR140 Preventive Action Limit,Date Received by Lab,Date Reported by Lab,Analysis Date/Time,Analysis ID,File Batch Seq #,Processed Batch Seq #,Report to Name,Report to Address,"Report to City, State, Zip",Creation Date,Creation User Id,Last Update Date,Last Update User Id,Creation Date1,Creation User Id1,Last Update Date1,Last Update User
798574001,COMPLETE,Wisconsin State Laboratory of Hygiene,113133790,113133790,Wisconsin State Laboratory of Hygiene,101,,367697708,LSNS-1-3-BL,6/24/25 11:44,6/24/25 11:44,GL070,GREAT LAKES MONITORING,,LAKE SUPERIOR,LAKE SUPERIOR - N.E. POPLAR RIVER (STATION 101),ELLEN COONEY,SU,7,16,Douglas,,,CO_04_CMP25,2751220,6I,1,,530,RESIDUE TOTAL NFLT (TOTAL SUSPENDED SOLIDS),TSSLL~C-009,SM2540D,Below LOD,ND,,MG/L,0.6,0.6,,,0,3,,,,, , ,6/26/25 13:52,7/9/25 10:10,7/1/25 16:58,13851064,1354329,579541,COONEE,,,7/9/25 11:14,LDES_DBL1,7/9/25 11:14,LDES_DBL1,7/9/25 11:14,LDES_DBL1,7/9/25 11:14,LDES_DBL1
798574002,COMPLETE,Wisconsin State Laboratory of Hygiene,113133790,113133790,Wisconsin State Laboratory of Hygiene,101,,367697708,LSNS-1-3-DUP,6/24/25 11:44,6/24/25 11:44,GL070,GREAT LAKES MONITORING,,LAKE SUPERIOR SURFACE WATER,LAKE SUPERIOR - N.E. POPLAR RIVER (STATION 101),ELLEN COONEY,SU,7,16,Douglas,,,CO_04_CMP25,2751220,6I,5,,530,RESIDUE TOTAL NFLT (TOTAL SUSPENDED SOLIDS),TSSLL~C-009,SM2540D,Valid Result,4.48,4.48,MG/L,0.6,0.6,,,2,3,,,,, , ,6/26/25 13:52,7/9/25 10:10,7/1/25 16:58,13851070,1354329,579541,COONEE,,,7/9/25 11:14,LDES_DBL1,7/9/25 11:14,LDES_DBL1,7/9/25 11:14,LDES_DBL1,7/9/25 11:14,LDES_DBL1
798574003,COMPLETE,Wisconsin State Laboratory of Hygiene,113133790,113133790,Wisconsin State Laboratory of Hygiene,101,,367697708,LSNS-1-3,6/24/25 11:44,6/24/25 11:44,GL070,GREAT LAKES MONITORING,,LAKE SUPERIOR SURFACE WATER,LAKE SUPERIOR - N.E. POPLAR RIVER (STATION 101),ELLEN COONEY,SU,7,16,Douglas,,,CO_04_CMP25,2751220,6I,1,,530,RESIDUE TOTAL NFLT (TOTAL SUSPENDED SOLIDS),TSSLL~C-009,SM2540D,Valid Result,4.29,4.29,MG/L,0.6,0.6,,,2,3,,,,, , ,6/26/25 13:52,7/9/25 10:10,7/1/25 16:58,13851076,1354329,579541,COONEE,,,7/9/25 11:14,LDES_DBL1,7/9/25 11:14,LDES_DBL1,7/9/25 11:14,LDES_DBL1,7/9/25 11:14,LDES_DBL1
798532001,COMPLETE,Wisconsin State Laboratory of Hygiene,113133790,113133790,Wisconsin State Laboratory of Hygiene,10052513,,368351466,LSNS-1-14,6/24/25 8:20,6/24/25 8:20,GL070,GREAT LAKES MONITORING,,LAKE SUPERIOR SURFACE GRAB,LAKE SUPERIOR - SISKIWIT BAY (STATION 10052513),MATT HUDSON,SU,7,4,Bayfield,,,CO_04_CMP25,2751220,1F,1,,530,RESIDUE TOTAL NFLT (TOTAL SUSPENDED SOLIDS),TSSLL~C-009,SM2540D,Below LOD,ND,,MG/L,0.5,0.5,,,0,3,ACID TRACEABILITY INFORMATION NOT SUBMITTED WITH TEST REQUEST FORM Analyzed past the 48 hours holding time: Method EPA 365.1 - Ortho-Phosphate analyzed on 06/26/25 1454,,,, , ,6/26/25 11:25,7/9/25 10:10,6/30/25 15:45,13851267,1354329,579541,COONEE,,,7/9/25 11:14,LDES_DBL1,7/9/25 11:14,LDES_DBL1,7/9/25 11:14,LDES_DBL1,7/9/25 11:14,LDES_DBL1
798532002,COMPLETE,Wisconsin State Laboratory of Hygiene,113133790,113133790,Wisconsin State Laboratory of Hygiene,10044195,,368351468,LSNS-1-19,6/24/25 14:10,6/24/25 14:10,GL070,GREAT LAKES MONITORING,,LAKE SUPERIOR SURFACE WATER,NC CHEQ BAY SITE 1,MATT HUDSON,SU,7,2,Ashland,,,CO_04_CMP25,2751220,1F,1,,530,RESIDUE TOTAL NFLT (TOTAL SUSPENDED SOLIDS),TSSLL~C-009,SM2540D,Valid Result,2.73,2.73,MG/L,0.5,0.5,,,2,3,ACID TRACEABILITY INFORMATION NOT SUBMITTED WITH TEST REQUEST FORM Analyzed past the 48 hours holding time: Method EPA 365.1 - Ortho-Phosphate analyzed on 06/26/25 1455,,,, , ,6/26/25 11:25,7/9/25 10:10,6/30/25 15:45,13851273,1354329,579541,COONEE,,,7/9/25 11:14,LDES_DBL1,7/9/25 11:14,LDES_DBL1,7/9/25 11:14,LDES_DBL1,7/9/25 11:14,LDES_DBL1
798532003,COMPLETE,Wisconsin State Laboratory of Hygiene,113133790,113133790,Wisconsin State Laboratory of Hygiene,115,,368351302,LSNS-1-20,6/24/25 8:20,6/24/25 8:20,GL070,GREAT LAKES MONITORING,WT,LAKE SUPERIOR SURFACE WATER,LAKE SUPERIOR AT BAD RIVER,MATT HUDSON,SU,7,2,Ashland,,,CO_04_CMP25,2751220,1F,1,,530,RESIDUE TOTAL NFLT (TOTAL SUSPENDED SOLIDS),TSSLL~C-009,SM2540D,Valid Result,2.89,2.89,MG/L,0.6,0.6,,,2,3,ACID TRACEABILITY INFORMATION NOT SUBMITTED WITH TEST REQUEST FORM Analyzed past the 48 hours holding time: Method EPA 365.1 - Ortho-Phosphate analyzed on 06/26/25 1459,,,, , ,6/26/25 11:25,7/9/25 10:10,6/30/25 15:45,13851279,1354329,579541,COONEE,,,7/9/25 11:14,LDES_DBL1,7/9/25 11:14,LDES_DBL1,7/9/25 11:14,LDES_DBL1,7/9/25 11:14,LDES_DBL1
798536001,COMPLETE,Wisconsin State Laboratory of Hygiene,113133790,113133790,Wisconsin State Laboratory of Hygiene,10052510,,367699734,LSNS-1-9,6/24/25 9:26,6/24/25 9:26,GL070,GREAT LAKES MONITORING,,LAKE SUPERIOR SURFACE WATER,LAKE SUPERIOR - E. OF FLAG RIVER STATION (10052510),ELLEN COONEY,SU,7,4,Bayfield,,,CO_04_CMP25,2751220,6I,1,,530,RESIDUE TOTAL NFLT (TOTAL SUSPENDED SOLIDS),TSSLL~C-009,SM2540D,Below LOD,ND,,MG/L,0.6,0.6,,,0,3,Analyzed past the 48 hours holding time: Method EPA 365.1 - Ortho-Phosphate analyzed on 06/26/25 1513,,,, , ,6/26/25 11:35,7/9/25 10:10,6/30/25 15:45,13851285,1354329,579541,COONEE,,,7/9/25 11:14,LDES_DBL1,7/9/25 11:14,LDES_DBL1,7/9/25 11:14,LDES_DBL1,7/9/25 11:14,LDES_DBL1
798545001,COMPLETE,Wisconsin State Laboratory of Hygiene,113133790,113133790,Wisconsin State Laboratory of Hygiene,10038057,,367699740,LSNS-1-12,6/24/25 8:51,6/24/25 8:51,GL070,GREAT LAKES MONITORING,,LAKE SUPERIOR SURFACE WATER,LAKE SUPERIOR - BARK BAY POINT CLAY BLUFFS (STATION 10038057),ELLEN COONEY,SU,7,4,Bayfield,,,CO_04_CMP25,2751220,6I,1,,530,RESIDUE TOTAL NFLT (TOTAL SUSPENDED SOLIDS),TSSLL~C-009,SM2540D,Below LOD,ND,,MG/L,0.6,0.6,,,0,3,,,,, , ,6/26/25 11:58,7/9/25 10:10,7/1/25 16:58,13851291,1354329,579541,COONEE,,,7/9/25 11:14,LDES_DBL1,7/9/25 11:14,LDES_DBL1,7/9/25 11:14,LDES_DBL1,7/9/25 11:14,LDES_DBL1
798545002,COMPLETE,Wisconsin State Laboratory of Hygiene,113133790,113133790,Wisconsin State Laboratory of Hygiene,10052505,,367697714,LSNS-1-7,6/24/25 10:46,6/24/25 10:46,GL070,GREAT LAKES MONITORING,,LAKE SUPERIOR SURFACE WATER,LAKE SUPERIOR - WEST OF DOUGLAS CO LINE (STATION 10052505),ELLEN COONEY,SU,7,4,Bayfield,,,CO_04_CMP25,2751220,6I,1,,530,RESIDUE TOTAL NFLT (TOTAL SUSPENDED SOLIDS),TSSLL~C-009,SM2540D,Valid Result,2.28,2.28,MG/L,0.5,0.5,,,2,3,,,,, , ,6/26/25 11:58,7/9/25 10:10,7/1/25 16:58,13851297,1354329,579541,COONEE,,,7/9/25 11:14,LDES_DBL1,7/9/25 11:14,LDES_DBL1,7/9/25 11:14,LDES_DBL1,7/9/25 11:14,LDES_DBL1
798545003,COMPLETE,Wisconsin State Laboratory of Hygiene,113133790,113133790,Wisconsin State Laboratory of Hygiene,10052587,,367697720,LSNS-1-8,6/24/25 10:08,6/24/25 10:08,GL070,GREAT LAKES MONITORING,,LAKE SUPERIOR SURFACE WATER,LAKE SUPERIOR - E IRON RIVER (STATION 10052587),ELLEN COONEY,SU,7,4,Bayfield,,,CO_04_CMP25,2751220,6I,1,,530,RESIDUE TOTAL NFLT (TOTAL SUSPENDED SOLIDS),TSSLL~C-009,SM2540D,Valid Result,6.45,6.45,MG/L,0.6,0.6,,,2,3,,,,, , ,6/26/25 11:58,7/9/25 10:10,7/1/25 16:58,13851303,1354329,579541,COONEE,,,7/9/25 11:14,LDES_DBL1,7/9/25 11:14,LDES_DBL1,7/9/25 11:14,LDES_DBL1,7/9/25 11:14,LDES_DBL1
798548001,COMPLETE,Wisconsin State Laboratory of Hygiene,113133790,113133790,Wisconsin State Laboratory of Hygiene,10040814,,367697726,LSNS-1-1,6/24/25 12:26,6/24/25 12:26,GL070,GREAT LAKES MONITORING,,LAKE SUPERIOR SURFACE WATER,LAKE SUPERIOR- POINT OFF SCHAFFER BEACH 3.6 M CONTOUR (STATION 10040814),ELLEN COONEY,SU,7,16,Douglas,,,CO_04_CMP25,2751220,6I,1,,530,RESIDUE TOTAL NFLT (TOTAL SUSPENDED SOLIDS),TSSLL~C-009,SM2540D,Valid Result,2.89,2.89,MG/L,0.6,0.6,,,2,3,Analyzed past the 48 hours holding time: Method EPA 365.1 - Ortho-Phosphate analyzed on 06/26/25 1520,,,, , ,6/26/25 10:47,7/9/25 10:10,6/30/25 15:45,13851310,1354329,579541,COONEE,,,7/9/25 11:14,LDES_DBL1,7/9/25 11:14,LDES_DBL1,7/9/25 11:14,LDES_DBL1,7/9/25 11:14,LDES_DBL1
