Sampling Event,Site,Latitude,Longitude,Date,Depth (m),Temp (C),DO %,DO (mg/L),Specific Conductivity (μS/cm),pH (SU),Turbidity (NTU),PAR ,Time at Depth
1,1,46.68592,-91.929726,6/24/25,0.1,16.1,106.1,10.33,119.3,7.92,123.19,,
1,1,46.68592,-91.929726,6/24/25,0.5,16,107.3,10.43,119.5,7.92,123.31,,
1,1,46.68592,-91.929726,6/24/25,1,16.1,104.4,10.34,117.6,7.93,121.24,,
1,1,46.68592,-91.929726,6/24/25,1.5,14.8,104.6,10.44,117.9,7.94,121.83,,
1,1,46.68592,-91.929726,6/24/25,2,14,103.5,10.52,116.7,7.93,121.92,,
1,1,46.68592,-91.929726,6/24/25,2.5,13.9,103.7,10.56,116.3,7.93,122.23,,
1,1,46.68592,-91.929726,6/24/25,3,13.8,103.9,10.6,116.1,7.94,122.56,,
1,1,46.68592,-91.929726,6/24/25,3.5,13.7,103.7,10.57,118.9,7.91,122.92,,
1,1,46.68592,-91.929726,6/24/25,4,13.7,103,10.53,117.2,7.9,122.58,,
1,1,46.68592,-91.929726,6/24/25,4.5,13.6,103,10.53,116.7,7.91,122.47,,
1,1,46.68592,-91.929726,6/24/25,5,13.6,103,10.54,116.5,7.91,122.53,,
1,1,46.68592,-91.929726,6/24/25,6,,,,,,,,
1,1,46.68592,-91.929726,6/24/25,7,,,,,,,,
1,3,46.7,-91.78334,6/24/25,0.1,15.3,104.4,10.36,117,7.95,118.18,,
1,3,46.7,-91.78334,6/24/25,0.5,15.3,106.2,10.46,117.2,7.95,117.86,,
1,3,46.7,-91.78334,6/24/25,1,13.7,104,10.63,117.1,8,115.22,,
1,3,46.7,-91.78334,6/24/25,1.5,13.6,103.5,10.61,117,8,115.03,,
1,3,46.7,-91.78334,6/24/25,2,13.5,103.2,10.59,117.2,7.99,114.59,,
1,3,46.7,-91.78334,6/24/25,2.5,13.5,102.8,10.55,117.8,8,110.73,,
1,3,46.7,-91.78334,6/24/25,3,13.4,102.4,10.52,118.1,8.03,107.63,,
1,3,46.7,-91.78334,6/24/25,3.5,,,,,,,,
1,3,46.7,-91.78334,6/24/25,4,,,,,,,,
1,3,46.7,-91.78334,6/24/25,4.5,,,,,,,,
1,3,46.7,-91.78334,6/24/25,5,,,,,,,,
1,3,46.7,-91.78334,6/24/25,6,,,,,,,,
1,3,46.7,-91.78334,6/24/25,7,,,,,,,,
1,6,46.7486,-91.618065,6/24/25,0.1,14.7,101.5,10.14,119.5,7.85,121.05,,
1,6,46.7486,-91.618065,6/24/25,0.5,13,101.5,10.65,112.9,7.88,124.27,,
1,6,46.7486,-91.618065,6/24/25,1,11.7,104.1,11.17,108.6,7.88,123.27,,
1,6,46.7486,-91.618065,6/24/25,1.5,11.5,104.9,11.27,108.7,7.88,123.3,,
1,6,46.7486,-91.618065,6/24/25,2,11.5,105.1,11.29,108.7,7.89,123.16,,
1,6,46.7486,-91.618065,6/24/25,2.5,11.4,105.2,11.31,108.7,7.89,122.98,,
1,6,46.7486,-91.618065,6/24/25,3,11.4,105.3,11.32,108.8,7.9,122.9,,
1,6,46.7486,-91.618065,6/24/25,3.5,,,,,,,,
1,6,46.7486,-91.618065,6/24/25,4,,,,,,,,
1,6,46.7486,-91.618065,6/24/25,4.5,,,,,,,,
1,6,46.7486,-91.618065,6/24/25,5,,,,,,,,
1,6,46.7486,-91.618065,6/24/25,6,,,,,,,,
1,6,46.7486,-91.618065,6/24/25,7,,,,,,,,
1,7,10052505,-91.571304,6/24/25,0.1,12.8,105.6,11.02,107.1,7.89,123.63,,
1,7,10052505,-91.571304,6/24/25,0.5,12.7,106.2,11.12,109.9,7.89,123.63,,
1,7,10052505,-91.571304,6/24/25,1,12.4,105.7,11.17,109.8,7.89,123.66,,
1,7,10052505,-91.571304,6/24/25,1.5,11.8,105,11.24,110,7.9,122.51,,
1,7,10052505,-91.571304,6/24/25,2,11.3,105.2,11.36,109.9,7.9,122.14,,
1,7,10052505,-91.571304,6/24/25,2.5,11.2,105.4,11.4,110.1,7.91,122.6,,
1,7,10052505,-91.571304,6/24/25,3,,,,,,,,
1,7,10052505,-91.571304,6/24/25,3.5,,,,,,,,
1,7,10052505,-91.571304,6/24/25,4,,,,,,,,
1,7,10052505,-91.571304,6/24/25,4.5,,,,,,,,
1,7,10052505,-91.571304,6/24/25,5,,,,,,,,
1,7,10052505,-91.571304,6/24/25,6,,,,,,,,
1,7,10052505,-91.571304,6/24/25,7,,,,,,,,
1,8,10052587,-91.48382,6/24/25,0.1,11.6,107.2,11.48,109.3,7.9,119.53,,
1,8,10052587,-91.48382,6/24/25,0.5,11,106,11.55,109.3,7.9,119.16,,
1,8,10052587,-91.48382,6/24/25,1,10.6,105.1,11.68,107.4,7.88,123.76,,
1,8,10052587,-91.48382,6/24/25,1.5,9.3,104.5,11.79,107.1,7.87,124.24,,
1,8,10052587,-91.48382,6/24/25,2,9.3,104.4,11.79,107.1,7.87,124.43,,
1,8,10052587,-91.48382,6/24/25,2.5,9.3,104.5,11.81,107,7.87,124.39,,
1,8,10052587,-91.48382,6/24/25,3,9.3,104.5,11.81,107.1,7.87,124.27,,
1,8,10052587,-91.48382,6/24/25,3.5,9.3,104.5,11.81,107.1,7.87,124.27,,
1,8,10052587,-91.48382,6/24/25,4,9.3,104.5,11.81,107.1,7.88,124.25,,
1,8,10052587,-91.48382,6/24/25,4.5,9.3,104.5,11.81,107.1,7.88,123.8,,
1,8,10052587,-91.48382,6/24/25,5,,,,,,,,
1,8,10052587,-91.48382,6/24/25,6,,,,,,,,
1,8,10052587,-91.48382,6/24/25,7,,,,,,,,
1,9,10052510,-91.37061,6/24/25,0.1,9.9,109.3,12.08,104.7,7.84,125.43,,
1,9,10052510,-91.37061,6/24/25,0.5,9.8,106.2,12.08,105.2,7.85,125.46,,
1,9,10052510,-91.37061,6/24/25,1,8.7,106.7,12.28,104.7,7.85,125.36,,
1,9,10052510,-91.37061,6/24/25,1.5,8.2,106.1,12.31,104.6,7.85,125.37,,
1,9,10052510,-91.37061,6/24/25,2,8.1,105.9,12.31,104.6,7.86,125.36,,
1,9,10052510,-91.37061,6/24/25,2.5,8.1,105.7,12.31,104.5,7.85,125.36,,
1,9,10052510,-91.37061,6/24/25,3,8,105.4,12.31,104.4,7.85,125.42,,
1,9,10052510,-91.37061,6/24/25,3.5,7.7,105.4,12.38,104.3,7.84,125.44,,
1,9,10052510,-91.37061,6/24/25,4,7.7,105.4,12.39,104.2,7.82,125.44,,
1,9,10052510,-91.37061,6/24/25,4.5,7.6,105,12.38,104.3,7.81,125.51,,
1,9,10052510,-91.37061,6/24/25,5,7.4,105.1,12.46,104.2,7.76,125.53,,
1,9,10052510,-91.37061,6/24/25,6,,,,,,,,
1,9,10052510,-91.37061,6/24/25,7,,,,,,,,
1,12,10038057,-91.22806,6/24/25,0.1,6.7,102.3,12.35,103.7,7.57,125.59,,
1,12,10038057,-91.22806,6/24/25,0.5,6.7,103.1,12.43,103.8,7.57,125.58,,
1,12,10038057,-91.22806,6/24/25,1,6.6,103.3,12.47,103.8,7.63,125.58,,
1,12,10038057,-91.22806,6/24/25,1.5,6.6,103.5,12.49,103.8,7.7,125.58,,
1,12,10038057,-91.22806,6/24/25,2,6.6,103.5,12.49,103.8,7.74,125.57,,
1,12,10038057,-91.22806,6/24/25,2.5,6.6,103.6,12.5,103.8,7.76,125.58,,
1,12,10038057,-91.22806,6/24/25,3,6.6,103.6,12.51,103.8,7.77,125.56,,
1,12,10038057,-91.22806,6/24/25,3.5,6.6,103.6,12.51,103.8,7.77,125.55,,
1,12,10038057,-91.22806,6/24/25,4,6.6,103.7,12.51,103.8,7.76,125.25,,
1,12,10038057,-91.22806,6/24/25,4.5,,,,,,,,
1,12,10038057,-91.22806,6/24/25,5,,,,,,,,
1,12,10038057,-91.22806,6/24/25,6,,,,,,,,
1,12,10038057,-91.22806,6/24/25,7,,,,,,,,
2,1,46.68592,-91.929726,7/9/25,0.1,17.3,106.7,10.07,115.3,8.06,-14.08,2051,1107
2,1,46.68592,-91.929726,7/9/25,0.5,17.3,107.6,10.14,115.3,8.05,-14.21,2045,796.7
2,1,46.68592,-91.929726,7/9/25,1,17.2,107.7,10.16,115.4,8.05,-11.91,2044,604.2
2,1,46.68592,-91.929726,7/9/25,1.5,17.1,107.5,10.17,115.4,8.06,-12.53,2044,497.4
2,1,46.68592,-91.929726,7/9/25,2,17.1,107.6,10.17,115.5,8.06,-10.93,2042,345
2,1,46.68592,-91.929726,7/9/25,2.5,17,107.4,10.18,115.7,8.06,-8.84,2048,233.4
2,1,46.68592,-91.929726,7/9/25,3,17,107.2,10.18,116.2,8.08,,2048,158.9
2,1,46.68592,-91.929726,7/9/25,3.5,16.9,106.2,10.08,117.8,8.11,~35,2034,792
2,1,46.68592,-91.929726,7/9/25,4,16.9,105.7,10.04,117.9,8.12,~37,2032,27.73
2,1,46.68592,-91.929726,7/9/25,4.5,16.7,105.3,10.03,117.9,8.09,~47,2049,6.838
2,1,46.68592,-91.929726,7/9/25,5,16.2,103.7,10.02,115.8,8.03,15.02,2038,2.192
2,1,46.68592,-91.929726,7/9/25,6,15.8,104,10.11,101.1,7.99,6.92,,
2,1,46.68592,-91.929726,7/9/25,7,,,,,,,,
2,3,46.7,-91.78334,7/9/25,0.1,16.2,103.6,10.01,115.4,8.01,6.03,1967,452.8
2,3,46.7,-91.78334,7/9/25,0.5,16.2,104.7,10.1,115.4,8,5.57,1964,435.3
2,3,46.7,-91.78334,7/9/25,1,15.8,104.4,10.14,115.6,8,10.25,1979,241.5
2,3,46.7,-91.78334,7/9/25,1.5,15.8,104.3,10.14,115.5,8.01,10.09,1992,129.9
2,3,46.7,-91.78334,7/9/25,2,15.8,104.3,10.15,114.9,7.99,2.61,1984,58.78
2,3,46.7,-91.78334,7/9/25,2.5,15.6,104.2,10.17,114.3,7.97,0.25,1985,30.55
2,3,46.7,-91.78334,7/9/25,3,,,,,,,1982,14.37
2,3,46.7,-91.78334,7/9/25,3.5,,,,,,,1990,7.237
2,3,46.7,-91.78334,7/9/25,4,,,,,,,,
2,3,46.7,-91.78334,7/9/25,4.5,,,,,,,,
2,3,46.7,-91.78334,7/9/25,5,,,,,,,,
2,3,46.7,-91.78334,7/9/25,6,,,,,,,,
2,3,46.7,-91.78334,7/9/25,7,,,,,,,,
2,6,46.7486,-91.618065,7/9/25,0.1,13.9,105.5,10.69,111.5,7.96,-8.75,1614,114.6
2,6,46.7486,-91.618065,7/9/25,0.5,13.7,105.8,10.78,111.2,7.96,-8.59,1611,344.5
2,6,46.7486,-91.618065,7/9/25,1,13.4,105.5,10.82,110.6,7.96,-8.54,1649,496.9
2,6,46.7486,-91.618065,7/9/25,1.5,13.2,105.7,10.87,110.3,7.96,-8.47,164,347.2
2,6,46.7486,-91.618065,7/9/25,2,13.2,105.6,10.87,110.1,7,-8.13,1682,200.4
2,6,46.7486,-91.618065,7/9/25,2.5,13.1,105,10.88,109.8,7.96,-8.42,1712,153.4
2,6,46.7486,-91.618065,7/9/25,3,13,105.6,10.92,109.6,7.97,-8.45,1676,119.2
2,6,46.7486,-91.618065,7/9/25,3.5,12.9,105.7,10.95,109.5,7.97,-8.98,172,73.38
2,6,46.7486,-91.618065,7/9/25,4,12.8,105.7,10.97,109.4,7.96,-8.8,1681,51.89
2,6,46.7486,-91.618065,7/9/25,4.5,12.8,105.8,10.99,109.3,7.93,-9.21,1695,36.31
2,6,46.7486,-91.618065,7/9/25,5,12.8,105.8,10.99,109.3,7.92,-9.08,1695,24.48
2,6,46.7486,-91.618065,7/9/25,6,,,,,,,,
2,6,46.7486,-91.618065,7/9/25,7,,,,,,,,
2,7,10052505,-91.571304,7/9/25,0.1,13.7,110.1,11.18,106.2,7.99,-10.67,1641,124.8
2,7,10052505,-91.571304,7/9/25,0.5,13.4,109.7,11.23,106.2,8,-10.47,1673,960.9
2,7,10052505,-91.571304,7/9/25,1,13.2,109.2,11.24,106.2,8,-10.68,1633,703.7
2,7,10052505,-91.571304,7/9/25,1.5,13,109.1,11.29,106.2,8.01,-10.2,1679,549.8
2,7,10052505,-91.571304,7/9/25,2,12.5,108,11.37,106.1,8.02,-11.83,1676,388.5
2,7,10052505,-91.571304,7/9/25,2.5,11.6,109.2,11.66,105.6,8.07,-14.39,1676,248.6
2,7,10052505,-91.571304,7/9/25,3,11.5,110.7,11.85,105.5,8.1,-14.55,1645,250
2,7,10052505,-91.571304,7/9/25,3.5,,,,,,,,
2,7,10052505,-91.571304,7/9/25,4,,,,,,,,
2,7,10052505,-91.571304,7/9/25,4.5,,,,,,,,
2,7,10052505,-91.571304,7/9/25,5,,,,,,,,
2,7,10052505,-91.571304,7/9/25,6,,,,,,,,
2,7,10052505,-91.571304,7/9/25,7,,,,,,,,
2,8,10052587,-91.48382,7/9/25,0.1,13.1,107.4,11.06,118.2,8.04,-11,1545,130.1
2,8,10052587,-91.48382,7/9/25,0.5,12.6,107.1,11.21,115.7,8.05,-12.38,1539,609.5
2,8,10052587,-91.48382,7/9/25,1,11.4,108.2,11.61,109.4,8.05,-13.03,1597,346.4
2,8,10052587,-91.48382,7/9/25,1.5,10.6,107.5,11.79,108.2,8.05,-14.4,1633,395.8
2,8,10052587,-91.48382,7/9/25,2,10.4,109,11.97,107.7,8.04,-14.6,1610,293.9
2,8,10052587,-91.48382,7/9/25,2.5,10,108.2,12.08,106,8.04,-15.32,1590,203.2
2,8,10052587,-91.48382,7/9/25,3,9.1,109.5,12.41,105,8.05,-15.26,1538,144.8
2,8,10052587,-91.48382,7/9/25,3.5,9,109.9,12.45,104.9,8.05,-15.31,1512,132.9
2,8,10052587,-91.48382,7/9/25,4,9,110.2,12.49,104.9,8.06,-5.28,1553,168.6
2,8,10052587,-91.48382,7/9/25,4.5,,,,,,,,
2,8,10052587,-91.48382,7/9/25,5,,,,,,,,
2,8,10052587,-91.48382,7/9/25,6,,,,,,,,
2,8,10052587,-91.48382,7/9/25,7,,,,,,,,
2,9,10052510,-91.37061,7/9/25,0.1,11.4,104.1,7.9,108.3,7.9,-14.94,5938,405.5
2,9,10052510,-91.37061,7/9/25,0.5,11.1,104.8,7.91,106.3,7.91,-15.81,5368,344.9
2,9,10052510,-91.37061,7/9/25,1,10.2,105.8,7.92,104.9,7.92,-16.09,5397,246.7
2,9,10052510,-91.37061,7/9/25,1.5,9.6,105.5,7.88,104.9,7.88,-15.96,5347,209.4
2,9,10052510,-91.37061,7/9/25,2,9.4,105.9,7.84,104.8,7.84,-15.92,5544,169.2
2,9,10052510,-91.37061,7/9/25,2.5,9,105.8,7.79,104.9,7.79,-15.87,5706,131.8
2,9,10052510,-91.37061,7/9/25,3,8.8,105.4,7.78,104.9,7.78,-15.79,5985,132.3
2,9,10052510,-91.37061,7/9/25,3.5,8.6,105.2,7.77,104.9,7.77,-15.81,6690,126.6
2,9,10052510,-91.37061,7/9/25,4,8.5,105.1,7.78,104.9,7.78,-15.75,6476,112.8
2,9,10052510,-91.37061,7/9/25,4.5,8.5,105,7.77,104.8,7.77,-15.71,6600,96.14
2,9,10052510,-91.37061,7/9/25,5,8.4,104.8,7.77,104.9,7.77,-15.65,6553,83.59
2,9,10052510,-91.37061,7/9/25,6,,,,,,,,
2,9,10052510,-91.37061,7/9/25,7,,,,,,,,
2,12,10038057,-91.22806,7/9/25,0.1,9,106.9,12.1,104.5,7.76,-16.07,1295,0.1892
2,12,10038057,-91.22806,7/9/25,0.5,9.1,107,12.12,104.5,7.73,-15.86,1224,797.1
2,12,10038057,-91.22806,7/9/25,1,8.9,107,12.17,104.5,7.77,-15.98,1120,331.9
2,12,10038057,-91.22806,7/9/25,1.5,8.8,107.1,12.19,104.5,7.86,-15.89,1346,366.5
2,12,10038057,-91.22806,7/9/25,2,8.6,106.6,12.22,104.6,7.9,-15.84,1286,359.5
2,12,10038057,-91.22806,7/9/25,2.5,7.9,105,12.3,104.5,7.88,-15.66,1287,284.2
2,12,10038057,-91.22806,7/9/25,3,7.9,105.6,12.3,104.5,7.87,-15.57,1196,256.7
2,12,10038057,-91.22806,7/9/25,3.5,7.9,105.5,12.31,104.5,7.87,-15.68,1076,209.7
2,12,10038057,-91.22806,7/9/25,4,,,,,,,,
2,12,10038057,-91.22806,7/9/25,4.5,,,,,,,,
2,12,10038057,-91.22806,7/9/25,5,,,,,,,,
2,12,10038057,-91.22806,7/9/25,6,,,,,,,,
2,12,10038057,-91.22806,7/9/25,7,,,,,,,,
3,1,46.68592,-91.929726,7/14/25,0.1,19.5,108.8,9.75,113.4,8.05,0.58,Not working properly ,
3,1,46.68592,-91.929726,7/14/25,0.5,18.8,107.8,9.81,113.2,8.06,0.76,,
3,1,46.68592,-91.929726,7/14/25,1,18.7,108.3,9.86,113.2,8.06,0.78,,
3,1,46.68592,-91.929726,7/14/25,1.5,18.4,108.4,9.92,112.9,8.07,0.78,,
3,1,46.68592,-91.929726,7/14/25,2,18.3,108.2,9.92,112.6,8.06,0.77,,
3,1,46.68592,-91.929726,7/14/25,2.5,18.2,108,9.94,112.2,8.06,0.61,,
3,1,46.68592,-91.929726,7/14/25,3,18,107.4,9.93,111.3,8.02,0.45,,
3,1,46.68592,-91.929726,7/14/25,3.5,17.9,106.9,9.9,111.1,8,0.44,,
3,1,46.68592,-91.929726,7/14/25,4,17.7,105.5,9.81,110.5,7.91,0.34,,
3,1,46.68592,-91.929726,7/14/25,4.5,17.2,102.6,9.64,110.1,7.78,0.41,,
3,1,46.68592,-91.929726,7/14/25,5,,,,,,,,
3,1,46.68592,-91.929726,7/14/25,6,,,,,,,,
3,1,46.68592,-91.929726,7/14/25,7,,,,,,,,
3,3,46.7,-91.78334,7/14/25,0.1,20,104.4,9.26,116,7.97,4.05,1593,65.49
3,3,46.7,-91.78334,7/14/25,0.5,19.6,105.4,9.42,115.5,7.97,4.05,1689,39.78
3,3,46.7,-91.78334,7/14/25,1,19.1,105,9.47,115.2,7.97,3.66,1691,355
3,3,46.7,-91.78334,7/14/25,1.5,18.4,104.1,9.54,113.2,7.94,1.79,1691,179.4
3,3,46.7,-91.78334,7/14/25,2,18.2,104.8,9.64,112.4,7.96,1.49,1688,49.77
3,3,46.7,-91.78334,7/14/25,2.5,18.2,104.7,9.63,112.5,7.96,1.71,1688,15.1
3,3,46.7,-91.78334,7/14/25,3,18.1,105,9.66,112.4,7.97,1.55,1689,4.652
3,3,46.7,-91.78334,7/14/25,3.5,,,,,,,,
3,3,46.7,-91.78334,7/14/25,4,,,,,,,,
3,3,46.7,-91.78334,7/14/25,4.5,,,,,,,,
3,3,46.7,-91.78334,7/14/25,5,,,,,,,,
3,3,46.7,-91.78334,7/14/25,6,,,,,,,,
3,3,46.7,-91.78334,7/14/25,7,,,,,,,,
3,6,46.7486,-91.618065,7/14/25,0.1,19.9,106,9.41,114.5,8.03,1.63,1492,780.1
3,6,46.7486,-91.618065,7/14/25,0.5,19.4,105.3,9.44,114,8.03,1.79,1491,596.5
3,6,46.7486,-91.618065,7/14/25,1,19.1,105.2,9.5,114,8.03,2.04,1483,368.4
3,6,46.7486,-91.618065,7/14/25,1.5,18.9,105,9.51,113.8,8.02,2.11,1496,252.6
3,6,46.7486,-91.618065,7/14/25,2,18.9,105.1,9.54,113.6,8.01,2.06,1494,250.9
3,6,46.7486,-91.618065,7/14/25,2.5,18.8,105.1,9.54,113.6,8.02,1.97,1492,154.4
3,6,46.7486,-91.618065,7/14/25,3,,,,,,,1490,79.36
3,6,46.7486,-91.618065,7/14/25,3.5,,,,,,,,
3,6,46.7486,-91.618065,7/14/25,4,,,,,,,,
3,6,46.7486,-91.618065,7/14/25,4.5,,,,,,,,
3,6,46.7486,-91.618065,7/14/25,5,,,,,,,,
3,6,46.7486,-91.618065,7/14/25,6,,,,,,,,
3,6,46.7486,-91.618065,7/14/25,7,,,,,,,,
3,7,10052505,-91.571304,7/14/25,0.1,19.9,104.7,9.3,115,8.06,1.82,1400,1121
3,7,10052505,-91.571304,7/14/25,0.5,20,104.7,9.29,114.9,8.06,1.75,1391,444.6
3,7,10052505,-91.571304,7/14/25,1,19.9,104.7,9.3,114.9,8.06,1.76,1383,870.5
3,7,10052505,-91.571304,7/14/25,1.5,19.9,105,9.33,114.9,8.06,1.77,1383,233
3,7,10052505,-91.571304,7/14/25,2,19.5,108.5,9.72,113.7,8.17,1.24,1388,255
3,7,10052505,-91.571304,7/14/25,2.5,,,,,,,,
3,7,10052505,-91.571304,7/14/25,3,,,,,,,,
3,7,10052505,-91.571304,7/14/25,3.5,,,,,,,,
3,7,10052505,-91.571304,7/14/25,4,,,,,,,,
3,7,10052505,-91.571304,7/14/25,4.5,,,,,,,,
3,7,10052505,-91.571304,7/14/25,5,,,,,,,,
3,7,10052505,-91.571304,7/14/25,6,,,,,,,,
3,7,10052505,-91.571304,7/14/25,7,,,,,,,,
3,8,10052587,-91.48382,7/14/25,0.1,19.5,105.4,9.44,115.2,8.12,1.24,1178,708.1
3,8,10052587,-91.48382,7/14/25,0.5,19.3,105.7,9.5,114.5,8.09,1.17,1182,459.4
3,8,10052587,-91.48382,7/14/25,1,18.9,105,9.52,113,8.06,0.86,1188,553.7
3,8,10052587,-91.48382,7/14/25,1.5,18.7,104.9,9.55,112.6,8.04,0.73,1181,320.3
3,8,10052587,-91.48382,7/14/25,2,18.7,104.9,9.55,112.6,8.03,0.79,1182,192.9
3,8,10052587,-91.48382,7/14/25,2.5,18.7,104.9,9.55,112.6,8.03,0.8,1189,155.4
3,8,10052587,-91.48382,7/14/25,3,18.7,104.7,9.54,112.6,8.02,0.75,1179,121.7
3,8,10052587,-91.48382,7/14/25,3.5,,,,,,,1196,92.05
3,8,10052587,-91.48382,7/14/25,4,,,,,,,1192,75.49
3,8,10052587,-91.48382,7/14/25,4.5,,,,,,,1205,47.74
3,8,10052587,-91.48382,7/14/25,5,,,,,,,,
3,8,10052587,-91.48382,7/14/25,6,,,,,,,,
3,8,10052587,-91.48382,7/14/25,7,,,,,,,,
3,9,10052510,-91.37061,7/14/25,0.1,18.4,105.7,9.69,111.1,8.04,0.36,1129,243.3
3,9,10052510,-91.37061,7/14/25,0.5,18.2,106.1,9.75,111.2,8.03,0.4,1044,251.9
3,9,10052510,-91.37061,7/14/25,1,18.2,106,9.76,111.2,8.03,0.45,1111,453.4
3,9,10052510,-91.37061,7/14/25,1.5,18.1,105.9,9.75,111.1,8.02,0.45,1060,198.6
3,9,10052510,-91.37061,7/14/25,2,18.1,105.8,9.75,111.1,8.01,0.52,1047,213.1
3,9,10052510,-91.37061,7/14/25,2.5,18.1,105.7,9.75,111.1,8.01,0.53,1049,157.3
3,9,10052510,-91.37061,7/14/25,3,18.1,105.7,9.74,111.1,8,0.49,1053,87.69
3,9,10052510,-91.37061,7/14/25,3.5,18.1,105.6,9.74,111.1,7.97,0.44,1055,105.7
3,9,10052510,-91.37061,7/14/25,4,18.1,105.6,9.74,111.1,7.95,0.56,1052,74.55
3,9,10052510,-91.37061,7/14/25,4.5,18,105.6,9.74,111.1,7.9,0.55,1064,59.49
3,9,10052510,-91.37061,7/14/25,5,17.9,105.4,9.75,111,7.87,0.66,1078,41.75
