Collection Start Date/Time,DNR Parameter Description, Value,Units,Site,Round 
06/27/2023 13:01,"ANKISTRODESMUS SP., COUNT",8,cells/mL,9,1
06/27/2023 13:01,"ASTERIONELLA SP., COUNT",8,cells/mL,9,1
06/27/2023 13:01,"CENTRALES DIATOMS, COUNT",145,cells/mL,9,1
06/27/2023 13:01,"CRUCIGENIA SP., COUNT",1858,cells/mL,9,1
06/27/2023 13:01,"DINOBRYON SP., COUNT",23,cells/mL,9,1
06/27/2023 13:01,"GLOEOCYSTIS SP., COUNT",54,cells/mL,9,1
06/27/2023 13:01,"LIMNOTHRIX SP., COUNT",317,cells/mL,9,1
06/27/2023 13:01,"OOCYSTIS SP., COUNT",617,cells/mL,9,1
06/27/2023 13:01,"PENNALES DIATOMS, COUNT",243,cells/mL,9,1
06/27/2023 13:01,"PERIDINIUM SP., COUNT",21,cells/mL,9,1
06/27/2023 13:01,"PLANKTOTHRIX SP., COUNT",774,cells/mL,9,1
06/27/2023 13:01,"TETRAEDRON SP., COUNT",41,cells/mL,9,1
06/27/2023 13:01,"UROSOLENIA SP., COUNT",18,cells/mL,9,1
06/27/2023 14:12,"ANKISTRODESMUS SP., COUNT",6,cells/mL,8,1
06/27/2023 14:12,"ASTERIONELLA SP., COUNT",39,cells/mL,8,1
06/27/2023 14:12,"CENTRALES DIATOMS, COUNT",42,cells/mL,8,1
06/27/2023 14:12,"CHLOROCOCCUM SP., COUNT",224,cells/mL,8,1
06/27/2023 14:12,"CRUCIGENIA SP., COUNT",860,cells/mL,8,1
06/27/2023 14:12,"DINOBRYON SP., COUNT",151,cells/mL,8,1
06/27/2023 14:12,"GOLENKINIA SP., COUNT",3,cells/mL,8,1
06/27/2023 14:12,"GONYOSTOMUM SP., COUNT",27,cells/mL,8,1
06/27/2023 14:12,"KOMMA CAUDATA, COUNT",91,cells/mL,8,1
06/27/2023 14:12,"LIMNOTHRIX SP., COUNT",18,cells/mL,8,1
06/27/2023 14:12,"MICRACTINIUM SP., COUNT",24,cells/mL,8,1
06/27/2023 14:12,"PANDORINA SP., COUNT",109,cells/mL,8,1
06/27/2023 14:12,"PENNALES DIATOMS, COUNT",118,cells/mL,8,1
06/27/2023 14:12,"PERIDINIUM SP., COUNT",18,cells/mL,8,1
06/27/2023 14:12,"SELENASTRUM SP., COUNT",6,cells/mL,8,1
06/27/2023 14:12,"SYNURA SP., COUNT",154,cells/mL,8,1
06/27/2023 14:12,"TETRAEDRON SP., COUNT",9,cells/mL,8,1
06/27/2023 14:12,"TRACHELOMONAS SP., COUNT",33,cells/mL,8,1
06/27/2023 14:12,"UROSOLENIA SP., COUNT",33,cells/mL,8,1
07/17/2023 09:36,"ASTERIONELLA SP., COUNT",218,cells/mL,6,2
07/17/2023 09:36,"CENTRALES DIATOMS, COUNT",195,cells/mL,6,2
07/17/2023 09:36,"CRUCIGENIA SP., COUNT",218,cells/mL,8,2
07/17/2023 09:36,"CYMBELLA SP., COUNT",16,cells/mL,6,2
07/17/2023 09:36,"DINOBRYON SP., COUNT",319,cells/mL,6,2
07/17/2023 09:36,"FRAGILARIA SP., COUNT",273,cells/mL,6,2
07/17/2023 09:36,"GONYOSTOMUM SP., COUNT",31,cells/mL,6,2
07/17/2023 09:36,"KOMMA CAUDATA, COUNT",405,cells/mL,6,2
07/17/2023 09:36,"MOUGEOTIA SP., COUNT",39,cells/mL,6,2
07/17/2023 09:36,"NAVICULA SP., COUNT",70,cells/mL,6,2
07/17/2023 09:36,"OOCYSTIS SP., COUNT",78,cells/mL,6,2
07/17/2023 09:36,"PENNALES DIATOMS, COUNT",701,cells/mL,6,2
07/17/2023 09:36,"PERIDINIUM SP., COUNT",31,cells/mL,6,2
07/17/2023 09:36,"STEPHANODISCUS SP., COUNT",8,cells/mL,6,2
07/17/2023 09:36,"TETRAEDRON SP., COUNT",23,cells/mL,6,2
07/17/2023 11:17,"APHANOCAPSA SP., COUNT",363,cells/mL,3,2
07/17/2023 11:17,"ASTERIONELLA SP., COUNT",114,cells/mL,3,2
07/17/2023 11:17,"CENTRALES DIATOMS, COUNT",86,cells/mL,3,2
07/17/2023 11:17,"CRUCIGENIA SP., COUNT",73,cells/mL,3,2
07/17/2023 11:17,"CRYPTOMONAS SP., COUNT",5,cells/mL,3,2
07/17/2023 11:17,"DINOBRYON SP., COUNT",345,cells/mL,3,2
07/17/2023 11:17,"FRAGILARIA SP., COUNT",114,cells/mL,3,2
07/17/2023 11:17,"GLOEOCYSTIS SP., COUNT",14,cells/mL,3,2
07/17/2023 11:17,"GONYOSTOMUM SP., COUNT",18,cells/mL,3,2
07/17/2023 11:17,"KOMMA CAUDATA, COUNT",363,cells/mL,3,2
07/17/2023 11:17,"NAVICULA SP., COUNT",9,cells/mL,3,2
07/17/2023 11:17,"NITZSCHIA SP., COUNT",5,cells/mL,3,2
07/17/2023 11:17,"PENNALES DIATOMS, COUNT",173,cells/mL,3,2
07/17/2023 11:17,"PERIDINIUM SP., COUNT",32,cells/mL,3,2
07/17/2023 11:17,"SCENEDESMUS SP., COUNT",18,cells/mL,3,2
07/17/2023 11:17,"SPHAEROCYSTIS SP., COUNT",209,cells/mL,3,2
07/17/2023 11:17,"TETRAEDRON SP., COUNT",14,cells/mL,3,2
07/17/2023 11:17,"TRACHELOMONAS SP., COUNT",50,cells/mL,3,2
07/17/2023 11:17,"UROSOLENIA SP., COUNT",9,cells/mL,3,2
07/17/2023 12:35,"ANABAENA SP., COUNT",85,cells/mL,1,2
07/17/2023 12:35,"ANKISTRODESMUS SP., COUNT",18,cells/mL,1,2
07/17/2023 12:35,"APHANOCAPSA SP., COUNT",836,cells/mL,1,2
07/17/2023 12:35,"ASTERIONELLA SP., COUNT",333,cells/mL,1,2
07/17/2023 12:35,"CARTERIA SP., COUNT",587,cells/mL,1,2
07/17/2023 12:35,"CENTRALES DIATOMS, COUNT",139,cells/mL,1,2
07/17/2023 12:35,"COELASTRUM SP., COUNT",151,cells/mL,1,2
07/17/2023 12:35,"COSMARIUM SP., COUNT",18,cells/mL,1,2
07/17/2023 12:35,"CRUCIGENIA SP., COUNT",388,cells/mL,1,2
07/17/2023 12:35,"CRYPTOMONAS SP., COUNT",73,cells/mL,1,2
07/17/2023 12:35,"DINOBRYON SP., COUNT",279,cells/mL,1,2
07/17/2023 12:35,"DYSMORPHOCOCCUS SP., COUNT",6,cells/mL,1,2
07/17/2023 12:35,"FRAGILARIA SP., COUNT",472,cells/mL,1,2
07/17/2023 12:35,"GLOEOCYSTIS SP., COUNT",48,cells/mL,1,2
07/17/2023 12:35,"MALLOMONAS SP., COUNT",12,cells/mL,1,2
07/17/2023 12:35,"OOCYSTIS SP., COUNT",79,cells/mL,1,2
07/17/2023 12:35,"PENNALES DIATOMS, COUNT",67,cells/mL,1,2
07/17/2023 12:35,"PERIDINIUM SP., COUNT",48,cells/mL,1,2
07/17/2023 12:35,"PSEUDANABAENA SP., COUNT",176,cells/mL,1,2
07/17/2023 12:35,"QUADRIGULA SP., COUNT",12,cells/mL,1,2
07/17/2023 12:35,"SCENEDESMUS SP., COUNT",6,cells/mL,1,2
07/17/2023 12:35,"TETRAEDRON SP., COUNT",18,cells/mL,1,2
07/17/2023 12:35,"TREUBARIA SP., COUNT",6,cells/mL,1,2
07/17/2023 12:35,"UROSOLENIA SP., COUNT",24,cells/mL,1,2
07/18/2023 09:51,"ANKISTRODESMUS SP., COUNT",30,cells/mL,14,2
07/18/2023 09:51,"ASTERIONELLA SP., COUNT",84,cells/mL,14,2
07/18/2023 09:51,"CENTRALES DIATOMS, COUNT",63,cells/mL,14,2
07/18/2023 09:51,"COSMARIUM SP., COUNT",3,cells/mL,14,2
07/18/2023 09:51,"DINOBRYON SP., COUNT",57,cells/mL,14,2
07/18/2023 09:51,"GOLENKINIA SP., COUNT",5,cells/mL,14,2
07/18/2023 09:51,"GONYOSTOMUM SP., COUNT",5,cells/mL,14,2
07/18/2023 09:51,"KOMMA CAUDATA, COUNT",22,cells/mL,14,2
07/18/2023 09:51,"MALLOMONAS SP., COUNT",3,cells/mL,14,2
07/18/2023 09:51,"PANDORINA SP., COUNT",153,cells/mL,14,2
07/18/2023 09:51,"PENNALES DIATOMS, COUNT",60,cells/mL,14,2
07/18/2023 09:51,"PERIDINIUM SP., COUNT",27,cells/mL,14,2
07/18/2023 09:51,"TETRAEDRON SP., COUNT",16,cells/mL,14,2
07/18/2023 09:51,"UROSOLENIA SP., COUNT",57,cells/mL,14,2
07/18/2023 12:16,"ANKISTRODESMUS SP., COUNT",8,cells/mL,9,2
07/18/2023 12:16,"ASTERIONELLA SP., COUNT",158,cells/mL,9,2
07/18/2023 12:16,"CENTRALES DIATOMS, COUNT",79,cells/mL,9,2
07/18/2023 12:16,"CHLAMYDOMONAS SP., COUNT",55,cells/mL,9,2
07/18/2023 12:16,"COSMARIUM SP., COUNT",3,cells/mL,9,2
07/18/2023 12:16,"CRYPTOMONAS SP., COUNT",11,cells/mL,9,2
07/18/2023 12:16,"DINOBRYON SP., COUNT",193,cells/mL,9,2
07/18/2023 12:16,"PENNALES DIATOMS, COUNT",93,cells/mL,9,2
07/18/2023 12:16,"PERIDINIUM SP., COUNT",33,cells/mL,9,2
07/18/2023 12:16,"PSEUDANABAENA SP., COUNT",38,cells/mL,9,2
07/18/2023 12:16,"QUADRIGULA SP., COUNT",5,cells/mL,9,2
07/18/2023 12:16,"TETRAEDRON SP., COUNT",30,cells/mL,9,2
07/18/2023 12:16,"UROSOLENIA SP., COUNT",14,cells/mL,9,2
07/18/2023 12:44,"ASTERIONELLA SP., COUNT",131,cells/mL,8,2
07/18/2023 12:44,"CENTRALES DIATOMS, COUNT",120,cells/mL,8,2
07/18/2023 12:44,"CHLAMYDOMONAS SP., COUNT",11,cells/mL,8,2
07/18/2023 12:44,"COELASTRUM SP., COUNT",33,cells/mL,8,2
07/18/2023 12:44,"CRUCIGENIA SP., COUNT",33,cells/mL,8,2
07/18/2023 12:44,"DINOBRYON SP., COUNT",131,cells/mL,8,2
07/18/2023 12:44,"EUGLENA SP., COUNT",5,cells/mL,8,2
07/18/2023 12:44,"GLOEOCYSTIS SP., COUNT",82,cells/mL,8,2
07/18/2023 12:44,"GOLENKINIA SP., COUNT",11,cells/mL,8,2
07/18/2023 12:44,"GONYOSTOMUM SP., COUNT",5,cells/mL,8,2
07/18/2023 12:44,"KOMMA CAUDATA, COUNT",41,cells/mL,8,2
07/18/2023 12:44,"PENNALES DIATOMS, COUNT",128,cells/mL,8,2
07/18/2023 12:44,"PERIDINIUM SP., COUNT",16,cells/mL,8,2
07/18/2023 12:44,"SELENASTRUM SP., COUNT",3,cells/mL,8,2
07/18/2023 12:44,"SPHAEROCYSTIS SP., COUNT",5,cells/mL,8,2
07/18/2023 12:44,"TETRAEDRON SP., COUNT",11,cells/mL,8,2
07/18/2023 12:44,"UROSOLENIA SP., COUNT",22,cells/mL,8,2
07/31/2023 09:36,"ANABAENA SP., COUNT",32,cells/mL,14,3
07/31/2023 09:36,"APHANIZOMENON SP., COUNT",212,cells/mL,14,3
07/31/2023 09:36,"APHANOCAPSA SP., COUNT",220,cells/mL,14,3
07/31/2023 09:36,"APHANOTHECE SP., COUNT",132,cells/mL,14,3
07/31/2023 09:36,"ASTERIONELLA SP., COUNT",32,cells/mL,14,3
07/31/2023 09:36,"CENTRALES DIATOMS, COUNT",220,cells/mL,14,3
07/31/2023 09:36,"CHLAMYDOMONAS SP., COUNT",152,cells/mL,14,3
07/31/2023 09:36,"CLOSTERIUM SP., COUNT",4,cells/mL,14,3
07/31/2023 09:36,"COELASTRUM SP., COUNT",28,cells/mL,14,3
07/31/2023 09:36,"COSMARIUM SP., COUNT",12,cells/mL,14,3
07/31/2023 09:36,"CRYPTOMONAS SP., COUNT",4,cells/mL,14,3
07/31/2023 09:36,"CYCLOTELLA SP., COUNT",20,cells/mL,14,3
07/31/2023 09:36,"DIMORPHOCOCCUS SP., COUNT",4,cells/mL,14,3
07/31/2023 09:36,"DINOBRYON SP., COUNT",232,cells/mL,14,3
07/31/2023 09:36,"GLOEOCYSTIS SP., COUNT",40,cells/mL,14,3
07/31/2023 09:36,"GYMNODINIUM SP., COUNT",28,cells/mL,14,3
07/31/2023 09:36,"KOMMA CAUDATA, COUNT",108,cells/mL,14,3
07/31/2023 09:36,"LIMNOTHRIX SP., COUNT",84,cells/mL,14,3
07/31/2023 09:36,"NAVICULA SP., COUNT",4,cells/mL,14,3
07/31/2023 09:36,"NOSTOC SP., COUNT",521,cells/mL,14,3
07/31/2023 09:36,"OOCYSTIS SP., COUNT",48,cells/mL,14,3
07/31/2023 09:36,"PENNALES DIATOMS, COUNT",104,cells/mL,14,3
07/31/2023 09:36,"PERIDINIUM SP., COUNT",16,cells/mL,14,3
07/31/2023 09:36,"QUADRIGULA SP., COUNT",12,cells/mL,14,3
07/31/2023 09:36,"SCENEDESMUS SP., COUNT",12,cells/mL,14,3
07/31/2023 09:36,"SELENASTRUM SP., COUNT",4,cells/mL,14,3
07/31/2023 09:36,"SPHAEROCYSTIS SP., COUNT",529,cells/mL,14,3
07/31/2023 09:36,"TETRAEDRON SP., COUNT",8,cells/mL,14,3
07/31/2023 09:36,"TREUBARIA SP., COUNT",4,cells/mL,14,3
07/31/2023 09:36,"UROSOLENIA SP., COUNT",128,cells/mL,14,3
07/31/2023 12:27,"APHANOCAPSA SP., COUNT",1334,cells/mL,3,3
07/31/2023 12:27,"ASTERIONELLA SP., COUNT",131,cells/mL,3,3
07/31/2023 12:27,"CENTRALES DIATOMS, COUNT",346,cells/mL,3,3
07/31/2023 12:27,"CHLAMYDOMONAS SP., COUNT",267,cells/mL,3,3
07/31/2023 12:27,"CLOSTERIUM SP., COUNT",6,cells/mL,3,3
07/31/2023 12:27,"CRUCIGENIA SP., COUNT",45,cells/mL,3,3
