TADA.CharacteristicName,Target.TADA.CharacteristicName,TADA.CharacteristicNameAssumptions,TADA.ResultSampleFractionText,Target.TADA.ResultSampleFractionText,TADA.FractionAssumptions,TADA.MethodSpeciationName,Target.TADA.MethodSpeciationName,TADA.SpeciationAssumptions,Target.TADA.SpeciationConversionFactor,HarmonizationGroup
AMMONIA,,,DISSOLVED,FILTERED,Assumes DISSOLVED and TOTAL SOLUBLE are equivalent to FILTERED. FILTERED is precise and preferred.,AS NH3,AS N,Converts speciation and result values from AS NH3 to AS N,0.822,Nitrogen
AMMONIA,,,DISSOLVED,FILTERED,Assumes DISSOLVED and TOTAL SOLUBLE are equivalent to FILTERED. FILTERED is precise and preferred.,,AS N,Assumes original speciation for AMMONIA is AS NH3 and converts to AS N,0.822,Nitrogen
AMMONIA,,,"FILTERED, FIELD",FILTERED,"Assumes FILTERED, LAB and FILTERED, FIELD are equivalent to FILTERABLE and FILTERED. FILTERED is precise and preferred.",AS N,,,,Nitrogen
AMMONIA,,,TOTAL,UNFILTERED,"Assumes AMMONIA, TOTAL, AS N is synonymous to AMMONIA, UNFILTERED, AS N.",AS N,,,,Nitrogen
AMMONIA,,,TOTAL,UNFILTERED,"Assumes AMMONIA, TOTAL is synonymous to AMMONIA, UNFILTERED, AS N.",,AS N,Assumes AS N,,Nitrogen
AMMONIA,,,TOTAL RECOVERABLE,UNFILTERED,"Assumes AMMONIA, TOTAL RECOVERABLE, AS N is synonymous to AMMONIA, UNFILTERED, AS N.",AS N,,,,Nitrogen
AMMONIA,,,UNFILTERED,,,AS N,,,,Nitrogen
AMMONIA AND AMMONIUM,AMMONIA,Assumes AMMONIA AND AMMONIUM is synonymous to AMMONIA.,DISSOLVED,FILTERED,Assumes DISSOLVED and TOTAL SOLUBLE are equivalent to FILTERED. FILTERED is precise and preferred.,AS N,,,,Nitrogen
AMMONIA AND AMMONIUM,AMMONIA,Assumes AMMONIA AND AMMONIUM is synonymous to AMMONIA.,DISSOLVED,FILTERED,Assumes DISSOLVED and TOTAL SOLUBLE are equivalent to FILTERED. FILTERED is precise and preferred.,AS NH4,AS N,Converts speciation and result values from AS NH4 to AS N,0.776,Nitrogen
AMMONIA-NITROGEN,AMMONIA,Assumes AMMONIA-NITROGEN is synonymous to AMMONIA.,DISSOLVED,FILTERED,Assumes DISSOLVED and TOTAL SOLUBLE are equivalent to FILTERED. FILTERED is precise and preferred.,AS N,,,,Nitrogen
AMMONIA-NITROGEN,AMMONIA,Assumes AMMONIA-NITROGEN is synonymous to AMMONIA.,"FILTERED, LAB",FILTERED,"Assumes FILTERED, LAB and FILTERED are funtionally equivalent for data use.",AS N,,,,Nitrogen
AMMONIA-NITROGEN,AMMONIA,Assumes AMMONIA-NITROGEN is synonymous to AMMONIA.,TOTAL,UNFILTERED,"Assumes AMMONIA-NITROGEN, TOTAL is synonymous to AMMONIA, UNFILTERED",AS N,,,,Nitrogen
AMMONIA-NITROGEN,AMMONIA,Assumes AMMONIA-NITROGEN is synonymous to AMMONIA.,TOTAL,UNFILTERED,"Assumes AMMONIA-NITROGEN, TOTAL is synonymous to AMMONIA, UNFILTERED",AS NH3,AS N,Converts speciation and result values from AS NH3 to AS N,0.822,Nitrogen
CHLORIDE,,,DISSOLVED,FILTERED,,,,,,CHLORIDE
CHLORIDE,,,"FILTERED, LAB",FILTERED,,,,,,CHLORIDE
CHLORIDE,,,NONE,UNFILTERED,,,,,,CHLORIDE
CHLORIDE,,,TOTAL,UNFILTERED,,,,,,CHLORIDE
CHLORIDE,,,TOTAL RECOVERABLE,UNFILTERED,,,,,,CHLORIDE
CHLORIDE,,,,UNFILTERED,Assumes UNFILTERED,,,,,CHLORIDE
CHLOROPHYLL A,,,"FILTERED, LAB",FILTERED,"Assumes FILTERED, LAB is synonymous to FILTERED.",,,,,CHLOROPHYLL A
CHLOROPHYLL A,,,NON-FILTERABLE (PARTICLE),UNFILTERED,,,,,,CHLOROPHYLL A
CHLOROPHYLL A,,,TOTAL,UNFILTERED,"Assumes CHLOROPHYLL A, TOTAL is is synonymous to CHLOROPHYLL A, UNFILTERED",,,,,CHLOROPHYLL A
CHLOROPHYLL A,,,,UNFILTERED,,,,,,CHLOROPHYLL A
CHLOROPHYLL A (PROBE RELATIVE FLUORESCENCE),CHLOROPHYLL A,Assumes CHLOROPHYLL A (PROBE RELATIVE FLUORESCENCE) is synonymous to CHLOROPHYLL A.,TOTAL,UNFILTERED,"Assumes CHLOROPHYLL A, TOTAL is is synonymous to CHLOROPHYLL A, UNFILTERED",,,,,CHLOROPHYLL A
"CHLOROPHYLL A, CORRECTED FOR PHEOPHYTIN",CHLOROPHYLL A,"Assumes CHLOROPHYLL A, CORRECTED FOR PHEOPHYTIN is synonymous to CHLOROPHYLL A.",DISSOLVED,FILTERED,,,,,,CHLOROPHYLL A
"CHLOROPHYLL A, CORRECTED FOR PHEOPHYTIN",CHLOROPHYLL A,"Assumes CHLOROPHYLL A, CORRECTED FOR PHEOPHYTIN is synonymous to CHLOROPHYLL A.",TOTAL,UNFILTERED,,,,,,CHLOROPHYLL A
"CHLOROPHYLL A, CORRECTED FOR PHEOPHYTIN",CHLOROPHYLL A,"Assumes CHLOROPHYLL A, CORRECTED FOR PHEOPHYTIN is synonymous to CHLOROPHYLL A.",,UNFILTERED,,,,,,CHLOROPHYLL A
"CHLOROPHYLL A, FREE OF PHEOPHYTIN",CHLOROPHYLL A,"Assumes CHLOROPHYLL A, FREE OF PHEOPHYTIN is synonymous to CHLOROPHYLL A.",TOTAL,UNFILTERED,,,,,,CHLOROPHYLL A
"CHLOROPHYLL A, UNCORRECTED FOR PHEOPHYTIN",,,DISSOLVED,FILTERED,,,,,,CHLOROPHYLL A
"CHLOROPHYLL A, UNCORRECTED FOR PHEOPHYTIN",,,TOTAL,UNFILTERED,,,,,,CHLOROPHYLL A
CONDUCTIVITY,,,TOTAL,,Assumes fraction is NA for CONDUCTIVITY. Harmonizing to NA.,,,,,CONDUCTIVITY
CONDUCTIVITY,,,,,,,,,,CONDUCTIVITY
"DEPTH, SECCHI DISK DEPTH",SECCHI DEPTH,,TOTAL,,Assumes fraction is NA for SECCHI DEPTH. Harmonizing to NA.,,,,,SECCHI DEPTH
"DEPTH, SECCHI DISK DEPTH",SECCHI DEPTH,,,,,,,,,SECCHI DEPTH
DISSOLVED OXYGEN (DO),,,DISSOLVED,,Assumes fraction is NA for DISSOLVED OXYGEN (DO) and DISSOLVED OXYGEN SATURATION. Harmonizing to NA.,,,,,DISSOLVED OXYGEN (DO)
DISSOLVED OXYGEN (DO),,,TOTAL,,Assumes fraction is NA for DISSOLVED OXYGEN (DO) and DISSOLVED OXYGEN SATURATION. Harmonizing to NA.,,,,,DISSOLVED OXYGEN (DO)
DISSOLVED OXYGEN (DO),,,"UNFILTERED, FIELD",,Assumes fraction is NA for DISSOLVED OXYGEN (DO) and DISSOLVED OXYGEN SATURATION. Harmonizing to NA.,,,,,DISSOLVED OXYGEN (DO)
DISSOLVED OXYGEN (DO),,,,,,,,,,DISSOLVED OXYGEN (DO)
DISSOLVED OXYGEN SATURATION,,,TOTAL,,Assumes fraction is NA for DISSOLVED OXYGEN (DO) and DISSOLVED OXYGEN SATURATION. Harmonizing to NA.,,,,,DISSOLVED OXYGEN (DO)
DISSOLVED OXYGEN SATURATION,,,,,,,,,,DISSOLVED OXYGEN (DO)
FLOW,STREAM FLOW,,TOTAL,,Assumes fraction is NA for STREAM FLOW. Harmonizing to NA.,,,,,STREAM FLOW
FLOW,STREAM FLOW,,,,,,,,,STREAM FLOW
